Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,1000,830,170,0,194,63.6,0.0,63.6,13.584150000000008,73.45370555555574,0.11549324772886123
1,1000,854,146,0,209,64.5,0.0,64.5,15.630849999999954,74.98809444444447,0.11626061154177438
2,1000,861,139,0,215,64.60000000000001,0.0,64.60000000000001,14.744916666666727,77.54998888888913,0.12004642242862092
3,1000,813,187,0,205,60.8,0.0,60.8,14.398566666666648,70.67160555555549,0.11623619334795313
4,1000,826,174,0,209,61.7,0.0,61.7,14.379933333333323,71.67768333333359,0.11617128579146448
5,1000,845,155,0,218,62.7,0.0,62.7,15.762266666666713,74.94294999999985,0.11952623604465687
6,1000,819,181,0,201,61.8,0.0,61.8,12.932450000000022,70.54649166666675,0.1141528991370012
7,1000,821,179,0,199,62.2,0.0,62.2,15.149416666666667,73.95581666666669,0.11890002679528407
8,1000,850,150,0,192,65.8,0.0,65.8,13.54468333333336,76.52401944444442,0.11629790189125293
9,1000,778,222,0,190,58.8,0.0,58.8,13.524616666666686,69.75628333333329,0.11863313492063485
10,1000,821,179,0,209,61.199999999999996,0.0,61.199999999999996,15.74298333333336,74.71365277777781,0.12208113198983303
11,1000,819,181,0,209,61.0,0.0,61.0,14.158799999999976,71.34163333333326,0.11695349726775943
12,1000,813,187,0,199,61.4,0.0,61.4,14.04160000000003,71.86777499999991,0.1170484934853419
13,1000,812,188,0,178,63.4,0.0,63.4,13.097366666666668,71.01029999999987,0.11200362776025218
14,1000,813,187,0,205,60.8,0.0,60.8,14.230883333333317,69.98133333333321,0.11510087719298226
15,1000,818,182,0,207,61.1,0.0,61.1,14.263349999999988,74.50667222222206,0.12194218039643545
16,1000,814,186,0,202,61.199999999999996,0.0,61.199999999999996,13.007883333333343,73.39156388888878,0.11992085602759606
17,1000,839,161,0,193,64.60000000000001,0.0,64.60000000000001,12.934800000000033,73.60308611111115,0.11393666580667358
18,1000,841,159,0,200,64.1,0.0,64.1,14.559916666666666,75.34631388888893,0.11754495146472532
19,1000,847,153,0,195,65.2,0.0,65.2,13.70190000000004,74.43361111111109,0.11416198023176548
20,1000,807,193,0,213,59.4,0.0,59.4,14.14576666666672,71.34660555555553,0.1201121305649083
21,1000,835,165,0,219,61.6,0.0,61.6,16.226549999999996,73.72199166666661,0.11967855790043282
22,1000,814,186,0,220,59.4,0.0,59.4,14.892449999999998,72.2991861111113,0.1217158015338574
23,1000,802,198,0,214,58.8,0.0,58.8,14.4278,70.52995833333343,0.11994890873015888
24,1000,800,200,0,196,60.4,0.0,60.4,15.083566666666709,72.40498611111134,0.11987580481972075
25,1000,830,170,0,184,64.60000000000001,0.0,64.60000000000001,12.525499999999957,72.32311388888878,0.11195528465772256
26,1000,837,163,0,196,64.1,0.0,64.1,13.692466666666617,72.24404166666673,0.11270521320852843
27,1000,815,185,0,194,62.1,0.0,62.1,14.087133333333343,72.4329944444444,0.11663928251923415
28,1000,799,201,0,234,56.49999999999999,0.0,56.49999999999999,15.728583333333358,70.64582777777775,0.12503686332350047
29,1000,819,181,0,212,60.699999999999996,0.0,60.699999999999996,14.620100000000006,71.6170722222222,0.11798529196412222
