Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,1000,875,125,0,241,63.4,0.0,63.4,15.1950166666667,74.2413305555557,0.1170998904661762
1,1000,885,115,0,230,65.5,0.0,65.5,15.585349999999936,75.64271666666662,0.11548506361323148
2,1000,888,112,0,237,65.10000000000001,0.0,65.10000000000001,15.526250000000047,77.9889500000002,0.11979869431643654
3,1000,865,135,0,242,62.3,0.0,62.3,14.317599999999983,71.15575833333338,0.11421470037453192
4,1000,893,107,0,258,63.5,0.0,63.5,14.481550000000047,72.08043055555576,0.11351248906386735
5,1000,893,107,0,278,61.5,0.0,61.5,17.31248333333339,75.30649722222225,0.12244958897922316
6,1000,879,121,0,250,62.9,0.0,62.9,13.707733333333339,71.65278055555558,0.11391539039039043
7,1000,875,125,0,242,63.3,0.0,63.3,15.375950000000028,74.3325666666667,0.11742901527119541
8,1000,907,93,0,225,68.2,0.0,68.2,12.84271666666669,76.9462416666668,0.11282440127077242
9,1000,852,148,0,240,61.199999999999996,0.0,61.199999999999996,14.024599999999976,70.25401666666664,0.11479414488017425
10,1000,873,127,0,268,60.5,0.0,60.5,18.014966666666687,75.22899722222219,0.12434544995408628
11,1000,863,137,0,240,62.3,0.0,62.3,13.967966666666651,71.66245833333332,0.11502802300695555
12,1000,885,115,0,258,62.7,0.0,62.7,14.624733333333339,72.28393888888887,0.11528538897749423
13,1000,857,143,0,229,62.8,0.0,62.8,15.633666666666638,72.21362222222207,0.11498984430290139
14,1000,877,123,0,247,63.0,0.0,63.0,14.537466666666651,71.1292333333333,0.11290354497354492
15,1000,850,150,0,247,60.3,0.0,60.3,16.456099999999985,74.80265833333313,0.12405084300718594
16,1000,861,139,0,251,61.0,0.0,61.0,13.848666666666661,74.27332222222212,0.12175954462659365
17,1000,881,119,0,238,64.3,0.0,64.3,15.063033333333372,74.36751666666687,0.11565710212545392
18,1000,897,103,0,234,66.3,0.0,66.3,14.116133333333348,75.30631944444455,0.11358419222389828
19,1000,895,105,0,228,66.7,0.0,66.7,14.15091666666669,74.94297777777777,0.11235828752290522
20,1000,865,135,0,259,60.6,0.0,60.6,15.96060000000003,72.15032222222207,0.11905993766043246
21,1000,887,113,0,273,61.4,0.0,61.4,16.414499999999993,73.70402777777778,0.12003913318856314
22,1000,864,136,0,255,60.9,0.0,60.9,15.455183333333295,72.87319722222229,0.11966042236818109
23,1000,860,140,0,244,61.6,0.0,61.6,13.76830000000001,71.22533611111123,0.11562554563492083
24,1000,861,139,0,219,64.2,0.0,64.2,13.499966666666701,73.01130555555571,0.11372477500865374
25,1000,871,129,0,229,64.2,0.0,64.2,14.08676666666665,72.81043888888877,0.11341189858082362
26,1000,887,113,0,234,65.3,0.0,65.3,14.081816666666652,72.6552361111112,0.11126376127275833
27,1000,868,132,0,252,61.6,0.0,61.6,15.954383333333366,73.0727861111111,0.11862465277777776
28,1000,857,143,0,269,58.8,0.0,58.8,15.04215000000002,70.23801944444457,0.11945241402116424
29,1000,878,122,0,249,62.9,0.0,62.9,15.662383333333334,72.54084722222218,0.11532726108461398
