Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,1000,937,63,0,482,45.5,0.0,45.5,17.611416666666667,60.268025000000044,0.1324571978021979
1,1000,937,63,0,470,46.7,0.0,46.7,17.451216666666696,59.92763333333334,0.12832469664525342
2,1000,928,72,0,484,44.4,0.0,44.4,19.801416666666675,60.28213055555548,0.13577056431431414
3,1000,937,63,0,484,45.300000000000004,0.0,45.300000000000004,19.70195000000003,60.934608333333365,0.1345134841795438
4,1000,927,73,0,510,41.699999999999996,0.0,41.699999999999996,20.962999999999983,59.407927777777694,0.1424650546229681
5,1000,913,87,0,464,44.9,0.0,44.9,18.72821666666664,59.655341666666615,0.132862676317743
6,1000,937,63,0,507,43.0,0.0,43.0,20.076566666666672,59.348524999999775,0.1380198255813948
7,1000,944,56,0,487,45.7,0.0,45.7,19.74569999999998,63.32276944444437,0.1385618587405785
8,1000,924,76,0,486,43.8,0.0,43.8,19.239533333333313,59.090325,0.13490941780821916
9,1000,915,85,0,502,41.3,0.0,41.3,19.493699999999993,58.38449444444427,0.14136681463545828
10,1000,914,86,0,490,42.4,0.0,42.4,18.600649999999995,58.05064722222212,0.13691190382599555
11,1000,907,93,0,500,40.699999999999996,0.0,40.699999999999996,17.853266666666663,55.65227222222229,0.13673776958776976
12,1000,940,60,0,488,45.2,0.0,45.2,18.181149999999942,61.82098611111094,0.13677209316617464
13,1000,935,65,0,485,45.0,0.0,45.0,17.86686666666664,59.48534722222227,0.13218966049382727
14,1000,925,75,0,508,41.699999999999996,0.0,41.699999999999996,21.018983333333306,58.35169722222234,0.13993212763122864
15,1000,908,92,0,490,41.8,0.0,41.8,19.628966666666653,57.99445277777774,0.13874270999468358
16,1000,932,68,0,486,44.6,0.0,44.6,17.920799999999964,58.87857222222206,0.1320147359242647
17,1000,908,92,0,490,41.8,0.0,41.8,21.55138333333333,59.44181666666661,0.1422053030303029
18,1000,931,69,0,497,43.4,0.0,43.4,20.668183333333314,61.54303888888904,0.1418042370711729
19,1000,906,94,0,469,43.7,0.0,43.7,18.645050000000012,59.238497222222065,0.13555720188151504
20,1000,944,56,0,497,44.7,0.0,44.7,20.667199999999966,62.6717333333331,0.14020521998508523
21,1000,904,96,0,471,43.3,0.0,43.3,18.848700000000008,58.13738055555561,0.13426646779574045
22,1000,911,89,0,493,41.8,0.0,41.8,19.51810000000001,58.572861111111116,0.1401264619883041
23,1000,877,123,0,469,40.8,0.0,40.8,17.608916666666605,54.20272499999993,0.1328498161764704
24,1000,929,71,0,488,44.1,0.0,44.1,16.669166666666673,59.54643611111122,0.13502593222474202
25,1000,896,104,0,489,40.699999999999996,0.0,40.699999999999996,20.420300000000022,57.95835833333336,0.1424038288288289
26,1000,927,73,0,525,40.2,0.0,40.2,20.923166666666663,58.26727777777783,0.1449434770591488
27,1000,904,96,0,499,40.5,0.0,40.5,19.475483333333337,57.14458611111118,0.14109774348422516
28,1000,927,73,0,494,43.3,0.0,43.3,18.60039999999996,58.859680555555535,0.13593459712599432
29,1000,920,80,0,506,41.4,0.0,41.4,20.267316666666662,60.04942222222206,0.1450469135802465
