Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,1000,998,2,0,742,25.6,0.0,25.6,27.104649999999975,48.86799166666672,0.19089059244791687
1,1000,1000,0,0,720,28.000000000000004,0.0,28.000000000000004,25.235533333333326,47.03210000000013,0.16797178571428614
2,1000,1000,0,0,760,24.0,0.0,24.0,26.258883333333344,46.87717499999987,0.1953215624999995
3,1000,1000,0,0,738,26.200000000000003,0.0,26.200000000000003,26.071049999999968,48.780291666666656,0.18618431933842236
4,1000,1000,0,0,690,31.0,0.0,31.0,24.964116666666676,49.80742777777786,0.16066912186379953
5,1000,1000,0,0,756,24.4,0.0,24.4,26.1982,46.71264722222229,0.191445275500911
6,1000,1000,0,0,716,28.4,0.0,28.4,24.97204999999999,48.68667222222231,0.1714319444444448
7,1000,1000,0,0,762,23.799999999999997,0.0,23.799999999999997,26.00786666666668,45.020505555555566,0.18916178804855283
8,1000,1000,0,0,761,23.9,0.0,23.9,26.88770000000001,46.548636111110994,0.19476416782891628
9,1000,1000,0,0,793,20.7,0.0,20.7,27.05076666666666,43.24744722222223,0.2089248658078369
10,1000,998,2,0,676,32.2,0.0,32.2,23.81056666666666,50.008025000000046,0.15530442546583867
11,1000,1000,0,0,701,29.9,0.0,29.9,25.352816666666673,50.651294444444375,0.16940232255667012
12,1000,1000,0,0,685,31.5,0.0,31.5,25.279299999999992,49.28495277777767,0.15646016754850053
13,1000,1000,0,0,766,23.400000000000002,0.0,23.400000000000002,26.858449999999984,45.36623611111117,0.19387280389363745
14,1000,1000,0,0,745,25.5,0.0,25.5,25.887416666666653,46.94580833333319,0.18410120915032624
15,1000,1000,0,0,711,28.9,0.0,28.9,25.854650000000007,50.68369166666656,0.17537609573241025
16,1000,1000,0,0,754,24.6,0.0,24.6,27.31344999999998,48.427963888888804,0.19686164182475124
17,1000,999,1,0,739,26.0,0.0,26.0,25.191350000000007,46.360225000000064,0.17830855769230794
18,1000,1000,0,0,747,25.3,0.0,25.3,27.364983333333353,47.33534166666639,0.18709621212121103
19,1000,1000,0,0,728,27.200000000000003,0.0,27.200000000000003,26.48274999999998,49.29222222222236,0.18122140522875863
20,1000,1000,0,0,747,25.3,0.0,25.3,25.844166666666673,46.3007055555556,0.18300674132630673
21,1000,1000,0,0,723,27.700000000000003,0.0,27.700000000000003,25.59981666666668,49.46663888888872,0.17857992378660187
22,1000,1000,0,0,733,26.700000000000003,0.0,26.700000000000003,26.92718333333331,48.88839722222216,0.1831026113191841
23,1000,999,1,0,754,24.5,0.0,24.5,27.255383333333338,46.993819444444426,0.19181150793650786
24,1000,1000,0,0,728,27.200000000000003,0.0,27.200000000000003,26.081916666666643,48.4070305555556,0.17796702410130738
25,1000,1000,0,0,737,26.3,0.0,26.3,27.030650000000005,47.89161944444452,0.18209741233629095
26,1000,1000,0,0,726,27.400000000000002,0.0,27.400000000000002,24.61546666666667,45.79722777777791,0.16714316707218219
27,1000,1000,0,0,759,24.099999999999998,0.0,24.099999999999998,26.499699999999997,45.51472222222203,0.1888577685569379
28,1000,1000,0,0,764,23.599999999999998,0.0,23.599999999999998,25.52249999999998,44.4496472222222,0.18834596280602628
29,1000,1000,0,0,778,22.2,0.0,22.2,26.016966666666658,43.85536388888882,0.19754668418418392
