id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT1,BESTEFFORT,COMPLETED,cpu-1,0.223,"{'cpu-1': 2.072, 'gpu-1': 0.884}",248.64000000000001,0.223,2.295,inf,4.3229999999999995,4.3229999999999995
1,TT1,BESTEFFORT,COMPLETED,cpu-1,0.599,"{'cpu-1': 1.426, 'gpu-1': 1.449}",171.12,2.295,3.721,inf,4.699,4.699
2,TT1,BESTEFFORT,MISSED,cpu-1,0.85,"{'cpu-1': 1.541, 'gpu-1': 0.936}",147.4799999999999,3.721,inf,4.949999999999999,4.949999999999999,4.949999999999999
3,TT1,BESTEFFORT,MISSED,cpu-1,1.53,"{'cpu-1': 1.765, 'gpu-1': 0.956}",81.60000000000008,4.949999999999999,inf,5.63,5.63,5.63
4,TT2,BESTEFFORT,COMPLETED,gpu-1,1.695,"{'cpu-1': 8.852, 'gpu-1': 1.231}",369.3,1.695,2.926,inf,8.095,8.095
5,TT2,BESTEFFORT,COMPLETED,gpu-1,2.063,"{'cpu-1': 5.255, 'gpu-1': 1.414}",424.2,2.926,4.34,inf,8.463000000000001,8.463000000000001
6,TT2,BESTEFFORT,COMPLETED,gpu-1,2.085,"{'cpu-1': 7.46, 'gpu-1': 1.667}",500.1,4.34,6.007,inf,8.485,8.485
7,TT1,BESTEFFORT,MISSED,cpu-1,2.779,"{'cpu-1': 1.924, 'gpu-1': 1.527}",149.87999999999997,5.63,inf,6.879,6.879,6.879
8,TT2,BESTEFFORT,COMPLETED,gpu-1,3.104,"{'cpu-1': 4.501, 'gpu-1': 0.787}",236.10000000000002,6.007,6.794,inf,9.504000000000001,9.504000000000001
9,TT1,BESTEFFORT,CANCELLED,,3.493,"{'cpu-1': 1.469, 'gpu-1': 0.782}",0.0,inf,inf,inf,7.593,7.593
10,TT1,BESTEFFORT,CANCELLED,,3.638,"{'cpu-1': 1.035, 'gpu-1': 1.123}",0.0,inf,inf,inf,7.7379999999999995,7.7379999999999995
11,TT1,BESTEFFORT,CANCELLED,,3.805,"{'cpu-1': 1.295, 'gpu-1': 0.868}",0.0,inf,inf,inf,7.904999999999999,7.904999999999999
12,TT2,BESTEFFORT,COMPLETED,gpu-1,4.161,"{'cpu-1': 3.028, 'gpu-1': 2.444}",733.1999999999999,6.794,9.238,inf,10.561,10.561
13,TT1,BESTEFFORT,COMPLETED,cpu-1,4.226,"{'cpu-1': 1.223, 'gpu-1': 1.105}",146.76000000000002,6.879,8.102,inf,8.326,8.326
14,TT1,BESTEFFORT,CANCELLED,,4.283,"{'cpu-1': 2.025, 'gpu-1': 1.082}",0.0,inf,inf,inf,8.383,8.383
15,TT1,BESTEFFORT,CANCELLED,,4.906,"{'cpu-1': 1.885, 'gpu-1': 1.342}",0.0,inf,inf,inf,9.006,9.006
16,TT1,BESTEFFORT,CANCELLED,,4.927,"{'cpu-1': 1.826, 'gpu-1': 0.827}",0.0,inf,inf,inf,9.027,9.027
17,TT1,BESTEFFORT,CANCELLED,,4.954,"{'cpu-1': 1.25, 'gpu-1': 1.242}",0.0,inf,inf,inf,9.053999999999998,9.053999999999998
18,TT2,BESTEFFORT,CANCELLED,gpu-1,4.967,"{'cpu-1': 9.48, 'gpu-1': 1.776}",0.0,inf,inf,inf,11.367,11.367
19,TT2,BESTEFFORT,CANCELLED,gpu-1,6.06,"{'cpu-1': 7.46, 'gpu-1': 0.819}",0.0,inf,inf,inf,12.46,12.46
20,TT1,BESTEFFORT,COMPLETED,cpu-1,6.469,"{'cpu-1': 1.293, 'gpu-1': 0.964}",155.16,8.102,9.395,inf,10.568999999999999,10.568999999999999
21,TT2,BESTEFFORT,CANCELLED,gpu-1,7.103,"{'cpu-1': 2.737, 'gpu-1': 1.275}",0.0,inf,inf,inf,13.503,13.503
22,TT1,BESTEFFORT,COMPLETED,cpu-1,7.641,"{'cpu-1': 1.437, 'gpu-1': 1.332}",172.44,9.395,10.831999999999999,inf,11.741,11.741
23,TT1,BESTEFFORT,COMPLETED,gpu-1,7.661,"{'cpu-1': 1.255, 'gpu-1': 0.948}",284.4,9.238,10.186,inf,11.761,11.761
24,TT1,BESTEFFORT,CANCELLED,,7.913,"{'cpu-1': 1.054, 'gpu-1': 1.171}",0.0,inf,inf,inf,12.013,12.013
