Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,1000,636,364,0,369,26.700000000000003,0.0,26.700000000000003,8.747216666666677,30.410274999999825,0.1138961610486885
1,1000,620,380,0,361,25.900000000000002,0.0,25.900000000000002,9.10378333333332,30.42990555555542,0.11748998283998233
2,1000,591,409,0,356,23.5,0.0,23.5,8.846083333333336,28.719030555555364,0.12220864066193773
3,1000,632,368,0,368,26.400000000000002,0.0,26.400000000000002,8.970500000000001,30.558597222222144,0.11575226220538691
4,1000,639,361,0,393,24.6,0.0,24.6,10.429833333333326,30.88593611111105,0.1255525858175246
5,1000,606,394,0,364,24.2,0.0,24.2,9.46425,29.963763888888877,0.12381720615243338
6,1000,615,385,0,373,24.2,0.0,24.2,8.421616666666678,29.479936111111165,0.12181791781450894
7,1000,630,370,0,369,26.1,0.0,26.1,10.127550000000006,31.37556944444429,0.12021290974882869
8,1000,616,384,0,373,24.3,0.0,24.3,11.092850000000002,31.523819444444346,0.1297276520347504
9,1000,620,380,0,378,24.2,0.0,24.2,11.05506666666666,30.872802777777892,0.1275735651974293
10,1000,611,389,0,349,26.200000000000003,0.0,26.200000000000003,8.762150000000005,30.440766666666484,0.11618613231552094
11,1000,632,368,0,382,25.0,0.0,25.0,9.00581666666667,30.552611111111027,0.12221044444444412
12,1000,599,401,0,371,22.8,0.0,22.8,11.248633333333325,29.836174999999876,0.1308604166666661
13,1000,640,360,0,375,26.5,0.0,26.5,10.326650000000006,32.8910277777778,0.12411708595387852
14,1000,598,402,0,363,23.5,0.0,23.5,9.96840000000002,29.279722222222322,0.12459456264775455
15,1000,609,391,0,355,25.4,0.0,25.4,9.438166666666676,30.71791944444445,0.12093669072615928
16,1000,615,385,0,369,24.6,0.0,24.6,9.283083333333343,29.548563888888886,0.12011611336946702
17,1000,646,354,0,389,25.7,0.0,25.7,10.638,31.88326388888881,0.12405939256376969
18,1000,593,407,0,345,24.8,0.0,24.8,8.477550000000003,29.14603055555553,0.11752431675627228
19,1000,612,388,0,353,25.900000000000002,0.0,25.900000000000002,8.379716666666663,30.006344444444427,0.11585461175461167
20,1000,621,379,0,367,25.4,0.0,25.4,8.727533333333321,30.334430555555464,0.11942689195100575
21,1000,592,408,0,345,24.7,0.0,24.7,9.483799999999997,29.77711111111121,0.12055510571300085
22,1000,622,378,0,368,25.4,0.0,25.4,9.920799999999998,30.693094444444462,0.12083895450568687
23,1000,635,365,0,366,26.900000000000002,0.0,26.900000000000002,7.799150000000004,29.957072222222163,0.11136458075175525
24,1000,663,337,0,379,28.4,0.0,28.4,10.08940000000001,32.83491944444455,0.11561591353677657
25,1000,635,365,0,376,25.900000000000002,0.0,25.900000000000002,9.391533333333351,31.525963888888846,0.12172186829686814
26,1000,634,366,0,394,24.0,0.0,24.0,10.35408333333333,30.983513888888943,0.12909797453703728
27,1000,644,356,0,378,26.6,0.0,26.6,9.734550000000002,31.45997222222226,0.11827057226399344
28,1000,611,389,0,370,24.099999999999998,0.0,24.099999999999998,9.883233333333328,30.206055555555487,0.12533633010603937
29,1000,647,353,0,379,26.8,0.0,26.8,9.030916666666664,31.977013888888944,0.11931721600331696
