id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT2,BESTEFFORT,COMPLETED,gpu-1,0.038,"{'cpu-1': 4.501, 'gpu-1': 0.67}",201.0,0.038,0.7080000000000001,inf,6.438000000000001,6.438000000000001
1,TT2,BESTEFFORT,COMPLETED,gpu-1,0.08,"{'cpu-1': 5.064, 'gpu-1': 1.208}",362.4,0.7080000000000001,1.916,inf,6.48,6.48
2,TT2,BESTEFFORT,COMPLETED,cpu-1,0.223,"{'cpu-1': 6.07, 'gpu-1': 0.919}",728.4000000000001,0.223,6.293,inf,6.623,6.623
3,TT1,BESTEFFORT,COMPLETED,gpu-1,0.53,"{'cpu-1': 1.275, 'gpu-1': 1.323}",396.9,1.916,3.239,inf,4.63,4.63
4,TT1,BESTEFFORT,MISSED,cpu-1,0.594,"{'cpu-1': 1.017, 'gpu-1': 0.894}",0.0,6.293,inf,6.293,4.694,4.694
5,TT1,BESTEFFORT,COMPLETED,gpu-1,0.706,"{'cpu-1': 1.219, 'gpu-1': 0.884}",265.2,3.239,4.123,inf,4.805999999999999,4.805999999999999
6,TT2,BESTEFFORT,COMPLETED,gpu-1,0.932,"{'cpu-1': 7.326, 'gpu-1': 1.25}",375.0,4.123,5.373,inf,7.332000000000001,7.332000000000001
7,TT1,BESTEFFORT,MISSED,cpu-1,1.16,"{'cpu-1': 2.122, 'gpu-1': 0.961}",0.0,6.293,inf,6.293,5.26,5.26
8,TT2,BESTEFFORT,MISSED,cpu-1,1.171,"{'cpu-1': 5.68, 'gpu-1': 1.236}",153.36000000000007,6.293,inf,7.571000000000001,7.571000000000001,7.571000000000001
9,TT1,BESTEFFORT,MISSED,gpu-1,1.371,"{'cpu-1': 1.204, 'gpu-1': 0.849}",0.0,5.909,inf,5.909,5.471,5.471
10,TT1,BESTEFFORT,MISSED,gpu-1,1.49,"{'cpu-1': 1.82, 'gpu-1': 0.735}",0.0,5.909,inf,5.909,5.59,5.59
11,TT1,BESTEFFORT,MISSED,gpu-1,1.809,"{'cpu-1': 1.935, 'gpu-1': 1.129}",160.79999999999987,5.373,inf,5.909,5.909,5.909
12,TT1,BESTEFFORT,CANCELLED,,1.887,"{'cpu-1': 2.002, 'gpu-1': 1.429}",0.0,inf,inf,inf,5.987,5.987
13,TT2,BESTEFFORT,CANCELLED,,1.959,"{'cpu-1': 3.485, 'gpu-1': 2.007}",0.0,inf,inf,inf,8.359,8.359
14,TT2,BESTEFFORT,CANCELLED,,2.139,"{'cpu-1': 4.501, 'gpu-1': 0.726}",0.0,inf,inf,inf,8.539,8.539
15,TT2,BESTEFFORT,CANCELLED,,2.809,"{'cpu-1': 5.255, 'gpu-1': 0.894}",0.0,inf,inf,inf,9.209,9.209
16,TT2,BESTEFFORT,CANCELLED,,3.189,"{'cpu-1': 2.977, 'gpu-1': 1.098}",0.0,inf,inf,inf,9.589,9.589
17,TT1,BESTEFFORT,MISSED,cpu-1,3.335,"{'cpu-1': 2.397, 'gpu-1': 0.612}",0.0,8.519,inf,8.519,7.435,7.435
18,TT1,BESTEFFORT,MISSED,gpu-1,4.197,"{'cpu-1': 1.11, 'gpu-1': 0.824}",102.60000000000016,7.955,inf,8.297,8.297,8.297
19,TT1,BESTEFFORT,CANCELLED,,4.432,"{'cpu-1': 1.274, 'gpu-1': 1.178}",0.0,inf,inf,inf,8.532,8.532
20,TT2,BESTEFFORT,CANCELLED,,4.773,"{'cpu-1': 4.389, 'gpu-1': 1.158}",0.0,inf,inf,inf,11.173,11.173
21,TT2,BESTEFFORT,CANCELLED,,5.1,"{'cpu-1': 2.696, 'gpu-1': 1.631}",0.0,inf,inf,inf,11.5,11.5
22,TT2,BESTEFFORT,COMPLETED,gpu-1,5.186,"{'cpu-1': 2.638, 'gpu-1': 1.688}",506.4,8.297,9.985000000000001,inf,11.586,11.586
23,TT1,BESTEFFORT,COMPLETED,gpu-1,5.202,"{'cpu-1': 1.223, 'gpu-1': 1.191}",357.3,5.909,7.1,inf,9.302,9.302
24,TT1,BESTEFFORT,COMPLETED,gpu-1,5.672,"{'cpu-1': 1.032, 'gpu-1': 0.855}",256.5,7.1,7.955,inf,9.771999999999998,9.771999999999998
25,TT1,BESTEFFORT,CANCELLED,,5.877,"{'cpu-1': 1.304, 'gpu-1': 1.121}",0.0,inf,inf,inf,9.977,9.977
26,TT1,BESTEFFORT,COMPLETED,cpu-1,5.991,"{'cpu-1': 0.948, 'gpu-1': 1.248}",113.75999999999999,7.571000000000001,8.519,inf,10.091,10.091
27,TT1,BESTEFFORT,COMPLETED,cpu-1,6.245,"{'cpu-1': 1.518, 'gpu-1': 0.899}",182.16,8.519,10.037,inf,10.344999999999999,10.344999999999999
28,TT2,BESTEFFORT,CANCELLED,,6.291,"{'cpu-1': 4.845, 'gpu-1': 0.981}",0.0,inf,inf,inf,12.691,12.691
29,TT1,BESTEFFORT,MISSED,cpu-1,6.663,"{'cpu-1': 1.265, 'gpu-1': 0.935}",87.11999999999989,10.037,inf,10.763,10.763,10.763
30,TT1,BESTEFFORT,CANCELLED,,6.672,"{'cpu-1': 1.232, 'gpu-1': 1.323}",0.0,inf,inf,inf,10.771999999999998,10.771999999999998
31,TT2,BESTEFFORT,COMPLETED,gpu-1,6.812,"{'cpu-1': 5.748, 'gpu-1': 0.68}",204.00000000000003,11.0,11.68,inf,13.212,13.212
32,TT1,BESTEFFORT,MISSED,gpu-1,6.864,"{'cpu-1': 2.114, 'gpu-1': 0.951}",0.0,11.68,inf,11.68,10.963999999999999,10.963999999999999
33,TT1,BESTEFFORT,MISSED,gpu-1,6.9,"{'cpu-1': 1.497, 'gpu-1': 1.182}",304.49999999999966,9.985000000000001,inf,11.0,11.0,11.0
34,TT2,BESTEFFORT,CANCELLED,,6.995,"{'cpu-1': 4.555, 'gpu-1': 1.694}",0.0,inf,inf,inf,13.395,13.395
35,TT2,BESTEFFORT,CANCELLED,,7.063,"{'cpu-1': 5.805, 'gpu-1': 1.862}",0.0,inf,inf,inf,13.463000000000001,13.463000000000001
36,TT2,BESTEFFORT,CANCELLED,,7.686,"{'cpu-1': 3.855, 'gpu-1': 1.953}",0.0,inf,inf,inf,14.086,14.086
37,TT1,BESTEFFORT,MISSED,cpu-1,7.874,"{'cpu-1': 1.228, 'gpu-1': 1.228}",145.32000000000005,10.763,inf,11.974,11.974,11.974
38,TT1,BESTEFFORT,MISSED,gpu-1,7.901,"{'cpu-1': 1.031, 'gpu-1': 1.257}",0.0,14.577,inf,14.577,12.001,12.001
39,TT1,BESTEFFORT,MISSED,cpu-1,8.082,"{'cpu-1': 1.08, 'gpu-1': 0.954}",24.960000000000022,11.974,inf,12.182,12.182,12.182
40,TT2,BESTEFFORT,CANCELLED,,8.139,"{'cpu-1': 7.125, 'gpu-1': 0.683}",0.0,inf,inf,inf,14.539,14.539
41,TT2,BESTEFFORT,CANCELLED,,8.167,"{'cpu-1': 6.126, 'gpu-1': 1.365}",0.0,inf,inf,inf,14.567,14.567
42,TT2,BESTEFFORT,CANCELLED,,8.19,"{'cpu-1': 1.9, 'gpu-1': 1.891}",0.0,inf,inf,inf,14.59,14.59
43,TT1,BESTEFFORT,MISSED,cpu-1,8.295,"{'cpu-1': 1.006, 'gpu-1': 1.054}",0.0,13.676,inf,13.676,12.395,12.395
44,TT1,BESTEFFORT,MISSED,cpu-1,8.602,"{'cpu-1': 0.935, 'gpu-1': 0.633}",62.39999999999995,12.182,inf,12.702,12.702,12.702
45,TT2,BESTEFFORT,CANCELLED,,8.699,"{'cpu-1': 4.845, 'gpu-1': 1.694}",0.0,inf,inf,inf,15.099,15.099
46,TT2,BESTEFFORT,CANCELLED,,8.742,"{'cpu-1': 3.622, 'gpu-1': 1.301}",0.0,inf,inf,inf,15.142000000000001,15.142000000000001
47,TT1,BESTEFFORT,MISSED,cpu-1,8.8,"{'cpu-1': 1.292, 'gpu-1': 0.909}",0.0,13.676,inf,13.676,12.9,12.9
48,TT1,BESTEFFORT,CANCELLED,,8.845,"{'cpu-1': 1.235, 'gpu-1': 0.895}",0.0,inf,inf,inf,12.945,12.945
49,TT2,BESTEFFORT,COMPLETED,gpu-1,9.153,"{'cpu-1': 6.312, 'gpu-1': 0.844}",253.2,11.68,12.524,inf,15.553,15.553
50,TT1,BESTEFFORT,MISSED,cpu-1,9.576,"{'cpu-1': 2.159, 'gpu-1': 0.884}",116.88000000000002,12.702,inf,13.676,13.676,13.676
51,TT2,BESTEFFORT,CANCELLED,,9.689,"{'cpu-1': 1.911, 'gpu-1': 0.972}",0.0,inf,inf,inf,16.089,16.089
52,TT2,BESTEFFORT,COMPLETED,gpu-1,10.2,"{'cpu-1': 3.787, 'gpu-1': 1.156}",346.79999999999995,13.421,14.577,inf,16.6,16.6
53,TT2,BESTEFFORT,CANCELLED,,10.278,"{'cpu-1': 2.591, 'gpu-1': 2.379}",0.0,inf,inf,inf,16.678,16.678
54,TT2,BESTEFFORT,CANCELLED,,10.883,"{'cpu-1': 8.507, 'gpu-1': 0.614}",0.0,inf,inf,inf,17.283,17.283
55,TT1,BESTEFFORT,COMPLETED,gpu-1,10.952,"{'cpu-1': 1.218, 'gpu-1': 0.897}",269.1,12.524,13.421,inf,15.052,15.052
56,TT2,BESTEFFORT,MISSED,cpu-1,11.67,"{'cpu-1': 8.036, 'gpu-1': 0.476}",105.72000000000003,17.189,inf,18.07,18.07,18.07
57,TT2,BESTEFFORT,CANCELLED,,12.011,"{'cpu-1': 2.819, 'gpu-1': 0.733}",0.0,inf,inf,inf,18.411,18.411
58,TT2,BESTEFFORT,MISSED,gpu-1,12.125,"{'cpu-1': 3.21, 'gpu-1': 1.818}",0.0,20.496000000000002,inf,20.496000000000002,18.525,18.525
59,TT2,BESTEFFORT,CANCELLED,,12.203,"{'cpu-1': 4.58, 'gpu-1': 2.291}",0.0,inf,inf,inf,18.603,18.603
60,TT2,BESTEFFORT,CANCELLED,,12.231,"{'cpu-1': 1.191, 'gpu-1': 1.5}",0.0,inf,inf,inf,18.631,18.631
61,TT1,BESTEFFORT,COMPLETED,gpu-1,12.398,"{'cpu-1': 1.248, 'gpu-1': 0.788}",236.4,14.577,15.365,inf,16.497999999999998,16.497999999999998
62,TT1,BESTEFFORT,COMPLETED,cpu-1,12.629,"{'cpu-1': 1.213, 'gpu-1': 1.153}",145.56,13.676,14.889,inf,16.729,16.729
63,TT1,BESTEFFORT,MISSED,gpu-1,12.796,"{'cpu-1': 1.262, 'gpu-1': 1.555}",459.3000000000002,15.365,inf,16.896,16.896,16.896
64,TT1,BESTEFFORT,MISSED,cpu-1,13.089,"{'cpu-1': 1.324, 'gpu-1': 0.797}",25.560000000000116,16.976,inf,17.189,17.189,17.189
65,TT1,BESTEFFORT,COMPLETED,cpu-1,13.22,"{'cpu-1': 2.087, 'gpu-1': 0.897}",250.44000000000003,14.889,16.976,inf,17.32,17.32
66,TT2,BESTEFFORT,CANCELLED,,13.225,"{'cpu-1': 12.185, 'gpu-1': 0.891}",0.0,inf,inf,inf,19.625,19.625
67,TT2,BESTEFFORT,CANCELLED,,13.531,"{'cpu-1': 1.794, 'gpu-1': 0.874}",0.0,inf,inf,inf,19.931,19.931
68,TT1,BESTEFFORT,MISSED,gpu-1,13.744,"{'cpu-1': 1.834, 'gpu-1': 0.903}",23.39999999999982,17.766000000000002,inf,17.844,17.844,17.844
69,TT1,BESTEFFORT,COMPLETED,gpu-1,14.01,"{'cpu-1': 2.261, 'gpu-1': 0.87}",261.0,16.896,17.766000000000002,inf,18.11,18.11
70,TT2,BESTEFFORT,CANCELLED,,14.543,"{'cpu-1': 2.135, 'gpu-1': 1.522}",0.0,inf,inf,inf,20.942999999999998,20.942999999999998
71,TT1,BESTEFFORT,COMPLETED,gpu-1,14.831,"{'cpu-1': 2.074, 'gpu-1': 0.789}",236.70000000000002,17.844,18.633000000000003,inf,18.930999999999997,18.930999999999997
72,TT1,BESTEFFORT,MISSED,cpu-1,14.846,"{'cpu-1': 2.016, 'gpu-1': 0.866}",105.11999999999972,18.07,inf,18.945999999999998,18.945999999999998,18.945999999999998
