id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT1,BESTEFFORT,COMPLETED,m4-1,0.175,"{'m1-1': 2.231, 'm2-1': 1.883, 'm3-1': 3.609, 'm4-1': 0.844}",1.266,0.175,1.019,inf,5.175,5.175
1,TT1,BESTEFFORT,COMPLETED,m4-1,0.816,"{'m1-1': 2.388, 'm2-1': 1.41, 'm3-1': 3.619, 'm4-1': 0.745}",1.1175,1.019,1.7639999999999998,inf,5.816,5.816
2,TT3,BESTEFFORT,COMPLETED,m4-1,0.859,"{'m1-1': 1.735, 'm2-1': 1.727, 'm3-1': 4.464, 'm4-1': 0.941}",1.4115,1.7639999999999998,2.7049999999999996,inf,6.059,6.059
3,TT4,BESTEFFORT,COMPLETED,m4-1,1.007,"{'m1-1': 1.801, 'm2-1': 1.681, 'm3-1': 4.807, 'm4-1': 0.902}",1.353,2.7049999999999996,3.6069999999999998,inf,6.007,6.007
4,TT3,BESTEFFORT,COMPLETED,m4-1,1.238,"{'m1-1': 1.755, 'm2-1': 1.526, 'm3-1': 5.15, 'm4-1': 0.731}",1.0965,3.6069999999999998,4.338,inf,6.438000000000001,6.438000000000001
5,TT1,BESTEFFORT,COMPLETED,m4-1,2.253,"{'m1-1': 2.249, 'm2-1': 1.41, 'm3-1': 3.773, 'm4-1': 0.694}",1.041,4.338,5.032,inf,7.253,7.253
6,TT1,BESTEFFORT,COMPLETED,m4-1,2.847,"{'m1-1': 1.865, 'm2-1': 1.516, 'm3-1': 3.858, 'm4-1': 0.859}",1.2885,5.032,5.891,inf,7.8469999999999995,7.8469999999999995
7,TT4,BESTEFFORT,COMPLETED,m1-1,2.889,"{'m1-1': 2.368, 'm2-1': 1.56, 'm3-1': 5.062, 'm4-1': 0.996}",3.7888,2.889,5.257,inf,7.888999999999999,7.888999999999999
8,TT3,BESTEFFORT,COMPLETED,m1-1,3.186,"{'m1-1': 1.854, 'm2-1': 1.388, 'm3-1': 4.942, 'm4-1': 0.985}",2.9664,5.257,7.111,inf,8.386,8.386
9,TT2,BESTEFFORT,COMPLETED,m2-1,3.539,"{'m1-1': 2.619, 'm2-1': 1.975, 'm3-1': 4.268, 'm4-1': 0.753}",5.925000000000001,3.539,5.514,inf,8.639,8.639
10,TT1,BESTEFFORT,COMPLETED,m2-1,3.552,"{'m1-1': 2.209, 'm2-1': 1.821, 'm3-1': 4.988, 'm4-1': 0.793}",5.463,5.514,7.335,inf,8.552,8.552
11,TT1,BESTEFFORT,COMPLETED,m4-1,3.759,"{'m1-1': 2.505, 'm2-1': 1.85, 'm3-1': 4.357, 'm4-1': 0.627}",0.9405,5.891,6.518,inf,8.759,8.759
12,TT3,BESTEFFORT,COMPLETED,m1-1,4.182,"{'m1-1': 1.972, 'm2-1': 1.78, 'm3-1': 5.468, 'm4-1': 0.756}",3.1552000000000002,7.111,9.083,inf,9.382000000000001,9.382000000000001
13,TT1,BESTEFFORT,COMPLETED,m4-1,4.619,"{'m1-1': 2.022, 'm2-1': 1.646, 'm3-1': 4.791, 'm4-1': 0.81}",1.215,6.518,7.327999999999999,inf,9.619,9.619
14,TT2,BESTEFFORT,COMPLETED,m2-1,4.871,"{'m1-1': 1.87, 'm2-1': 1.886, 'm3-1': 4.007, 'm4-1': 0.738}",5.6579999999999995,7.335,9.221,inf,9.971,9.971
15,TT4,BESTEFFORT,COMPLETED,m3-1,4.955,"{'m1-1': 1.876, 'm2-1': 1.699, 'm3-1': 4.323, 'm4-1': 0.988}",7.7814000000000005,4.955,9.278,inf,9.955,9.955
16,TT2,BESTEFFORT,COMPLETED,m4-1,5.36,"{'m1-1': 2.001, 'm2-1': 1.912, 'm3-1': 3.69, 'm4-1': 0.719}",1.0785,7.327999999999999,8.046999999999999,inf,10.46,10.46
17,TT2,BESTEFFORT,CANCELLED,,5.375,"{'m1-1': 2.433, 'm2-1': 1.789, 'm3-1': 4.149, 'm4-1': 0.757}",0.0,inf,inf,inf,10.475,10.475
18,TT2,BESTEFFORT,CANCELLED,,5.507,"{'m1-1': 2.071, 'm2-1': 1.52, 'm3-1': 4.874, 'm4-1': 0.946}",0.0,inf,inf,inf,10.607,10.607
19,TT2,BESTEFFORT,COMPLETED,m4-1,5.716,"{'m1-1': 2.17, 'm2-1': 1.579, 'm3-1': 3.904, 'm4-1': 0.734}",1.101,8.046999999999999,8.780999999999999,inf,10.815999999999999,10.815999999999999
20,TT4,BESTEFFORT,COMPLETED,m2-1,6.112,"{'m1-1': 1.939, 'm2-1': 1.809, 'm3-1': 4.342, 'm4-1': 0.9}",5.427,9.221,11.03,inf,11.112,11.112
21,TT4,BESTEFFORT,COMPLETED,m1-1,6.212,"{'m1-1': 1.942, 'm2-1': 1.558, 'm3-1': 4.118, 'm4-1': 0.957}",3.1072,9.083,11.025,inf,11.212,11.212
22,TT2,BESTEFFORT,CANCELLED,,6.247,"{'m1-1': 1.91, 'm2-1': 2.078, 'm3-1': 4.638, 'm4-1': 0.815}",0.0,inf,inf,inf,11.347,11.347
23,TT4,BESTEFFORT,CANCELLED,,6.488,"{'m1-1': 2.079, 'm2-1': 1.652, 'm3-1': 3.675, 'm4-1': 1.046}",0.0,inf,inf,inf,11.488,11.488
24,TT2,BESTEFFORT,COMPLETED,m4-1,6.86,"{'m1-1': 1.883, 'm2-1': 1.737, 'm3-1': 4.253, 'm4-1': 0.833}",1.2494999999999998,8.780999999999999,9.613999999999999,inf,11.96,11.96
25,TT3,BESTEFFORT,CANCELLED,,6.946,"{'m1-1': 2.252, 'm2-1': 1.436, 'm3-1': 4.709, 'm4-1': 0.971}",0.0,inf,inf,inf,12.146,12.146
26,TT4,BESTEFFORT,CANCELLED,,6.974,"{'m1-1': 1.781, 'm2-1': 1.455, 'm3-1': 4.409, 'm4-1': 0.806}",0.0,inf,inf,inf,11.974,11.974
27,TT3,BESTEFFORT,CANCELLED,,7.074,"{'m1-1': 2.365, 'm2-1': 1.374, 'm3-1': 5.567, 'm4-1': 1.009}",0.0,inf,inf,inf,12.274000000000001,12.274000000000001
28,TT2,BESTEFFORT,CANCELLED,,7.107,"{'m1-1': 2.494, 'm2-1': 1.544, 'm3-1': 4.01, 'm4-1': 0.77}",0.0,inf,inf,inf,12.207,12.207
29,TT3,BESTEFFORT,COMPLETED,m4-1,7.968,"{'m1-1': 2.323, 'm2-1': 1.412, 'm3-1': 4.624, 'm4-1': 0.964}",1.446,9.613999999999999,10.578,inf,13.168,13.168
30,TT4,BESTEFFORT,COMPLETED,m4-1,8.122,"{'m1-1': 1.955, 'm2-1': 1.853, 'm3-1': 3.771, 'm4-1': 1.037}",1.5554999999999999,10.578,11.614999999999998,inf,13.122,13.122
