Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,1062,938,0,206,42.8,0.0,42.8,13.000183333333338,45.29021597222232,0.052909130808670934
1,2000,1062,938,0,217,42.25,0.0,42.25,13.91397777777777,44.952984722222276,0.05319879848783701
2,2000,1049,951,0,199,42.5,0.0,42.5,12.415255555555555,43.8594527777777,0.05159935620915023
3,2000,1051,949,0,210,42.05,0.0,42.05,13.689986111111116,44.558953472222036,0.052983297826661155
4,2000,1039,961,0,206,41.65,0.0,41.65,13.253372222222225,44.19503055555582,0.05305525877017504
5,2000,1029,971,0,193,41.8,0.0,41.8,12.474188888888884,43.55882152777786,0.052103853502126624
6,2000,1086,914,0,200,44.3,0.0,44.3,12.570997222222225,45.51199444444409,0.05136793955354864
7,2000,1025,975,0,190,41.75,0.0,41.75,11.94782777777778,43.423639583333184,0.05200435878243495
8,2000,1059,941,0,200,42.95,0.0,42.95,12.810427777777777,44.58729722222226,0.051906050316906004
9,2000,1065,935,0,175,44.5,0.0,44.5,11.110011111111117,45.240297916666584,0.05083179541198493
10,2000,1036,964,0,226,40.5,0.0,40.5,14.46351666666668,43.4478194444441,0.053639283264745805
11,2000,1076,924,0,216,43.0,0.0,43.0,13.752294444444441,45.37981388888895,0.05276722545219645
12,2000,1071,929,0,207,43.2,0.0,43.2,13.310677777777785,45.702581944444326,0.05289650688014389
13,2000,1044,956,0,190,42.699999999999996,0.0,42.699999999999996,12.006669444444446,44.25582291666658,0.05182180669398898
14,2000,1085,915,0,174,45.550000000000004,0.0,45.550000000000004,10.660616666666662,45.48749583333298,0.04993138949871896
15,2000,1035,965,0,199,41.8,0.0,41.8,12.640688888888906,43.983218055555675,0.052611504851143145
16,2000,1050,950,0,209,42.05,0.0,42.05,13.288880555555558,44.57596388888871,0.053003524243625096
17,2000,1052,948,0,191,43.05,0.0,43.05,12.15089444444443,44.76774583333321,0.051995059039875974
18,2000,1089,911,0,201,44.4,0.0,44.4,12.681552777777775,46.19757013888882,0.05202429069694687
19,2000,1032,968,0,194,41.9,0.0,41.9,12.621066666666673,43.20348055555545,0.05155546605674875
20,2000,1072,928,0,207,43.25,0.0,43.25,13.335524999999993,45.331277777777494,0.05240610147719942
21,2000,1095,905,0,213,44.1,0.0,44.1,13.664308333333338,46.31606180555543,0.05251254172965468
22,2000,1050,950,0,217,41.65,0.0,41.65,13.525908333333339,44.51242777777761,0.05343628784847252
23,2000,1007,993,0,213,39.7,0.0,39.7,13.776216666666677,43.00096319444443,0.0541573843758746
24,2000,1081,919,0,189,44.6,0.0,44.6,11.996155555555553,45.64231944444429,0.0511685195565519
25,2000,1040,960,0,215,41.25,0.0,41.25,13.718236111111112,44.17437361111114,0.05354469528619533
26,2000,1059,941,0,183,43.8,0.0,43.8,11.746352777777789,44.74371805555531,0.051077303716387336
27,2000,1061,939,0,196,43.25,0.0,43.25,12.352994444444441,44.79730694444436,0.051788794155427
28,2000,1048,952,0,214,41.699999999999996,0.0,41.699999999999996,14.13469444444443,44.62359166666657,0.053505505595523466
29,2000,979,1021,0,194,39.25,0.0,39.25,12.485322222222221,41.486661111111154,0.052849249823071535
