Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,2000,0,0,1541,22.95,0.0,22.95,34.53246944444446,45.73587222222251,0.09964242314209697
1,2000,2000,0,0,1535,23.25,0.0,23.25,34.06651249999999,45.50658402777765,0.09786362156511323
2,2000,2000,0,0,1553,22.35,0.0,22.35,33.37663611111111,44.54536319444459,0.09965405636341071
3,2000,2000,0,0,1568,21.6,0.0,21.6,34.83096527777778,45.03382777777781,0.104244971707819
4,2000,2000,0,0,1560,22.0,0.0,22.0,33.71358194444446,44.644470833333536,0.10146470643939443
5,2000,2000,0,0,1557,22.15,0.0,22.15,33.28439027777779,44.27857708333337,0.09995164127163288
6,2000,2000,0,0,1518,24.099999999999998,0.0,24.099999999999998,34.5512638888889,46.039615277777614,0.09551787402028551
7,2000,2000,0,0,1572,21.4,0.0,21.4,33.69181250000002,44.04781736111125,0.10291546112409171
8,2000,2000,0,0,1542,22.900000000000002,0.0,22.900000000000002,33.92559166666669,45.248161111111145,0.09879511159631253
9,2000,2000,0,0,1517,24.15,0.0,24.15,32.87373472222222,45.55477916666699,0.09431631297446581
10,2000,2000,0,0,1582,20.9,0.0,20.9,33.29404305555556,43.890380555555645,0.10500091041998959
11,2000,2000,0,0,1536,23.200000000000003,0.0,23.200000000000003,34.91195416666666,46.08381250000008,0.09931856142241394
12,2000,2000,0,0,1518,24.099999999999998,0.0,24.099999999999998,34.00150138888888,46.08817986111101,0.09561863041724278
13,2000,2000,0,0,1555,22.25,0.0,22.25,33.8917861111111,44.78125486111108,0.10063203339575524
14,2000,2000,0,0,1509,24.55,0.0,24.55,33.895709722222215,46.6019777777779,0.09491237836614644
15,2000,2000,0,0,1582,20.9,0.0,20.9,34.38097638888888,44.644999305555515,0.10680621843434336
16,2000,2000,0,0,1562,21.9,0.0,21.9,34.65297083333335,45.13385069444434,0.10304532122019257
17,2000,2000,0,0,1569,21.55,0.0,21.55,35.175595833333304,45.265679861110975,0.10502477926011829
18,2000,2000,0,0,1536,23.200000000000003,0.0,23.200000000000003,35.91718749999998,46.671715972222,0.10058559476771982
19,2000,2000,0,0,1575,21.25,0.0,21.25,34.035547222222235,43.88154236111139,0.1032506879084974
20,2000,2000,0,0,1499,25.05,0.0,25.05,32.79796111111109,46.1573291666667,0.09213039753825689
21,2000,2000,0,0,1474,26.3,0.0,26.3,33.35085555555559,47.14238680555566,0.08962430951626552
22,2000,2000,0,0,1546,22.7,0.0,22.7,33.72270277777778,45.12608611111111,0.09939666544297601
23,2000,2000,0,0,1578,21.099999999999998,0.0,21.099999999999998,33.07683750000002,43.55772986111127,0.10321736933912626
24,2000,2000,0,0,1507,24.65,0.0,24.65,33.48650416666667,46.504631250000074,0.09432988083164315
25,2000,2000,0,0,1569,21.55,0.0,21.55,34.532052777777785,44.52988055555562,0.10331758829595272
26,2000,2000,0,0,1541,22.95,0.0,22.95,34.21895972222224,45.52771180555549,0.09918891460905335
27,2000,2000,0,0,1529,23.549999999999997,0.0,23.549999999999997,33.8242763888889,45.5282875,0.09666303078556263
28,2000,2000,0,0,1564,21.8,0.0,21.8,34.66655138888889,44.975319444444175,0.10315440239551416
29,2000,2000,0,0,1620,19.0,0.0,19.0,32.96817916666666,42.01210208333342,0.11055816337719318
