Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,1212,788,0,781,21.55,0.0,21.55,13.033283333333333,28.208429166666594,0.0654487915699921
1,2000,1201,799,0,774,21.349999999999998,0.0,21.349999999999998,12.495166666666668,27.59924722222216,0.06463523939630483
2,2000,1243,757,0,807,21.8,0.0,21.8,14.218834722222221,29.50700902777775,0.06767662621049943
3,2000,1267,733,0,819,22.400000000000002,0.0,22.400000000000002,14.145216666666668,29.754011805555365,0.06641520492311465
4,2000,1238,762,0,788,22.5,0.0,22.5,13.730940277777778,29.394597222222313,0.06532132716049403
5,2000,1248,752,0,826,21.099999999999998,0.0,21.099999999999998,14.981974999999997,29.36349999999993,0.06958175355450222
6,2000,1246,754,0,805,22.05,0.0,22.05,14.353562500000002,29.77083125000015,0.06750755385487564
7,2000,1162,838,0,780,19.1,0.0,19.1,14.274041666666665,27.26380347222227,0.07137121327806878
8,2000,1239,761,0,787,22.6,0.0,22.6,13.736926388888898,30.263296527777722,0.06695419585791532
9,2000,1214,786,0,799,20.75,0.0,20.75,13.942190277777772,28.57707708333314,0.06886042670682685
10,2000,1235,765,0,796,21.95,0.0,21.95,13.11391805555556,29.023026388888777,0.06611167742343685
11,2000,1250,750,0,793,22.85,0.0,22.85,13.358427777777775,29.899357638888937,0.06542529023826901
12,2000,1218,782,0,775,22.15,0.0,22.15,13.882195833333332,29.115438888889017,0.0657233383496366
13,2000,1223,777,0,793,21.5,0.0,21.5,14.421474999999988,28.911265277777677,0.0672355006459946
14,2000,1191,809,0,764,21.349999999999998,0.0,21.349999999999998,12.949498611111112,28.089351388888833,0.06578302432995044
15,2000,1211,789,0,793,20.9,0.0,20.9,13.450670833333334,28.585368055555616,0.06838604797979812
16,2000,1233,767,0,772,23.05,0.0,23.05,13.255070833333333,29.24766944444437,0.0634439684261266
17,2000,1204,796,0,772,21.6,0.0,21.6,13.422575,28.40368055555565,0.06574926054526771
18,2000,1225,775,0,778,22.35,0.0,22.35,13.266669444444446,28.971498611111024,0.06481319599801123
19,2000,1237,763,0,807,21.5,0.0,21.5,13.886065277777776,29.30884583333333,0.06816010658914728
20,2000,1212,788,0,777,21.75,0.0,21.75,13.323704166666664,28.609975694444213,0.06577005906768785
21,2000,1226,774,0,781,22.25,0.0,22.25,13.405715277777777,29.477809027777663,0.06624226747815205
22,2000,1198,802,0,785,20.65,0.0,20.65,13.667663888888889,28.16967708333315,0.06820745056497131
23,2000,1251,749,0,777,23.7,0.0,23.7,13.577562499999999,29.63743819444443,0.06252624091654943
24,2000,1232,768,0,809,21.15,0.0,21.15,14.228134722222224,29.120736805555513,0.06884334942211705
25,2000,1196,804,0,777,20.95,0.0,20.95,13.997491666666667,28.31199027777788,0.06757038252452956
26,2000,1203,797,0,794,20.45,0.0,20.45,14.16306944444444,28.03514583333331,0.06854558883455576
27,2000,1260,740,0,795,23.25,0.0,23.25,12.94913888888889,29.75939513888867,0.0639986992234165
28,2000,1209,791,0,800,20.45,0.0,20.45,14.555916666666668,28.777921527777934,0.07036166632708542
29,2000,1240,760,0,796,22.2,0.0,22.2,13.635023611111114,29.110095138889026,0.06556327733984015
