Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,503,1497,0,292,10.549999999999999,0.0,10.549999999999999,5.14647361111111,11.618425000000014,0.055063625592417134
1,2000,488,1512,0,287,10.05,0.0,10.05,5.569252777777778,11.64373749999988,0.057929042288556616
2,2000,523,1477,0,308,10.75,0.0,10.75,5.062612499999998,11.750500694444478,0.05465349160206734
3,2000,545,1455,0,311,11.700000000000001,0.0,11.700000000000001,5.115433333333333,12.374476388888878,0.05288237773029435
4,2000,526,1474,0,298,11.4,0.0,11.4,5.006316666666666,12.149552777777886,0.053287512183236345
5,2000,520,1480,0,323,9.85,0.0,9.85,5.955636111111111,11.855072222222374,0.06017803158488514
6,2000,525,1475,0,315,10.5,0.0,10.5,5.617258333333332,12.097826388888771,0.05760869708994654
7,2000,522,1478,0,306,10.8,0.0,10.8,5.564645833333332,12.155854166666675,0.05627710262345683
8,2000,507,1493,0,300,10.35,0.0,10.35,5.540700000000001,11.643013194444304,0.056246440552871035
9,2000,528,1472,0,310,10.9,0.0,10.9,5.274141666666667,12.187404861111165,0.05590552688583103
10,2000,512,1488,0,300,10.6,0.0,10.6,5.610537499999999,11.929929166666625,0.05627325078616332
11,2000,525,1475,0,307,10.9,0.0,10.9,5.100305555555555,12.038711805555497,0.05522344864933714
12,2000,539,1461,0,324,10.75,0.0,10.75,5.701129166666666,12.216277083333491,0.056819893410853445
13,2000,496,1504,0,292,10.2,0.0,10.2,5.108055555555556,11.21935972222223,0.0549968613834423
14,2000,532,1468,0,312,11.0,0.0,11.0,4.858748611111113,11.966475694444448,0.05439307133838385
15,2000,490,1510,0,295,9.75,0.0,9.75,5.219326388888891,11.054925694444453,0.05669192663817668
16,2000,553,1447,0,339,10.7,0.0,10.7,5.80125138888889,12.336240277777721,0.057645982606437954
17,2000,528,1472,0,316,10.6,0.0,10.6,5.804268055555554,12.072715277777775,0.05694677017819705
18,2000,526,1474,0,305,11.05,0.0,11.05,5.425969444444443,12.188885416666684,0.05515332767722481
19,2000,523,1477,0,315,10.4,0.0,10.4,6.154261111111111,12.035556249999887,0.05786325120192253
20,2000,523,1477,0,304,10.95,0.0,10.95,5.067302777777778,11.741392361111101,0.053613663749365756
21,2000,521,1479,0,301,11.0,0.0,11.0,4.883109722222221,11.87110694444444,0.053959577020202
22,2000,501,1499,0,294,10.35,0.0,10.35,5.093725,11.457479861111059,0.05535014425657516
23,2000,510,1490,0,292,10.9,0.0,10.9,5.148047222222223,11.816650694444434,0.054204819699286394
24,2000,518,1482,0,302,10.8,0.0,10.8,5.593876388888888,12.060574305555456,0.05583599215534934
25,2000,531,1469,0,315,10.8,0.0,10.8,5.826768055555554,12.415206944444373,0.0574778099279832
26,2000,522,1478,0,310,10.6,0.0,10.6,5.57662777777778,11.9380493055556,0.05631155332809244
27,2000,545,1455,0,317,11.4,0.0,11.4,5.188143055555554,12.294286805555608,0.05392231055068249
28,2000,537,1463,0,315,11.1,0.0,11.1,5.375681944444445,12.184450694444383,0.054884913038037775
29,2000,502,1498,0,295,10.35,0.0,10.35,4.975465277777777,11.504689583333276,0.05557821054750375
