Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,1000,782,218,0,9,46.5,30.8,77.3,0.0763583333333301,10.505960555555875,0.013591152077045116
1,1000,826,174,0,12,49.6,31.8,81.4,0.11197499999999826,11.191185555555927,0.013748385203385659
2,1000,783,217,0,11,44.9,32.300000000000004,77.2,0.09549166666666942,10.599689444444023,0.01373016767415029
3,1000,789,211,0,9,44.7,33.300000000000004,78.0,0.08687500000000081,10.524962222222147,0.013493541310541214
4,1000,792,208,0,10,49.0,29.2,78.2,0.08518333333333296,10.810034444444339,0.01382357345836872
5,1000,805,195,0,16,48.3,30.599999999999998,78.89999999999999,0.14430833333333493,11.031751666666494,0.013981941275876418
6,1000,821,179,0,11,51.4,29.599999999999998,81.0,0.09406666666666712,11.131571111111255,0.01374268038408797
7,1000,802,198,0,14,45.7,33.1,78.80000000000001,0.12582500000000002,10.768254444444493,0.013665297518330573
8,1000,789,211,0,14,45.5,32.0,77.5,0.12065000000000062,10.647945000000103,0.013739283870967876
9,1000,790,210,0,13,47.8,29.9,77.69999999999999,0.11233333333333287,10.502851666666578,0.0135171836121835
10,1000,804,196,0,16,49.0,29.799999999999997,78.8,0.13438333333333494,10.91997277777768,0.013857833474337155
11,1000,807,193,0,10,47.8,31.900000000000002,79.7,0.09537500000000271,10.839894444444145,0.01360087132301649
12,1000,809,191,0,19,46.300000000000004,32.7,79.0,0.161850000000005,10.860168888888753,0.013747049226441457
13,1000,797,203,0,13,46.7,31.7,78.4,0.10979166666666555,10.699894999999701,0.01364782525510166
14,1000,821,179,0,9,48.6,32.6,81.2,0.07759166666666602,11.127573333333354,0.013703908045977037
15,1000,812,188,0,13,47.3,32.6,79.9,0.1094749999999987,10.919433888888722,0.013666375330273744
16,1000,797,203,0,6,46.300000000000004,32.800000000000004,79.10000000000001,0.06000833333333564,10.613873333333332,0.01341829751369574
17,1000,787,213,0,7,47.5,30.5,78.0,0.0599166666666673,10.574458888889048,0.01355699857549878
18,1000,809,191,0,9,48.6,31.4,80.0,0.07779999999999877,10.951157222222182,0.013688946527777728
19,1000,809,191,0,16,48.1,31.2,79.3,0.1532250000000026,10.93169888888915,0.013785244500490729
20,1000,813,187,0,10,50.7,29.599999999999998,80.3,0.08415000000000136,11.114604999999644,0.013841351183063068
21,1000,819,181,0,16,49.8,30.5,80.3,0.13687499999999908,11.013986111111201,0.013716047460910586
22,1000,810,190,0,10,46.7,33.300000000000004,80.0,0.08532500000000216,10.864691666666669,0.013580864583333336
23,1000,832,168,0,7,51.5,31.0,82.5,0.061099999999998524,11.15930166666661,0.013526426262626193
24,1000,826,174,0,13,50.3,31.0,81.3,0.11045000000000063,11.155300555555833,0.013721156894902622
25,1000,824,176,0,8,50.4,31.2,81.6,0.06609999999999984,11.139696666666906,0.013651589052287874
26,1000,793,207,0,6,45.9,32.800000000000004,78.7,0.051399999999999696,10.551017777777966,0.013406629959057139
27,1000,820,179,0,8,52.7,28.499999999999996,81.2,0.06845833333333336,11.064426111111253,0.01362614053092519
28,1000,810,190,0,13,51.1,28.599999999999998,79.7,0.1188583333333329,10.823949444444537,0.013580865049491266
29,1000,802,198,0,12,45.7,33.300000000000004,79.0,0.11170000000000158,10.793272777777606,0.01366237060478178
