Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,1000,1000,0,0,385,34.300000000000004,27.200000000000003,61.50000000000001,4.39259166666668,12.429621111111333,0.020210766034327365
1,1000,1000,0,0,330,37.2,29.799999999999997,67.0,3.7479083333333283,12.713461111111368,0.018975315091210997
2,1000,999,1,0,383,33.7,27.900000000000002,61.60000000000001,4.4744666666666735,12.5335294444442,0.02034663870851331
3,1000,1000,0,0,368,33.0,30.2,63.2,4.401625000000001,12.591710555555244,0.019923592651195008
4,1000,1000,0,0,342,38.5,27.3,65.8,4.443358333333335,13.089574444444526,0.01989297028031083
5,1000,1000,0,0,341,39.7,26.200000000000003,65.9,4.409816666666666,13.172924999999688,0.019989264036418344
6,1000,1000,0,0,295,40.9,29.599999999999998,70.5,3.84146666666667,13.09307277777792,0.018571734436564423
7,1000,1000,0,0,357,34.4,29.9,64.3,4.328775000000001,12.737091666666503,0.01980885173665086
8,1000,1000,0,0,376,34.599999999999994,27.800000000000004,62.4,4.3545833333333315,12.550116666666497,0.020112366452991182
9,1000,1000,0,0,385,34.9,26.6,61.5,4.488150000000007,12.410668333333321,0.02017994850948508
10,1000,1000,0,0,365,35.9,27.6,63.5,4.2354583333333355,12.758277777777788,0.020091776027996514
11,1000,1000,0,0,392,32.5,28.299999999999997,60.8,4.537416666666671,12.633338333333016,0.020778516995613512
12,1000,1000,0,0,351,38.3,26.6,64.9,4.275166666666674,12.776523333333422,0.01968647663071406
13,1000,1000,0,0,378,35.199999999999996,27.0,62.199999999999996,4.6320250000000005,12.723696111111096,0.020456103072525877
14,1000,1000,0,0,329,37.0,30.099999999999998,67.1,3.920166666666668,12.919088333333589,0.019253484848485228
15,1000,1000,0,0,350,37.2,27.800000000000004,65.0,4.189025000000008,12.701336111111292,0.01954051709401737
16,1000,1000,0,0,367,34.699999999999996,28.599999999999998,63.3,4.122133333333331,12.423262222222386,0.019626006670177543
17,1000,1000,0,0,357,38.3,26.0,64.3,4.339533333333331,12.678643888888958,0.019717953170900398
18,1000,1000,0,0,335,39.2,27.3,66.5,4.164199999999999,12.904451111110879,0.019405189640768237
19,1000,1000,0,0,338,36.8,29.4,66.19999999999999,4.142783333333335,12.841394444444612,0.019397876804297
20,1000,1000,0,0,334,39.800000000000004,26.8,66.60000000000001,4.229025000000006,13.066131666666692,0.019618816316316352
21,1000,1000,0,0,313,40.699999999999996,28.000000000000004,68.7,4.0130916666666705,12.95286444444446,0.01885424227721173
22,1000,1000,0,0,349,36.5,28.599999999999998,65.1,3.9224333333333252,12.517534444443834,0.019228163509130314
23,1000,1000,0,0,296,40.400000000000006,30.0,70.4,3.6597083333333336,12.874606111110987,0.01828779277146447
24,1000,1000,0,0,313,39.800000000000004,28.9,68.7,4.02179166666666,13.087908888889272,0.019050813520945082
25,1000,1000,0,0,291,41.199999999999996,29.7,70.89999999999999,3.502833333333324,12.866917222222279,0.018147979156872048
26,1000,1000,0,0,373,34.4,28.299999999999997,62.699999999999996,4.286741666666664,12.447925555555765,0.019853150806309033
27,1000,1000,0,0,321,38.1,29.799999999999997,67.9,4.130099999999999,12.990870000000095,0.01913235640648026
28,1000,999,1,0,334,40.5,26.0,66.5,3.8781583333333285,12.552513888889008,0.01887596073517144
29,1000,1000,0,0,374,34.0,28.599999999999998,62.599999999999994,4.677225000000003,12.802094999999605,0.020450630990414706
