id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT1,BESTEFFORT,COMPLETED,m2-1,0.943,"{'m1-1': 5.925, 'm2-1': 1.017}",12.203999999999999,0.943,1.96,inf,6.943,9.943
1,TT2,BESTEFFORT,COMPLETED,m1-1,1.434,"{'m1-1': 1.077, 'm2-1': 5.929}",6.462,1.434,2.511,inf,7.434000000000001,10.434000000000001
2,TT2,BESTEFFORT,COMPLETED,m1-1,4.913,"{'m1-1': 1.051, 'm2-1': 5.974}",6.305999999999999,4.913,5.964,inf,10.913,13.913
3,TT1,BESTEFFORT,COMPLETED,m2-1,4.989,"{'m1-1': 5.963, 'm2-1': 1.075}",12.899999999999999,4.989,6.064,inf,10.989,13.989
4,TT2,BESTEFFORT,COMPLETED,m1-1,5.739,"{'m1-1': 1.009, 'm2-1': 5.936}",6.053999999999999,5.964,6.973000000000001,inf,11.739,14.739
5,TT1,BESTEFFORT,COMPLETED,m2-1,5.882,"{'m1-1': 5.934, 'm2-1': 1.052}",12.624,6.064,7.116,inf,11.882,14.882
6,TT2,BESTEFFORT,COMPLETED,m1-1,6.89,"{'m1-1': 1.01, 'm2-1': 5.961}",6.0600000000000005,6.973000000000001,7.9830000000000005,inf,12.89,15.89
7,TT1,BESTEFFORT,COMPLETED,m2-1,8.183,"{'m1-1': 5.99, 'm2-1': 1.039}",12.468,8.183,9.222,inf,14.183,17.183
8,TT2,BESTEFFORT,COMPLETED,m1-1,8.382,"{'m1-1': 1.0, 'm2-1': 5.907}",6.0,8.382,9.382,inf,14.381999999999998,17.381999999999998
9,TT1,BESTEFFORT,COMPLETED,m2-1,8.464,"{'m1-1': 5.96, 'm2-1': 1.003}",12.035999999999998,9.222,10.225,inf,14.463999999999999,17.464
10,TT1,BESTEFFORT,COMPLETED,m2-1,8.633,"{'m1-1': 5.938, 'm2-1': 1.083}",12.995999999999999,10.225,11.308,inf,14.633,17.633
11,TT1,BESTEFFORT,COMPLETED,m2-1,9.465,"{'m1-1': 5.977, 'm2-1': 1.072}",12.864,11.308,12.379999999999999,inf,15.465,18.465
12,TT1,BESTEFFORT,COMPLETED,m2-1,9.55,"{'m1-1': 5.949, 'm2-1': 1.083}",12.995999999999999,12.379999999999999,13.463,inf,15.55,18.55
