id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT2,BESTEFFORT,COMPLETED,m1-1,0.162,"{'m1-1': 1.0, 'm2-1': 5.959}",6.0,0.162,1.162,inf,12.161999999999999,18.162
1,TT1,BESTEFFORT,COMPLETED,m2-1,0.836,"{'m1-1': 5.946, 'm2-1': 1.045}",12.54,0.836,1.8809999999999998,inf,12.835999999999999,18.836
2,TT2,BESTEFFORT,COMPLETED,m1-1,1.811,"{'m1-1': 1.062, 'm2-1': 5.986}",6.372,1.811,2.873,inf,13.811,19.811
3,TT2,BESTEFFORT,COMPLETED,m1-1,2.39,"{'m1-1': 1.096, 'm2-1': 5.974}",6.5760000000000005,2.873,3.9690000000000003,inf,14.39,20.39
4,TT2,BESTEFFORT,COMPLETED,m1-1,2.495,"{'m1-1': 1.08, 'm2-1': 5.904}",6.48,3.9690000000000003,5.049,inf,14.495000000000001,20.495
5,TT2,BESTEFFORT,COMPLETED,m1-1,2.694,"{'m1-1': 1.087, 'm2-1': 5.972}",6.522,5.049,6.136,inf,14.693999999999999,20.694
6,TT2,BESTEFFORT,COMPLETED,m2-1,2.818,"{'m1-1': 1.095, 'm2-1': 5.923}",71.076,2.818,8.741,inf,14.817999999999998,20.817999999999998
7,TT2,BESTEFFORT,COMPLETED,m1-1,3.84,"{'m1-1': 1.041, 'm2-1': 5.938}",6.2459999999999996,6.136,7.177,inf,15.84,21.84
8,TT2,BESTEFFORT,COMPLETED,m1-1,4.466,"{'m1-1': 1.037, 'm2-1': 5.911}",6.2219999999999995,7.177,8.213999999999999,inf,16.466,22.466
9,TT2,BESTEFFORT,COMPLETED,m2-1,4.619,"{'m1-1': 1.055, 'm2-1': 6.0}",72.0,8.741,14.741,inf,16.619,22.619
10,TT2,BESTEFFORT,XCOMPLETED,m2-1,4.883,"{'m1-1': 1.032, 'm2-1': 5.926}",71.112,14.741,20.667,inf,16.883,22.883
11,TT2,BESTEFFORT,COMPLETED,m1-1,5.239,"{'m1-1': 1.058, 'm2-1': 5.956}",6.348000000000001,8.213999999999999,9.271999999999998,inf,17.239,23.239
12,TT2,BESTEFFORT,COMPLETED,m1-1,5.629,"{'m1-1': 1.065, 'm2-1': 5.946}",6.39,9.271999999999998,10.336999999999998,inf,17.628999999999998,23.628999999999998
13,TT2,BESTEFFORT,COMPLETED,m1-1,7.16,"{'m1-1': 1.068, 'm2-1': 5.966}",6.408,10.336999999999998,11.404999999999998,inf,19.16,25.16
14,TT2,BESTEFFORT,CANCELLED,,7.421,"{'m1-1': 1.098, 'm2-1': 5.907}",0.0,inf,inf,inf,19.421,25.421
15,TT2,BESTEFFORT,CANCELLED,,7.555,"{'m1-1': 1.072, 'm2-1': 5.955}",0.0,inf,inf,inf,19.555,25.555
16,TT2,BESTEFFORT,CANCELLED,,7.872,"{'m1-1': 1.062, 'm2-1': 5.974}",0.0,inf,inf,inf,19.872,25.872
17,TT2,BESTEFFORT,COMPLETED,m1-1,8.191,"{'m1-1': 1.031, 'm2-1': 5.929}",6.186,11.404999999999998,12.435999999999998,inf,20.191000000000003,26.191000000000003
18,TT1,BESTEFFORT,CANCELLED,,8.574,"{'m1-1': 5.969, 'm2-1': 1.009}",0.0,inf,inf,inf,20.573999999999998,26.573999999999998
19,TT2,BESTEFFORT,CANCELLED,m2-1,8.617,"{'m1-1': 1.072, 'm2-1': 5.947}",0.0,inf,inf,inf,20.617,26.617
20,TT2,BESTEFFORT,COMPLETED,m1-1,9.152,"{'m1-1': 1.048, 'm2-1': 5.945}",6.288,12.435999999999998,13.483999999999998,inf,21.152,27.152
21,TT2,BESTEFFORT,COMPLETED,m1-1,9.173,"{'m1-1': 1.008, 'm2-1': 5.938}",6.048,13.483999999999998,14.491999999999997,inf,21.173000000000002,27.173000000000002
22,TT2,BESTEFFORT,COMPLETED,m1-1,9.322,"{'m1-1': 1.077, 'm2-1': 5.938}",6.462,14.491999999999997,15.568999999999997,inf,21.322,27.322
23,TT2,BESTEFFORT,CANCELLED,,9.852,"{'m1-1': 1.015, 'm2-1': 5.942}",0.0,inf,inf,inf,21.852,27.852
24,TT1,BESTEFFORT,COMPLETED,m2-1,10.925,"{'m1-1': 5.912, 'm2-1': 1.041}",12.491999999999999,20.667,21.708000000000002,inf,22.925,28.925
25,TT1,BESTEFFORT,COMPLETED,m2-1,11.829,"{'m1-1': 5.917, 'm2-1': 1.049}",12.588,21.708000000000002,22.757,inf,23.829,29.829
26,TT2,BESTEFFORT,COMPLETED,m1-1,12.081,"{'m1-1': 1.095, 'm2-1': 5.926}",6.57,15.568999999999997,16.663999999999998,inf,24.081,30.081
27,TT2,BESTEFFORT,CANCELLED,,12.105,"{'m1-1': 1.083, 'm2-1': 5.946}",0.0,inf,inf,inf,24.105,30.105
28,TT2,BESTEFFORT,COMPLETED,m1-1,13.465,"{'m1-1': 1.098, 'm2-1': 5.916}",6.588000000000001,16.663999999999998,17.761999999999997,inf,25.465,31.465
29,TT2,BESTEFFORT,CANCELLED,,13.921,"{'m1-1': 1.017, 'm2-1': 5.946}",0.0,inf,inf,inf,25.921,31.921
30,TT2,BESTEFFORT,CANCELLED,,13.943,"{'m1-1': 1.088, 'm2-1': 5.973}",0.0,inf,inf,inf,25.942999999999998,31.942999999999998
31,TT2,BESTEFFORT,COMPLETED,m1-1,14.312,"{'m1-1': 1.044, 'm2-1': 5.963}",6.264,17.761999999999997,18.805999999999997,inf,26.311999999999998,32.312
32,TT2,BESTEFFORT,CANCELLED,m2-1,14.379,"{'m1-1': 1.044, 'm2-1': 5.914}",0.0,inf,inf,inf,26.378999999999998,32.379
33,TT2,BESTEFFORT,COMPLETED,m1-1,14.467,"{'m1-1': 1.061, 'm2-1': 5.947}",6.366,18.805999999999997,19.866999999999997,inf,26.467,32.467
34,TT2,BESTEFFORT,CANCELLED,,15.441,"{'m1-1': 1.059, 'm2-1': 5.965}",0.0,inf,inf,inf,27.441000000000003,33.441
35,TT2,BESTEFFORT,COMPLETED,m1-1,15.804,"{'m1-1': 1.048, 'm2-1': 5.908}",6.288,19.866999999999997,20.915,inf,27.804000000000002,33.804
36,TT2,BESTEFFORT,CANCELLED,,15.964,"{'m1-1': 1.016, 'm2-1': 5.988}",0.0,inf,inf,inf,27.964,33.964
37,TT2,BESTEFFORT,COMPLETED,m1-1,16.73,"{'m1-1': 1.024, 'm2-1': 5.944}",6.144,22.009999999999998,23.034,inf,28.730000000000004,34.730000000000004
38,TT2,BESTEFFORT,COMPLETED,m1-1,17.608,"{'m1-1': 1.095, 'm2-1': 5.919}",6.57,20.915,22.009999999999998,inf,29.608000000000004,35.608000000000004
39,TT1,BESTEFFORT,COMPLETED,m2-1,17.847,"{'m1-1': 5.929, 'm2-1': 1.045}",12.54,22.757,23.802,inf,29.847,35.847
40,TT2,BESTEFFORT,COMPLETED,m1-1,19.133,"{'m1-1': 1.09, 'm2-1': 5.956}",6.540000000000001,23.034,24.124,inf,31.132999999999996,37.132999999999996
41,TT2,BESTEFFORT,CANCELLED,,19.487,"{'m1-1': 1.032, 'm2-1': 5.908}",0.0,inf,inf,inf,31.486999999999995,37.486999999999995
42,TT2,BESTEFFORT,CANCELLED,,19.808,"{'m1-1': 1.049, 'm2-1': 5.95}",0.0,inf,inf,inf,31.808,37.808
43,TT2,BESTEFFORT,CANCELLED,,19.946,"{'m1-1': 1.033, 'm2-1': 5.932}",0.0,inf,inf,inf,31.945999999999998,37.946
44,TT2,BESTEFFORT,CANCELLED,,19.985,"{'m1-1': 1.088, 'm2-1': 5.928}",0.0,inf,inf,inf,31.985,37.985
45,TT2,BESTEFFORT,COMPLETED,m2-1,20.217,"{'m1-1': 1.08, 'm2-1': 5.953}",71.436,23.802,29.755,inf,32.217,38.217
46,TT2,BESTEFFORT,COMPLETED,m1-1,20.576,"{'m1-1': 1.01, 'm2-1': 5.995}",6.0600000000000005,24.124,25.134,inf,32.576,38.576
47,TT2,BESTEFFORT,CANCELLED,m2-1,20.711,"{'m1-1': 1.017, 'm2-1': 5.952}",0.0,inf,inf,inf,32.711,38.711
48,TT1,BESTEFFORT,COMPLETED,m2-1,21.741,"{'m1-1': 5.955, 'm2-1': 1.067}",12.803999999999998,29.755,30.822,inf,33.741,39.741
49,TT1,BESTEFFORT,COMPLETED,m2-1,22.898,"{'m1-1': 5.986, 'm2-1': 1.057}",12.684,30.822,31.878999999999998,inf,34.897999999999996,40.897999999999996
50,TT2,BESTEFFORT,COMPLETED,m1-1,23.218,"{'m1-1': 1.027, 'm2-1': 5.999}",6.161999999999999,25.134,26.161,inf,35.218,41.218
51,TT2,BESTEFFORT,COMPLETED,m1-1,23.903,"{'m1-1': 1.061, 'm2-1': 5.961}",6.366,26.161,27.222,inf,35.903,41.903
52,TT2,BESTEFFORT,CANCELLED,m2-1,23.972,"{'m1-1': 1.05, 'm2-1': 5.999}",0.0,inf,inf,inf,35.972,41.972
53,TT1,BESTEFFORT,COMPLETED,m1-1,24.17,"{'m1-1': 5.95, 'm2-1': 1.093}",35.7,27.222,33.172000000000004,inf,36.17,42.17
54,TT2,BESTEFFORT,COMPLETED,m1-1,26.134,"{'m1-1': 1.022, 'm2-1': 5.9}",6.132,33.172000000000004,34.194,inf,38.134,44.134
55,TT2,BESTEFFORT,COMPLETED,m1-1,26.155,"{'m1-1': 1.025, 'm2-1': 5.925}",6.1499999999999995,34.194,35.219,inf,38.155,44.155
56,TT2,BESTEFFORT,CANCELLED,,26.595,"{'m1-1': 1.081, 'm2-1': 5.92}",0.0,inf,inf,inf,38.595,44.595
57,TT2,BESTEFFORT,COMPLETED,m1-1,27.145,"{'m1-1': 1.089, 'm2-1': 5.996}",6.534,35.219,36.308,inf,39.144999999999996,45.144999999999996
58,TT2,BESTEFFORT,CANCELLED,,27.606,"{'m1-1': 1.072, 'm2-1': 5.955}",0.0,inf,inf,inf,39.606,45.606
59,TT2,BESTEFFORT,CANCELLED,,27.617,"{'m1-1': 1.067, 'm2-1': 5.91}",0.0,inf,inf,inf,39.617000000000004,45.617000000000004
60,TT1,BESTEFFORT,COMPLETED,m2-1,28.44,"{'m1-1': 5.979, 'm2-1': 1.07}",12.84,31.878999999999998,32.949,inf,40.44,46.44
61,TT2,BESTEFFORT,CANCELLED,m2-1,28.829,"{'m1-1': 1.064, 'm2-1': 5.988}",0.0,inf,inf,inf,40.829,46.829
62,TT2,BESTEFFORT,CANCELLED,,30.429,"{'m1-1': 1.048, 'm2-1': 5.984}",0.0,inf,inf,inf,42.429,48.429
63,TT2,BESTEFFORT,CANCELLED,,30.617,"{'m1-1': 1.081, 'm2-1': 5.929}",0.0,inf,inf,inf,42.617000000000004,48.617000000000004
64,TT2,BESTEFFORT,CANCELLED,m2-1,30.697,"{'m1-1': 1.092, 'm2-1': 5.909}",0.0,inf,inf,inf,42.697,48.697
65,TT1,BESTEFFORT,COMPLETED,m2-1,30.772,"{'m1-1': 5.947, 'm2-1': 1.0}",12.0,32.949,33.949,inf,42.772,48.772
66,TT2,BESTEFFORT,CANCELLED,,31.21,"{'m1-1': 1.094, 'm2-1': 5.933}",0.0,inf,inf,inf,43.21,49.21
67,TT1,BESTEFFORT,COMPLETED,m2-1,31.324,"{'m1-1': 5.906, 'm2-1': 1.072}",12.864,33.949,35.021,inf,43.324,49.324
68,TT1,BESTEFFORT,COMPLETED,m2-1,31.386,"{'m1-1': 5.974, 'm2-1': 1.09}",13.080000000000002,35.021,36.111000000000004,inf,43.385999999999996,49.385999999999996
69,TT1,BESTEFFORT,COMPLETED,m2-1,31.948,"{'m1-1': 5.987, 'm2-1': 1.007}",12.084,36.111000000000004,37.118,inf,43.948,49.948
70,TT1,BESTEFFORT,CANCELLED,m1-1,33.018,"{'m1-1': 5.975, 'm2-1': 1.038}",0.0,inf,inf,inf,45.018,51.018
71,TT1,BESTEFFORT,CANCELLED,,33.451,"{'m1-1': 5.986, 'm2-1': 1.077}",0.0,inf,inf,inf,45.451,51.451
72,TT1,BESTEFFORT,CANCELLED,,33.459,"{'m1-1': 5.902, 'm2-1': 1.068}",0.0,inf,inf,inf,45.459,51.459
73,TT2,BESTEFFORT,CANCELLED,m2-1,33.473,"{'m1-1': 1.083, 'm2-1': 5.972}",0.0,inf,inf,inf,45.473,51.473
74,TT2,BESTEFFORT,COMPLETED,m1-1,33.687,"{'m1-1': 1.032, 'm2-1': 5.956}",6.192,36.308,37.34,inf,45.687,51.687
75,TT1,BESTEFFORT,CANCELLED,m1-1,33.691,"{'m1-1': 5.995, 'm2-1': 1.079}",0.0,inf,inf,inf,45.691,51.691
76,TT1,BESTEFFORT,COMPLETED,m2-1,34.298,"{'m1-1': 5.92, 'm2-1': 1.041}",12.491999999999999,37.118,38.159,inf,46.298,52.298
77,TT2,BESTEFFORT,COMPLETED,m2-1,34.362,"{'m1-1': 1.05, 'm2-1': 5.967}",71.604,38.159,44.126,inf,46.362,52.362
78,TT2,BESTEFFORT,COMPLETED,m1-1,34.488,"{'m1-1': 1.062, 'm2-1': 5.981}",6.372,37.34,38.402,inf,46.488,52.488
79,TT2,BESTEFFORT,COMPLETED,m1-1,35.892,"{'m1-1': 1.01, 'm2-1': 5.931}",6.0600000000000005,38.402,39.412,inf,47.892,53.892
80,TT1,BESTEFFORT,COMPLETED,m2-1,36.511,"{'m1-1': 5.977, 'm2-1': 1.038}",12.456,44.126,45.163999999999994,inf,48.511,54.511
81,TT1,BESTEFFORT,COMPLETED,m2-1,37.252,"{'m1-1': 5.984, 'm2-1': 1.0}",12.0,45.163999999999994,46.163999999999994,inf,49.252,55.252
82,TT2,BESTEFFORT,COMPLETED,m1-1,37.507,"{'m1-1': 1.004, 'm2-1': 5.92}",6.024,39.412,40.416,inf,49.507,55.507
83,TT1,BESTEFFORT,CANCELLED,m1-1,37.801,"{'m1-1': 5.932, 'm2-1': 1.069}",0.0,inf,inf,inf,49.801,55.801
84,TT1,BESTEFFORT,COMPLETED,m2-1,38.214,"{'m1-1': 5.965, 'm2-1': 1.07}",12.84,46.163999999999994,47.233999999999995,inf,50.214,56.214
85,TT2,BESTEFFORT,COMPLETED,m1-1,38.524,"{'m1-1': 1.048, 'm2-1': 5.961}",6.288,40.416,41.464,inf,50.524,56.524
86,TT1,BESTEFFORT,CANCELLED,m1-1,39.197,"{'m1-1': 5.932, 'm2-1': 1.082}",0.0,inf,inf,inf,51.197,57.197
87,TT2,BESTEFFORT,COMPLETED,m1-1,39.285,"{'m1-1': 1.044, 'm2-1': 5.919}",6.264,41.464,42.507999999999996,inf,51.285,57.285
88,TT1,BESTEFFORT,CANCELLED,m1-1,39.606,"{'m1-1': 5.979, 'm2-1': 1.053}",0.0,inf,inf,inf,51.606,57.606
89,TT2,BESTEFFORT,CANCELLED,,40.216,"{'m1-1': 1.07, 'm2-1': 5.901}",0.0,inf,inf,inf,52.216,58.216
90,TT2,BESTEFFORT,COMPLETED,m1-1,40.581,"{'m1-1': 1.0, 'm2-1': 5.917}",6.0,42.507999999999996,43.507999999999996,inf,52.581,58.581
91,TT1,BESTEFFORT,COMPLETED,m1-1,40.885,"{'m1-1': 5.916, 'm2-1': 1.043}",35.496,44.596999999999994,50.51299999999999,inf,52.885,58.885
92,TT2,BESTEFFORT,CANCELLED,,41.109,"{'m1-1': 1.095, 'm2-1': 5.921}",0.0,inf,inf,inf,53.109,59.109
93,TT2,BESTEFFORT,COMPLETED,m1-1,41.184,"{'m1-1': 1.089, 'm2-1': 5.918}",6.534,43.507999999999996,44.596999999999994,inf,53.184,59.184
94,TT2,BESTEFFORT,CANCELLED,,41.195,"{'m1-1': 1.068, 'm2-1': 5.921}",0.0,inf,inf,inf,53.195,59.195
95,TT2,BESTEFFORT,CANCELLED,,41.519,"{'m1-1': 1.019, 'm2-1': 5.997}",0.0,inf,inf,inf,53.519,59.519
96,TT1,BESTEFFORT,CANCELLED,m1-1,41.951,"{'m1-1': 5.987, 'm2-1': 1.088}",0.0,inf,inf,inf,53.951,59.951
97,TT2,BESTEFFORT,COMPLETED,m1-1,42.09,"{'m1-1': 1.087, 'm2-1': 5.999}",6.522,51.602999999999994,52.69,inf,54.09,60.09
98,TT1,BESTEFFORT,COMPLETED,m2-1,42.24,"{'m1-1': 5.963, 'm2-1': 1.094}",13.128,47.233999999999995,48.327999999999996,inf,54.24,60.24
99,TT2,BESTEFFORT,COMPLETED,m1-1,42.885,"{'m1-1': 1.09, 'm2-1': 5.954}",6.540000000000001,50.51299999999999,51.602999999999994,inf,54.885,60.885
100,TT2,BESTEFFORT,COMPLETED,m2-1,44.362,"{'m1-1': 1.066, 'm2-1': 5.988}",71.85600000000001,48.327999999999996,54.315999999999995,inf,56.362,62.362
101,TT2,BESTEFFORT,XCOMPLETED,m2-1,45.557,"{'m1-1': 1.052, 'm2-1': 5.986}",71.832,54.315999999999995,60.30199999999999,inf,57.557,63.557
102,TT2,BESTEFFORT,CANCELLED,,46.017,"{'m1-1': 1.069, 'm2-1': 5.926}",0.0,inf,inf,inf,58.016999999999996,64.017
103,TT2,BESTEFFORT,COMPLETED,m1-1,46.798,"{'m1-1': 1.048, 'm2-1': 5.944}",6.288,52.69,53.738,inf,58.798,64.798
104,TT2,BESTEFFORT,CANCELLED,,47.244,"{'m1-1': 1.048, 'm2-1': 5.963}",0.0,inf,inf,inf,59.244,65.244
105,TT2,BESTEFFORT,CANCELLED,,47.658,"{'m1-1': 1.048, 'm2-1': 5.938}",0.0,inf,inf,inf,59.658,65.658
106,TT2,BESTEFFORT,XCOMPLETED,m2-1,48.39,"{'m1-1': 1.066, 'm2-1': 5.905}",70.86,60.30199999999999,66.207,inf,60.39,66.39
107,TT1,BESTEFFORT,CANCELLED,,49.033,"{'m1-1': 5.957, 'm2-1': 1.058}",0.0,inf,inf,inf,61.033,67.033
108,TT2,BESTEFFORT,CANCELLED,,49.176,"{'m1-1': 1.056, 'm2-1': 5.961}",0.0,inf,inf,inf,61.176,67.176
109,TT2,BESTEFFORT,CANCELLED,,49.447,"{'m1-1': 1.02, 'm2-1': 5.99}",0.0,inf,inf,inf,61.447,67.447
110,TT2,BESTEFFORT,COMPLETED,m1-1,49.904,"{'m1-1': 1.092, 'm2-1': 5.985}",6.5520000000000005,53.738,54.83,inf,61.903999999999996,67.904
111,TT1,BESTEFFORT,XCOMPLETED,m2-1,50.333,"{'m1-1': 5.93, 'm2-1': 1.003}",12.035999999999998,66.207,67.21,inf,62.333,68.333
112,TT2,BESTEFFORT,CANCELLED,,51.062,"{'m1-1': 1.04, 'm2-1': 5.902}",0.0,inf,inf,inf,63.062,69.062
113,TT2,BESTEFFORT,COMPLETED,m1-1,51.103,"{'m1-1': 1.057, 'm2-1': 5.997}",6.342,54.83,55.887,inf,63.10300000000001,69.10300000000001
114,TT2,BESTEFFORT,COMPLETED,m1-1,51.245,"{'m1-1': 1.088, 'm2-1': 5.937}",6.5280000000000005,55.887,56.975,inf,63.245000000000005,69.245
