Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,2000,0,0,708,64.60000000000001,0.0,64.60000000000001,25.1796652777778,70.92301319444452,0.05489397306071556
1,2000,1998,2,0,692,65.3,0.0,65.3,24.58882083333332,70.78681666666657,0.0542012378764675
2,2000,2000,0,0,677,66.14999999999999,0.0,66.14999999999999,25.43992083333333,71.10255416666648,0.05374342718568896
3,2000,1998,2,0,708,64.5,0.0,64.5,24.673506944444444,70.25954166666676,0.05446476098191222
4,2000,1998,2,0,724,63.7,0.0,63.7,25.52478194444448,70.11418472222236,0.05503468188557486
5,2000,1999,1,0,643,67.80000000000001,0.0,67.80000000000001,23.57133472222226,71.70934097222201,0.052882994817272856
6,2000,1998,2,0,781,60.85,0.0,60.85,27.703827777777768,69.39090069444418,0.05701799564046358
7,2000,1997,3,0,663,66.7,0.0,66.7,22.568527777777774,69.67962361111121,0.052233600907879464
8,2000,1996,4,0,640,67.80000000000001,0.0,67.80000000000001,23.12607083333336,71.33882083333333,0.05260974987708946
9,2000,2000,0,0,606,69.69999999999999,0.0,69.69999999999999,20.691305555555576,71.92605972222208,0.05159688645783508
10,2000,1999,1,0,649,67.5,0.0,67.5,22.76864722222225,70.63732361111101,0.052323943415637786
11,2000,1998,2,0,652,67.30000000000001,0.0,67.30000000000001,23.49029583333334,70.83238472222216,0.05262435714875345
12,2000,1997,3,0,646,67.55,0.0,67.55,23.221609722222222,71.7242006944444,0.05308971183896699
13,2000,2000,0,0,625,68.75,0.0,68.75,22.91704583333331,72.02350902777789,0.052380733838383924
14,2000,1990,10,0,679,65.55,0.0,65.55,22.139948611111077,69.38489999999979,0.0529251716247138
15,2000,1998,2,0,672,66.3,0.0,66.3,23.95288611111111,70.90627916666648,0.05347381535947699
16,2000,1999,1,0,687,65.60000000000001,0.0,65.60000000000001,24.51524166666668,70.77561944444437,0.053944831893631376
17,2000,1994,6,0,709,64.25,0.0,64.25,25.84748194444446,70.27321041666661,0.054687323281452614
18,2000,1994,6,0,721,63.65,0.0,63.65,25.012215277777777,69.65289097222217,0.05471554671816353
19,2000,2000,0,0,615,69.25,0.0,69.25,21.307548611111105,71.16263263888855,0.05138096219414336
20,2000,1998,2,0,694,65.2,0.0,65.2,25.19837638888893,71.09314444444459,0.054519282549420685
21,2000,1999,1,0,641,67.9,0.0,67.9,22.45951666666666,71.80342222222205,0.052874390443462475
22,2000,1999,1,0,654,67.25,0.0,67.25,24.52068194444443,71.85194861111088,0.05342152313093747
23,2000,1997,3,0,631,68.30000000000001,0.0,68.30000000000001,22.087152777777792,70.67624722222213,0.05173956604847886
24,2000,1995,5,0,649,67.30000000000001,0.0,67.30000000000001,21.717122222222233,69.8685923611112,0.051908315275714094
25,2000,1997,3,0,655,67.10000000000001,0.0,67.10000000000001,23.18266666666668,71.11741041666644,0.05299359941629392
26,2000,1994,6,0,698,64.8,0.0,64.8,24.277358333333343,69.77654583333339,0.05383992734053502
27,2000,1995,5,0,624,68.55,0.0,68.55,21.75662500000001,70.9494111111112,0.05175011751357492
28,2000,1997,3,0,709,64.4,0.0,64.4,25.035230555555565,69.48999374999991,0.05395185850155272
29,2000,1996,4,0,642,67.7,0.0,67.7,22.824291666666696,70.63685902777785,0.05216902439274582
