Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,1571,429,0,495,53.800000000000004,0.0,53.800000000000004,13.76729999999999,54.02759652777763,0.05021152093659631
1,2000,1572,428,0,534,51.9,0.0,51.9,14.343444444444438,53.81730902777765,0.05184711852387057
2,2000,1630,370,0,503,56.35,0.0,56.35,13.877691666666669,56.82108819444446,0.050418001947155684
3,2000,1594,406,0,491,55.15,0.0,55.15,11.964180555555558,53.55541875000006,0.048554323436083464
4,2000,1609,391,0,503,55.300000000000004,0.0,55.300000000000004,12.626316666666668,54.7105208333333,0.049467017028330285
5,2000,1622,378,0,523,54.949999999999996,0.0,54.949999999999996,13.933097222222221,55.4326972222221,0.050439214942877265
6,2000,1582,418,0,513,53.449999999999996,0.0,53.449999999999996,13.2015388888889,54.144302083333216,0.05064948744932948
7,2000,1608,392,0,525,54.15,0.0,54.15,14.014683333333334,54.75229236111109,0.05055613329742484
8,2000,1613,387,0,519,54.7,0.0,54.7,15.464147222222218,55.773301388889074,0.05098107988015454
9,2000,1563,437,0,478,54.25,0.0,54.25,12.631811111111121,53.39137152777783,0.04920863735279063
10,2000,1589,411,0,487,55.1,0.0,55.1,13.614838888888894,54.97561736111073,0.04988713009175203
11,2000,1650,350,0,515,56.75,0.0,56.75,13.417258333333344,57.03167777777776,0.05024817425354868
12,2000,1610,390,0,483,56.35,0.0,56.35,13.963308333333321,57.12199375000013,0.05068499889086081
13,2000,1630,370,0,513,55.85,0.0,55.85,13.513861111111126,56.2362347222222,0.050345778623296505
14,2000,1601,399,0,508,54.65,0.0,54.65,13.356672222222235,55.193763194444436,0.05049749606079088
15,2000,1610,390,0,527,54.15,0.0,54.15,13.248802777777794,54.599079861111036,0.050414662844977864
16,2000,1605,395,0,485,56.00000000000001,0.0,56.00000000000001,13.778880555555547,56.9050993055553,0.050808124379960067
17,2000,1639,361,0,537,55.1,0.0,55.1,14.769055555555562,56.10394722222223,0.05091102288767897
18,2000,1640,360,0,476,58.199999999999996,0.0,58.199999999999996,11.919688888888901,56.614774999999895,0.04863812285223359
19,2000,1581,419,0,480,55.05,0.0,55.05,13.736172222222216,55.38533749999996,0.050304575386012684
20,2000,1545,455,0,526,50.949999999999996,0.0,50.949999999999996,13.632113888888897,52.47726249999991,0.05149878557409217
21,2000,1604,396,0,526,53.900000000000006,0.0,53.900000000000006,13.463561111111114,53.87871874999972,0.049980258580704755
22,2000,1509,491,0,485,51.2,0.0,51.2,12.534855555555557,52.4078055555556,0.05117949761284726
23,2000,1583,417,0,542,52.05,0.0,52.05,13.926788888888908,53.72165555555565,0.05160581705624943
24,2000,1575,425,0,469,55.300000000000004,0.0,55.300000000000004,11.909416666666669,53.80147569444418,0.0486450955645969
25,2000,1578,422,0,491,54.35,0.0,54.35,13.798755555555548,54.418643750000115,0.050063149724011144
26,2000,1557,443,0,486,53.55,0.0,53.55,13.357986111111108,54.53364027777755,0.050918431631911815
27,2000,1584,416,0,492,54.6,0.0,54.6,13.388900000000014,54.66517291666682,0.0500596821581198
28,2000,1541,459,0,514,51.349999999999994,0.0,51.349999999999994,14.32114166666667,53.04924236111087,0.05165456899816054
29,2000,1564,436,0,501,53.15,0.0,53.15,13.076747222222226,53.67344861111094,0.0504924257865578
