id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT4,BESTEFFORT,COMPLETED,m4-1,0.076,"{'m1-1': 2.07, 'm2-1': 1.897, 'm3-1': 5.061, 'm4-1': 0.853}",1.2795,0.076,0.9289999999999999,inf,5.076,5.076
1,TT2,BESTEFFORT,COMPLETED,m4-1,0.143,"{'m1-1': 2.024, 'm2-1': 1.838, 'm3-1': 4.784, 'm4-1': 0.913}",1.3695,0.9289999999999999,1.842,inf,5.242999999999999,5.242999999999999
2,TT3,BESTEFFORT,COMPLETED,m4-1,0.213,"{'m1-1': 2.165, 'm2-1': 1.484, 'm3-1': 4.458, 'm4-1': 0.922}",1.383,1.842,2.7640000000000002,inf,5.413,5.413
3,TT3,BESTEFFORT,COMPLETED,m4-1,0.35,"{'m1-1': 2.052, 'm2-1': 1.275, 'm3-1': 4.943, 'm4-1': 0.828}",1.242,2.7640000000000002,3.592,inf,5.55,5.55
4,TT1,BESTEFFORT,COMPLETED,m1-1,0.384,"{'m1-1': 2.042, 'm2-1': 1.651, 'm3-1': 4.389, 'm4-1': 0.642}",3.2672,0.384,2.4259999999999997,inf,5.384,5.384
5,TT2,BESTEFFORT,COMPLETED,m1-1,0.464,"{'m1-1': 2.371, 'm2-1': 1.806, 'm3-1': 3.751, 'm4-1': 1.014}",3.7936,2.4259999999999997,4.797,inf,5.564,5.564
6,TT3,BESTEFFORT,COMPLETED,m2-1,0.591,"{'m1-1': 1.81, 'm2-1': 1.735, 'm3-1': 5.74, 'm4-1': 0.868}",5.205,0.591,2.326,inf,5.791,5.791
7,TT2,BESTEFFORT,COMPLETED,m2-1,0.6,"{'m1-1': 1.94, 'm2-1': 2.022, 'm3-1': 4.868, 'm4-1': 1.005}",6.065999999999999,2.326,4.348,inf,5.699999999999999,5.699999999999999
8,TT2,BESTEFFORT,COMPLETED,m3-1,0.795,"{'m1-1': 2.526, 'm2-1': 2.081, 'm3-1': 4.514, 'm4-1': 0.954}",8.125200000000001,0.795,5.309,inf,5.895,5.895
9,TT3,BESTEFFORT,COMPLETED,m2-1,0.807,"{'m1-1': 2.046, 'm2-1': 1.352, 'm3-1': 5.925, 'm4-1': 0.93}",4.056,4.348,5.7,inf,6.007000000000001,6.007000000000001
10,TT4,BESTEFFORT,COMPLETED,m4-1,0.975,"{'m1-1': 1.968, 'm2-1': 1.571, 'm3-1': 3.8, 'm4-1': 0.796}",1.194,3.592,4.388,inf,5.975,5.975
11,TT2,BESTEFFORT,CANCELLED,,1.075,"{'m1-1': 2.421, 'm2-1': 1.875, 'm3-1': 5.127, 'm4-1': 0.938}",0.0,inf,inf,inf,6.175,6.175
12,TT4,BESTEFFORT,CANCELLED,,1.132,"{'m1-1': 2.411, 'm2-1': 1.747, 'm3-1': 3.751, 'm4-1': 0.839}",0.0,inf,inf,inf,6.132,6.132
13,TT2,BESTEFFORT,CANCELLED,,1.144,"{'m1-1': 1.876, 'm2-1': 1.836, 'm3-1': 4.521, 'm4-1': 0.82}",0.0,inf,inf,inf,6.244,6.244
14,TT2,BESTEFFORT,CANCELLED,,1.167,"{'m1-1': 2.116, 'm2-1': 1.907, 'm3-1': 3.983, 'm4-1': 0.774}",0.0,inf,inf,inf,6.2669999999999995,6.2669999999999995
15,TT2,BESTEFFORT,CANCELLED,,1.234,"{'m1-1': 2.625, 'm2-1': 1.605, 'm3-1': 4.821, 'm4-1': 0.843}",0.0,inf,inf,inf,6.334,6.334
16,TT4,BESTEFFORT,CANCELLED,,1.235,"{'m1-1': 2.335, 'm2-1': 1.891, 'm3-1': 4.764, 'm4-1': 0.925}",0.0,inf,inf,inf,6.235,6.235
17,TT2,BESTEFFORT,CANCELLED,,1.236,"{'m1-1': 1.944, 'm2-1': 2.113, 'm3-1': 4.715, 'm4-1': 0.813}",0.0,inf,inf,inf,6.335999999999999,6.335999999999999
18,TT2,BESTEFFORT,CANCELLED,,1.283,"{'m1-1': 2.32, 'm2-1': 1.803, 'm3-1': 3.95, 'm4-1': 0.808}",0.0,inf,inf,inf,6.382999999999999,6.382999999999999
19,TT4,BESTEFFORT,CANCELLED,,1.343,"{'m1-1': 1.961, 'm2-1': 1.88, 'm3-1': 4.753, 'm4-1': 0.97}",0.0,inf,inf,inf,6.343,6.343
20,TT3,BESTEFFORT,CANCELLED,,1.441,"{'m1-1': 1.926, 'm2-1': 1.775, 'm3-1': 4.542, 'm4-1': 0.75}",0.0,inf,inf,inf,6.641,6.641
21,TT4,BESTEFFORT,MISSED,m1-1,1.536,"{'m1-1': 2.067, 'm2-1': 1.72, 'm3-1': 4.976, 'm4-1': 0.876}",2.7824,4.797,inf,6.536,6.536,6.536
22,TT1,BESTEFFORT,CANCELLED,,1.691,"{'m1-1': 2.548, 'm2-1': 1.771, 'm3-1': 4.606, 'm4-1': 0.656}",0.0,inf,inf,inf,6.691,6.691
