id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT4,BESTEFFORT,RUNNING,m4-1,0.002,"{'m1-1': 2.278, 'm2-1': 1.446, 'm3-1': 4.022, 'm4-1': 0.92}",0.0,0.002,0.922,inf,5.002,5.002
1,TT3,BESTEFFORT,PENDING,m4-1,0.005,"{'m1-1': 2.408, 'm2-1': 1.444, 'm3-1': 4.84, 'm4-1': 0.804}",0.0,inf,inf,inf,5.205,5.205
2,TT3,BESTEFFORT,PENDING,m4-1,0.025,"{'m1-1': 2.175, 'm2-1': 1.583, 'm3-1': 4.735, 'm4-1': 0.983}",0.0,inf,inf,inf,5.2250000000000005,5.2250000000000005
3,TT2,BESTEFFORT,PENDING,m4-1,0.045,"{'m1-1': 2.499, 'm2-1': 1.898, 'm3-1': 4.248, 'm4-1': 0.94}",0.0,inf,inf,inf,5.145,5.145
4,TT1,BESTEFFORT,RUNNING,m1-1,0.049,"{'m1-1': 1.919, 'm2-1': 1.531, 'm3-1': 4.341, 'm4-1': 0.774}",0.0,0.049,1.968,inf,5.049,5.049
5,TT4,BESTEFFORT,ARRIVING,,0.073,"{'m1-1': 2.317, 'm2-1': 1.454, 'm3-1': 3.731, 'm4-1': 0.988}",0.0,inf,inf,inf,5.073,5.073
6,TT1,BESTEFFORT,ARRIVING,,0.074,"{'m1-1': 2.259, 'm2-1': 1.515, 'm3-1': 4.915, 'm4-1': 0.801}",0.0,inf,inf,inf,5.074,5.074
7,TT2,BESTEFFORT,ARRIVING,,0.074,"{'m1-1': 2.263, 'm2-1': 1.833, 'm3-1': 4.948, 'm4-1': 0.995}",0.0,inf,inf,inf,5.1739999999999995,5.1739999999999995
8,TT1,BESTEFFORT,ARRIVING,,0.089,"{'m1-1': 1.907, 'm2-1': 1.799, 'm3-1': 3.672, 'm4-1': 0.84}",0.0,inf,inf,inf,5.089,5.089
9,TT2,BESTEFFORT,ARRIVING,,0.092,"{'m1-1': 2.564, 'm2-1': 1.52, 'm3-1': 4.723, 'm4-1': 0.868}",0.0,inf,inf,inf,5.191999999999999,5.191999999999999
10,TT1,BESTEFFORT,ARRIVING,,0.095,"{'m1-1': 2.109, 'm2-1': 1.895, 'm3-1': 4.723, 'm4-1': 0.631}",0.0,inf,inf,inf,5.095,5.095
11,TT2,BESTEFFORT,ARRIVING,,0.102,"{'m1-1': 2.501, 'm2-1': 1.882, 'm3-1': 4.974, 'm4-1': 0.959}",0.0,inf,inf,inf,5.202,5.202
12,TT2,BESTEFFORT,ARRIVING,,0.109,"{'m1-1': 1.948, 'm2-1': 1.52, 'm3-1': 3.93, 'm4-1': 0.799}",0.0,inf,inf,inf,5.209,5.209
13,TT4,BESTEFFORT,ARRIVING,,0.113,"{'m1-1': 1.819, 'm2-1': 1.386, 'm3-1': 3.925, 'm4-1': 0.755}",0.0,inf,inf,inf,5.113,5.113
14,TT4,BESTEFFORT,ARRIVING,,0.128,"{'m1-1': 2.152, 'm2-1': 1.555, 'm3-1': 4.706, 'm4-1': 0.975}",0.0,inf,inf,inf,5.128,5.128
15,TT4,BESTEFFORT,ARRIVING,,0.141,"{'m1-1': 1.856, 'm2-1': 1.89, 'm3-1': 3.826, 'm4-1': 0.948}",0.0,inf,inf,inf,5.141,5.141
16,TT4,BESTEFFORT,ARRIVING,,0.157,"{'m1-1': 2.265, 'm2-1': 1.369, 'm3-1': 4.582, 'm4-1': 1.068}",0.0,inf,inf,inf,5.157,5.157
17,TT2,BESTEFFORT,ARRIVING,,0.157,"{'m1-1': 2.388, 'm2-1': 1.514, 'm3-1': 4.972, 'm4-1': 0.96}",0.0,inf,inf,inf,5.257,5.257
18,TT3,BESTEFFORT,ARRIVING,,0.188,"{'m1-1': 2.277, 'm2-1': 1.514, 'm3-1': 4.732, 'm4-1': 0.949}",0.0,inf,inf,inf,5.388,5.388
19,TT1,BESTEFFORT,ARRIVING,,0.199,"{'m1-1': 2.485, 'm2-1': 1.844, 'm3-1': 3.615, 'm4-1': 0.688}",0.0,inf,inf,inf,5.199,5.199
20,TT2,BESTEFFORT,ARRIVING,,0.202,"{'m1-1': 1.979, 'm2-1': 1.695, 'm3-1': 3.831, 'm4-1': 0.725}",0.0,inf,inf,inf,5.302,5.302
21,TT3,BESTEFFORT,ARRIVING,,0.211,"{'m1-1': 2.007, 'm2-1': 1.683, 'm3-1': 5.531, 'm4-1': 0.818}",0.0,inf,inf,inf,5.4110000000000005,5.4110000000000005
22,TT3,BESTEFFORT,ARRIVING,,0.211,"{'m1-1': 1.798, 'm2-1': 1.514, 'm3-1': 4.764, 'm4-1': 0.941}",0.0,inf,inf,inf,5.4110000000000005,5.4110000000000005
23,TT3,BESTEFFORT,ARRIVING,,0.211,"{'m1-1': 2.395, 'm2-1': 1.326, 'm3-1': 5.958, 'm4-1': 0.923}",0.0,inf,inf,inf,5.4110000000000005,5.4110000000000005
24,TT4,BESTEFFORT,ARRIVING,,0.214,"{'m1-1': 1.788, 'm2-1': 1.852, 'm3-1': 3.713, 'm4-1': 0.817}",0.0,inf,inf,inf,5.214,5.214
25,TT1,BESTEFFORT,ARRIVING,,0.221,"{'m1-1': 2.057, 'm2-1': 1.567, 'm3-1': 4.401, 'm4-1': 0.732}",0.0,inf,inf,inf,5.221,5.221
26,TT2,BESTEFFORT,ARRIVING,,0.225,"{'m1-1': 2.459, 'm2-1': 1.679, 'm3-1': 4.194, 'm4-1': 0.736}",0.0,inf,inf,inf,5.324999999999999,5.324999999999999
27,TT4,BESTEFFORT,ARRIVING,,0.228,"{'m1-1': 2.007, 'm2-1': 1.88, 'm3-1': 4.343, 'm4-1': 1.006}",0.0,inf,inf,inf,5.228,5.228
28,TT1,BESTEFFORT,ARRIVING,,0.228,"{'m1-1': 1.999, 'm2-1': 1.783, 'm3-1': 4.506, 'm4-1': 0.736}",0.0,inf,inf,inf,5.228,5.228
29,TT4,BESTEFFORT,ARRIVING,,0.238,"{'m1-1': 2.102, 'm2-1': 1.799, 'm3-1': 4.332, 'm4-1': 0.987}",0.0,inf,inf,inf,5.2379999999999995,5.2379999999999995
30,TT1,BESTEFFORT,ARRIVING,,0.243,"{'m1-1': 2.156, 'm2-1': 1.577, 'm3-1': 3.709, 'm4-1': 0.798}",0.0,inf,inf,inf,5.243,5.243
31,TT1,BESTEFFORT,ARRIVING,,0.246,"{'m1-1': 2.55, 'm2-1': 1.656, 'm3-1': 3.866, 'm4-1': 0.738}",0.0,inf,inf,inf,5.246,5.246
32,TT4,BESTEFFORT,ARRIVING,,0.25,"{'m1-1': 1.842, 'm2-1': 1.588, 'm3-1': 5.016, 'm4-1': 0.939}",0.0,inf,inf,inf,5.25,5.25
