Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,10,0,0,0,0.0,0.0,0.0,0.0,0.00023333333336318497,inf
1,2000,10,0,0,0,0.0,0.0,0.0,0.0,0.0001597222222547619,inf
2,2000,10,0,0,0,0.0,0.0,0.0,0.0,0.00011805555552907915,inf
3,2000,8,0,0,0,0.0,0.0,0.0,0.0,0.0001416666666626851,inf
4,2000,7,0,0,0,0.0,0.0,0.0,0.0,0.00013958333331882185,inf
5,2000,9,0,0,0,0.0,0.0,0.0,0.0,0.00011944444443340925,inf
6,2000,4,0,0,0,0.0,0.0,0.0,0.0,0.00014166666665005323,inf
7,2000,6,0,0,0,0.0,0.0,0.0,0.0,0.0001722222221789909,inf
8,2000,10,0,0,0,0.0,0.0,0.0,0.0,8.6111111133707e-05,inf
9,2000,7,0,0,0,0.0,0.0,0.0,0.0,0.00010486111114005327,inf
10,2000,7,0,0,0,0.0,0.0,0.0,0.0,8.263888883498618e-05,inf
11,2000,7,0,0,0,0.0,0.0,0.0,0.0,0.00011111111109585181,inf
12,2000,6,0,0,0,0.0,0.0,0.0,0.0,0.0001305555556048906,inf
13,2000,10,0,0,0,0.0,0.0,0.0,0.0,7.013888888549343e-05,inf
14,2000,6,0,0,0,0.0,0.0,0.0,0.0,9.652777778986396e-05,inf
15,2000,5,0,0,0,0.0,0.0,0.0,0.0,0.00012152777773937689,inf
16,2000,8,0,0,0,0.0,0.0,0.0,0.0,0.00012083333331247559,inf
17,2000,10,1,0,0,0.0,0.0,0.0,0.0,4.652777778978311e-05,inf
18,2000,4,0,0,0,0.0,0.0,0.0,0.0,5.4166666662543626e-05,inf
19,2000,7,0,0,0,0.0,0.0,0.0,0.0,0.00011111111109585181,inf
20,2000,5,0,0,0,0.0,0.0,0.0,0.0,9.930555558589226e-05,inf
21,2000,6,0,0,0,0.0,0.0,0.0,0.0,0.00010416666662472887,inf
22,2000,7,0,0,0,0.0,0.0,0.0,0.0,0.00010624999995596023,inf
23,2000,7,0,0,0,0.0,0.0,0.0,0.0,8.055555552901852e-05,inf
24,2000,9,0,0,0,0.0,0.0,0.0,0.0,9.097222224833482e-05,inf
25,2000,10,0,0,0,0.0,0.0,0.0,0.0,0.00010138888887922803,inf
26,2000,7,0,0,0,0.0,0.0,0.0,0.0,0.00012361111108324016,inf
27,2000,7,0,0,0,0.0,0.0,0.0,0.0,0.00012083333336300308,inf
28,2000,8,0,0,0,0.0,0.0,0.0,0.0,9.166666663734052e-05,inf
29,2000,6,0,0,0,0.0,0.0,0.0,0.0,0.00011666666667527656,inf
