Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,158,1842,0,119,1.95,0.0,1.95,1.4929097222222223,2.859404861111102,0.07331807336182314
1,2000,140,1860,0,102,1.9,0.0,1.9,1.4014208333333336,2.7814125,0.0731950657894737
2,2000,164,1836,0,128,1.7999999999999998,0.0,1.7999999999999998,1.5959083333333333,2.8987381944444652,0.08052050540123515
3,2000,170,1830,0,127,2.15,0.0,2.15,1.299626388888889,2.825169444444454,0.06570161498708033
4,2000,160,1840,0,118,2.1,0.0,2.1,1.4547555555555556,2.9545618055555503,0.07034670965608453
5,2000,162,1838,0,125,1.8499999999999999,0.0,1.8499999999999999,1.4696069444444442,2.7566312499999666,0.0745035472972964
6,2000,171,1829,0,135,1.7999999999999998,0.0,1.7999999999999998,1.6721680555555556,2.835624305555585,0.07876734182098848
7,2000,126,1874,0,81,2.25,0.0,2.25,1.1701875,2.822038888888844,0.06271197530864098
8,2000,161,1839,0,117,2.1999999999999997,0.0,2.1999999999999997,1.319,2.8898340277778516,0.06567804608586027
9,2000,151,1849,0,111,2.0,0.0,2.0,1.5168861111111112,2.8896784722222213,0.07224196180555553
10,2000,167,1833,0,130,1.8499999999999999,0.0,1.8499999999999999,1.3370347222222223,2.85256041666662,0.07709622747747623
11,2000,154,1846,0,115,1.95,0.0,1.95,1.5346527777777779,2.99001527777778,0.07666705840455845
12,2000,153,1847,0,112,2.0500000000000003,0.0,2.0500000000000003,1.14835,2.802695138888983,0.06835841802168251
13,2000,164,1836,0,116,2.4,0.0,2.4,0.9630222222222224,2.7505090277778286,0.05730227141203809
14,2000,150,1850,0,113,1.8499999999999999,0.0,1.8499999999999999,1.6460736111111114,2.936113194444475,0.07935441066066148
15,2000,157,1843,0,113,2.1999999999999997,0.0,2.1999999999999997,1.3266444444444443,2.8803541666666206,0.06546259469696866
16,2000,146,1854,0,108,1.9,0.0,1.9,1.5287750000000002,2.81356111111111,0.07404108187134499
17,2000,133,1867,0,89,2.1999999999999997,0.0,2.1999999999999997,1.2266472222222222,2.7680500000000166,0.06291022727272766
18,2000,128,1872,0,80,2.4,0.0,2.4,1.0826125,2.765016666666624,0.05760451388888799
19,2000,141,1859,0,101,2.0,0.0,2.0,1.4007388888888888,2.765493749999981,0.06913734374999952
20,2000,130,1870,0,94,1.7999999999999998,0.0,1.7999999999999998,1.3624416666666668,2.6921847222222874,0.07478290895061909
21,2000,148,1852,0,116,1.6,0.0,1.6,1.5635041666666665,2.8627423611109686,0.08946069878471777
22,2000,145,1855,0,104,2.0500000000000003,0.0,2.0500000000000003,1.5906,3.010351388888921,0.07342320460704685
23,2000,159,1841,0,120,1.95,0.0,1.95,1.2320652777777779,2.864611111111079,0.07345156695156613
24,2000,152,1848,0,109,2.15,0.0,2.15,1.3145625000000005,2.889575000000011,0.06719941860465142
25,2000,138,1862,0,103,1.7500000000000002,0.0,1.7500000000000002,1.405497222222222,2.801423611111128,0.08004067460317507
26,2000,156,1844,0,121,1.7500000000000002,0.0,1.7500000000000002,1.5168041666666667,2.9027701388888922,0.08293628968253976
27,2000,143,1857,0,100,2.15,0.0,2.15,1.4535791666666669,2.8494576388889072,0.06626645671834669
28,2000,145,1855,0,115,1.5,0.0,1.5,1.6096763888888883,2.790864583333321,0.09302881944444405
29,2000,173,1827,0,132,2.0500000000000003,0.0,2.0500000000000003,1.2684138888888885,2.7969520833332937,0.06821834349593396
