#, task_type_id, size, arrival_time,expected_time_cpu,expected_time_gpu,expected_time_CLOUD,execution_time_cpu,execution_time_gpu,execution_time_CLOUD
1,2,209.0,4.117,5.961,1.291,1.291,5.917,1.067,0.906
2,2,111.0,13.903,6.429,1.017,1.017,5.036,1.096,1.04
3,2,93.0,14.325,5.672,1.289,1.289,5.344,1.018,0.957
4,2,122.0,15.35,5.736,1.415,1.415,6.403,1.062,1.106
5,2,137.0,15.415,6.022,1.01,1.01,5.917,1.111,1.106
6,2,170.0,24.788,6.362,1.026,1.026,5.548,1.467,1.106
7,1,59.0,31.808,2.779,0.437,0.437,1.182,0.44,0.098
8,2,172.0,37.338,5.493,1.191,1.191,5.917,1.354,1.078
9,1,157.0,42.607,1.808,0.301,0.301,2.76,0.13,0.118
10,2,257.0,46.831,6.485,1.232,1.232,6.962,1.347,1.1
11,1,387.0,47.246,2.892,0.248,0.248,1.596,0.219,0.108
12,1,559.0,54.632,1.039,0.39,0.39,2.341,0.419,0.13
13,2,118.0,54.88,6.999,1.467,1.467,6.599,1.432,1.169
14,1,59.0,55.438,2.834,0.427,0.427,2.489,0.39,0.135
15,2,37.0,55.897,6.965,1.164,1.164,6.237,1.396,0.9
16,2,207.0,62.938,5.035,1.035,1.035,5.637,1.28,0.808
17,2,172.0,65.068,6.723,1.195,1.195,6.154,1.155,0.886
18,1,157.0,65.498,1.528,0.491,0.491,2.526,0.117,0.089
19,2,113.0,67.46,5.636,1.127,1.127,6.847,1.128,0.962
20,2,130.0,67.871,6.696,1.188,1.188,5.469,1.369,1.005
21,2,129.0,68.59,5.623,1.018,1.018,6.222,1.241,1.067
22,1,7.0,72.42,2.743,0.146,0.146,1.093,0.388,0.129
23,1,498.0,73.571,1.548,0.421,0.421,2.189,0.442,0.146
24,1,7.0,73.757,2.803,0.172,0.172,2.938,0.127,0.184
25,2,129.0,75.369,5.265,1.433,1.433,6.574,1.146,1.183
26,1,6.0,78.373,2.317,0.337,0.337,2.082,0.439,0.149
27,2,222.0,86.069,5.038,1.457,1.457,5.696,1.319,0.904
28,1,7.0,86.741,1.116,0.192,0.192,2.756,0.131,0.098
29,2,167.0,86.946,5.615,1.306,1.306,6.467,1.19,0.953
30,2,68.0,88.01,5.732,1.441,1.441,5.087,1.062,0.863
31,2,100.0,89.048,5.134,1.215,1.215,5.206,1.119,0.911
32,2,152.0,91.613,6.874,1.061,1.061,5.269,1.041,1.075
33,2,134.0,91.956,6.54,1.341,1.341,5.969,1.167,0.921
34,1,10.0,92.077,1.094,0.33,0.33,1.895,0.454,0.129
35,2,110.0,94.615,5.532,1.174,1.174,5.828,1.007,0.841
36,2,179.0,96.485,5.436,1.14,1.14,6.429,1.044,0.886
37,1,379.0,96.639,2.042,0.424,0.424,1.352,0.413,0.135
38,1,7.0,99.145,2.511,0.403,0.403,2.237,0.452,0.089
39,2,50.0,100.657,6.821,1.429,1.429,5.78,1.01,0.89
40,1,120.0,100.687,2.032,0.415,0.415,2.526,0.349,0.188
41,2,165.0,101.861,6.647,1.411,1.411,6.02,1.174,0.888
42,1,49.0,102.935,1.352,0.395,0.395,1.805,0.194,0.184
43,1,214.0,104.379,3.0,0.136,0.136,2.68,0.359,0.085
44,2,103.0,106.053,5.985,1.363,1.363,5.285,1.027,1.04
45,1,498.0,107.494,2.56,0.219,0.219,2.807,0.252,0.161
46,1,6.0,107.755,1.405,0.213,0.213,2.721,0.268,0.108
47,1,379.0,108.034,1.821,0.279,0.279,2.803,0.257,0.199
48,1,44.0,109.353,1.054,0.473,0.473,2.66,0.466,0.147
49,1,10.0,110.102,2.387,0.442,0.442,2.564,0.292,0.102
50,2,99.0,110.976,6.237,1.143,1.143,5.696,1.499,1.151
51,2,127.0,111.098,5.303,1.001,1.001,5.56,1.3,0.834
52,1,28.0,111.591,1.573,0.392,0.392,1.039,0.389,0.133
53,2,84.0,111.774,6.54,1.384,1.384,5.203,1.154,0.994
54,2,117.0,112.157,5.043,1.309,1.309,5.393,1.198,0.998
55,1,7.0,113.065,2.348,0.458,0.458,1.516,0.429,0.157
56,1,16.0,113.442,2.32,0.392,0.392,1.132,0.448,0.189
57,1,157.0,114.634,1.349,0.456,0.456,1.491,0.284,0.15
58,2,104.0,115.572,5.983,1.363,1.363,5.741,1.093,1.152
59,1,59.0,119.191,2.526,0.113,0.113,1.814,0.186,0.191
60,1,157.0,120.133,1.233,0.452,0.452,1.394,0.131,0.183
61,2,69.0,120.743,5.067,1.437,1.437,5.091,1.476,1.005
62,2,168.0,123.738,5.358,1.317,1.317,5.373,1.028,0.895
63,1,559.0,124.651,1.172,0.141,0.141,2.141,0.354,0.149
64,2,134.0,127.536,5.878,1.496,1.496,6.061,1.459,1.115
65,1,103.0,127.807,1.808,0.198,0.198,2.163,0.228,0.186
66,1,95.0,128.915,1.842,0.286,0.286,1.094,0.204,0.153
67,1,120.0,129.295,1.521,0.169,0.169,2.067,0.267,0.183
68,1,49.0,136.368,2.293,0.396,0.396,2.237,0.221,0.134
69,1,379.0,136.493,1.858,0.437,0.437,1.109,0.309,0.084
70,1,13.0,138.417,1.789,0.341,0.341,2.67,0.419,0.152
71,2,170.0,138.871,5.672,1.335,1.335,5.701,1.257,1.04
72,1,49.0,139.668,1.041,0.189,0.189,2.868,0.349,0.164
73,1,13.0,141.528,1.286,0.275,0.275,1.097,0.382,0.19
74,2,249.0,142.677,6.387,1.351,1.351,5.615,1.018,0.931
75,2,243.0,143.212,5.741,1.151,1.151,6.267,1.088,1.045
76,1,6.0,143.729,1.26,0.315,0.315,1.29,0.146,0.184
77,1,447.0,144.064,2.779,0.477,0.477,1.457,0.225,0.104
78,2,147.0,144.125,6.279,1.087,1.087,5.296,1.164,1.198
79,1,146.0,144.176,2.291,0.334,0.334,1.712,0.15,0.114
80,1,90.0,145.017,1.471,0.496,0.496,1.768,0.171,0.128
81,1,103.0,145.8,2.362,0.315,0.315,1.8,0.388,0.141
82,2,108.0,147.163,5.63,1.237,1.237,6.813,1.088,0.902
83,2,65.0,147.936,5.477,1.213,1.213,6.547,1.415,1.186
84,2,170.0,148.527,5.784,1.312,1.312,5.088,1.156,0.931
85,1,7.0,150.096,1.151,0.367,0.367,1.164,0.313,0.104
86,2,144.0,150.537,5.322,1.472,1.472,6.45,1.066,0.925
87,1,7.0,150.926,1.981,0.346,0.346,1.938,0.29,0.169
88,1,379.0,151.41,2.249,0.307,0.307,1.739,0.454,0.09
89,1,13.0,151.756,1.608,0.191,0.191,2.719,0.238,0.184
90,2,81.0,151.758,5.433,1.044,1.044,6.752,1.288,0.962
91,1,6.0,152.108,2.719,0.205,0.205,1.537,0.164,0.156
92,2,260.0,152.316,5.067,1.128,1.128,5.37,1.277,0.814
93,1,157.0,153.107,2.386,0.145,0.145,1.353,0.358,0.187
94,1,379.0,154.044,2.732,0.132,0.132,2.788,0.482,0.157
95,2,133.0,154.621,6.197,1.233,1.233,5.464,1.341,1.084
96,1,103.0,155.037,1.578,0.473,0.473,2.121,0.15,0.197
97,1,7.0,155.299,1.361,0.191,0.191,1.542,0.443,0.121
98,2,274.0,157.048,5.019,1.078,1.078,5.612,1.072,1.141
99,1,10.0,157.563,1.705,0.292,0.292,1.765,0.131,0.081
100,1,447.0,157.594,1.026,0.398,0.398,2.809,0.452,0.17
101,1,103.0,157.973,1.573,0.353,0.353,1.273,0.307,0.091
102,1,6.0,159.28,1.364,0.295,0.295,2.563,0.125,0.142
103,1,6.0,160.935,1.319,0.463,0.463,2.767,0.325,0.095
104,1,7.0,160.985,1.928,0.278,0.278,2.222,0.277,0.142
105,1,214.0,161.35,1.794,0.306,0.306,1.136,0.195,0.104
106,1,44.0,161.555,2.927,0.295,0.295,1.28,0.316,0.143
107,2,120.0,161.571,6.925,1.37,1.37,6.752,1.199,1.121
108,1,126.0,162.269,1.038,0.395,0.395,1.787,0.219,0.091
109,2,38.0,162.62,6.115,1.186,1.186,5.881,1.311,1.07
110,2,106.0,164.346,6.162,1.212,1.212,6.39,1.239,1.134
111,1,157.0,165.011,2.073,0.12,0.12,2.889,0.34,0.127
112,2,112.0,165.013,7.0,1.004,1.004,5.382,1.041,0.889
113,1,447.0,166.282,2.993,0.264,0.264,1.394,0.407,0.156
114,1,13.0,168.011,1.559,0.326,0.326,2.705,0.209,0.115
115,1,44.0,168.453,1.049,0.14,0.14,2.531,0.162,0.142
116,1,30.0,168.636,2.488,0.116,0.116,2.889,0.221,0.169
117,1,6.0,169.203,2.672,0.447,0.447,1.472,0.131,0.14
118,1,120.0,169.397,1.168,0.473,0.473,2.152,0.395,0.197
119,1,44.0,170.28,1.573,0.25,0.25,2.204,0.168,0.096
120,1,44.0,170.306,1.608,0.162,0.162,2.852,0.383,0.105
121,2,99.0,170.585,5.623,1.233,1.233,6.328,1.061,0.857
122,1,30.0,170.723,2.397,0.445,0.445,1.383,0.281,0.088
123,1,7.0,171.813,2.059,0.348,0.348,2.744,0.344,0.102
124,1,6.0,171.851,1.763,0.107,0.107,2.751,0.236,0.111
125,2,142.0,172.713,5.374,1.014,1.014,6.46,1.417,0.988
126,1,44.0,173.004,2.218,0.477,0.477,1.605,0.169,0.183
127,1,498.0,174.09,1.119,0.335,0.335,2.237,0.476,0.185
128,1,10.0,177.129,1.126,0.15,0.15,2.991,0.196,0.103
129,1,103.0,177.321,2.387,0.381,0.381,1.467,0.133,0.199
130,1,447.0,177.855,1.216,0.287,0.287,1.985,0.135,0.16
131,2,154.0,178.643,5.37,1.177,1.177,5.259,1.431,1.039
132,1,59.0,178.783,2.286,0.362,0.362,1.719,0.319,0.142
133,1,28.0,178.963,1.448,0.264,0.264,2.118,0.449,0.097
134,1,379.0,179.137,2.595,0.18,0.18,2.139,0.197,0.176
135,1,13.0,179.285,2.91,0.24,0.24,1.615,0.172,0.194
136,1,44.0,179.933,1.464,0.318,0.318,1.933,0.408,0.088
137,2,96.0,180.023,5.784,1.454,1.454,6.14,1.483,0.918
138,1,146.0,181.585,1.787,0.417,0.417,1.016,0.267,0.104
139,1,59.0,181.586,2.617,0.38,0.38,1.23,0.348,0.145
140,1,559.0,181.764,2.779,0.217,0.217,2.437,0.264,0.101
141,1,13.0,182.221,1.405,0.203,0.203,2.742,0.346,0.098
142,1,44.0,182.464,1.493,0.209,0.209,1.383,0.367,0.096
143,1,28.0,182.984,1.674,0.107,0.107,1.891,0.226,0.082
144,1,512.0,183.024,1.626,0.491,0.491,1.567,0.131,0.106
145,1,90.0,183.822,2.907,0.336,0.336,1.038,0.433,0.137
146,1,214.0,185.17,2.744,0.27,0.27,1.671,0.365,0.158
147,1,28.0,185.872,1.769,0.373,0.373,1.655,0.345,0.144
148,1,120.0,186.371,1.661,0.279,0.279,1.981,0.449,0.109
149,1,6.0,186.616,2.31,0.357,0.357,2.751,0.382,0.091
150,1,126.0,187.127,1.394,0.295,0.295,1.521,0.369,0.121
151,2,307.0,187.15,6.772,1.498,1.498,6.801,1.188,1.083
152,1,387.0,187.607,2.719,0.197,0.197,1.039,0.157,0.137
153,1,44.0,187.651,1.383,0.463,0.463,2.458,0.403,0.152
154,1,13.0,189.501,2.548,0.132,0.132,2.965,0.311,0.107
155,1,6.0,190.375,1.795,0.158,0.158,2.419,0.463,0.164
156,2,157.0,191.915,6.133,1.014,1.014,5.791,1.01,1.051
157,1,379.0,192.048,1.351,0.381,0.381,2.967,0.176,0.172
158,1,7.0,193.05,1.286,0.297,0.297,2.299,0.125,0.152
159,1,10.0,193.415,2.818,0.434,0.434,1.521,0.428,0.142
160,1,44.0,193.549,2.76,0.304,0.304,2.299,0.38,0.187
161,1,120.0,193.735,1.038,0.29,0.29,2.235,0.137,0.14
162,1,16.0,195.767,2.262,0.157,0.157,2.427,0.359,0.161
163,2,183.0,196.792,5.691,1.233,1.233,6.94,1.296,0.88
164,1,146.0,198.183,2.179,0.227,0.227,2.059,0.381,0.145
165,2,99.0,198.859,6.076,1.083,1.083,5.828,1.289,1.012
166,1,559.0,199.263,1.285,0.189,0.189,2.204,0.181,0.178
167,1,59.0,199.295,1.132,0.363,0.363,2.0,0.213,0.13
168,1,559.0,199.726,1.075,0.14,0.14,1.06,0.347,0.147
169,1,7.0,199.752,2.86,0.274,0.274,2.599,0.267,0.087
170,1,214.0,199.826,1.822,0.357,0.357,2.864,0.341,0.112
171,1,59.0,199.901,1.655,0.254,0.254,2.306,0.118,0.106
172,1,157.0,199.917,2.465,0.417,0.417,2.801,0.45,0.174
173,1,498.0,201.186,2.503,0.228,0.228,2.712,0.221,0.102
174,1,13.0,201.466,1.146,0.118,0.118,1.775,0.445,0.098
175,1,90.0,201.766,1.125,0.384,0.384,1.775,0.269,0.13
176,2,242.0,201.932,6.508,1.424,1.424,5.599,1.172,0.823
177,1,13.0,202.012,1.265,0.302,0.302,2.91,0.13,0.122
178,1,95.0,202.8,1.78,0.129,0.129,1.824,0.121,0.139
179,1,214.0,203.145,2.614,0.411,0.411,1.026,0.221,0.132
180,1,146.0,203.424,1.969,0.376,0.376,1.493,0.211,0.143
181,1,49.0,203.445,2.303,0.405,0.405,2.275,0.131,0.194
182,1,512.0,203.478,2.744,0.152,0.152,2.381,0.379,0.097
183,1,157.0,203.722,1.537,0.442,0.442,1.385,0.396,0.149
184,2,113.0,204.014,5.991,1.063,1.063,6.76,1.047,0.955
185,1,120.0,204.077,1.844,0.15,0.15,1.628,0.276,0.083
186,1,95.0,204.178,1.467,0.355,0.355,1.037,0.384,0.101
187,1,7.0,204.365,1.966,0.213,0.213,1.858,0.395,0.2
188,1,120.0,204.522,2.013,0.357,0.357,1.389,0.118,0.183
189,1,498.0,204.678,1.216,0.245,0.245,2.37,0.18,0.119
190,1,559.0,205.406,1.763,0.171,0.171,2.877,0.158,0.152
191,2,87.0,205.665,5.292,1.152,1.152,6.763,1.423,0.804
192,1,157.0,205.893,1.68,0.181,0.181,1.535,0.185,0.154
193,1,30.0,206.03,1.202,0.484,0.484,1.119,0.145,0.101
194,1,44.0,206.106,2.777,0.396,0.396,1.472,0.409,0.198
195,1,6.0,206.225,2.713,0.45,0.45,1.618,0.13,0.109
196,2,95.0,206.633,6.967,1.232,1.232,6.876,1.001,1.175
197,1,387.0,206.871,1.339,0.158,0.158,2.828,0.359,0.196
198,1,7.0,206.906,2.658,0.389,0.389,2.996,0.135,0.183
199,1,512.0,207.0,2.058,0.306,0.306,2.107,0.282,0.193
200,1,146.0,207.507,1.991,0.215,0.215,2.31,0.492,0.145
201,1,157.0,208.437,2.66,0.478,0.478,2.18,0.316,0.199
202,1,157.0,209.205,1.842,0.473,0.473,2.034,0.169,0.186
203,1,103.0,209.301,2.202,0.268,0.268,1.654,0.253,0.094
204,2,209.0,209.821,5.036,1.354,1.354,5.314,1.219,0.933
205,1,157.0,209.901,1.633,0.49,0.49,2.204,0.267,0.101
206,1,379.0,210.378,1.412,0.209,0.209,2.719,0.436,0.139
207,1,498.0,210.404,1.412,0.11,0.11,2.649,0.306,0.138
208,1,6.0,210.508,2.657,0.263,0.263,2.095,0.113,0.12
209,1,379.0,210.524,2.684,0.281,0.281,1.133,0.304,0.094
210,1,169.0,210.651,2.823,0.141,0.141,2.801,0.123,0.103
211,1,16.0,210.881,1.093,0.324,0.324,1.728,0.201,0.159
212,1,512.0,212.423,1.843,0.432,0.432,2.742,0.137,0.191
213,1,498.0,212.436,1.554,0.252,0.252,1.46,0.209,0.192
214,1,7.0,212.783,2.142,0.227,0.227,2.657,0.381,0.124
215,1,559.0,212.94,1.119,0.447,0.447,1.352,0.46,0.15
216,1,16.0,213.367,1.623,0.485,0.485,1.535,0.203,0.142
217,1,6.0,213.852,2.531,0.318,0.318,2.599,0.492,0.122
218,1,559.0,214.964,2.476,0.287,0.287,1.592,0.291,0.142
219,1,6.0,215.114,1.238,0.471,0.471,1.709,0.498,0.151
220,1,7.0,215.613,2.943,0.416,0.416,1.082,0.217,0.193
221,1,126.0,216.657,2.828,0.471,0.471,2.139,0.199,0.189
222,1,7.0,217.019,1.249,0.352,0.352,1.391,0.245,0.092
223,2,199.0,217.111,5.81,1.368,1.368,6.76,1.014,0.987
224,1,49.0,217.525,2.758,0.324,0.324,2.341,0.219,0.114
225,1,447.0,217.644,1.766,0.232,0.232,1.116,0.307,0.101
226,1,6.0,217.833,1.253,0.267,0.267,1.511,0.243,0.192
227,1,512.0,218.427,2.587,0.326,0.326,1.633,0.341,0.193
228,1,6.0,219.375,2.689,0.477,0.477,2.439,0.424,0.117
229,1,103.0,222.335,1.014,0.169,0.169,2.204,0.258,0.186
230,1,90.0,222.806,1.19,0.383,0.383,2.185,0.104,0.16
231,1,16.0,222.822,2.118,0.188,0.188,2.548,0.318,0.103
232,1,447.0,223.255,1.892,0.226,0.226,2.311,0.387,0.106
233,1,10.0,223.415,1.769,0.269,0.269,1.814,0.349,0.118
234,1,7.0,223.488,1.592,0.15,0.15,2.815,0.184,0.114
235,2,196.0,223.956,5.203,1.349,1.349,6.684,1.485,0.835
236,1,387.0,224.095,1.134,0.33,0.33,1.979,0.349,0.149
237,1,512.0,225.32,2.264,0.231,0.231,2.199,0.213,0.159
238,1,559.0,225.874,2.495,0.184,0.184,1.319,0.412,0.114
239,1,16.0,226.242,2.218,0.158,0.158,1.829,0.295,0.124
240,1,90.0,226.467,2.76,0.314,0.314,2.586,0.104,0.108
241,2,128.0,227.831,6.278,1.199,1.199,5.455,1.492,1.11
242,1,559.0,227.959,2.404,0.355,0.355,2.027,0.416,0.185
243,2,199.0,228.376,6.076,1.311,1.311,5.162,1.241,0.997
244,1,44.0,228.656,2.163,0.286,0.286,1.26,0.239,0.129
245,1,7.0,229.045,1.154,0.2,0.2,1.32,0.454,0.174
246,1,7.0,229.062,2.712,0.286,0.286,2.554,0.427,0.183
247,1,146.0,229.172,1.019,0.354,0.354,2.554,0.104,0.156
248,1,146.0,229.327,1.277,0.492,0.492,2.465,0.482,0.115
249,1,6.0,229.881,1.049,0.162,0.162,2.928,0.429,0.149
250,1,379.0,230.269,1.857,0.141,0.141,1.361,0.201,0.087
251,1,146.0,231.481,1.503,0.106,0.106,2.888,0.109,0.189
252,1,28.0,232.036,1.163,0.163,0.163,1.32,0.122,0.101
253,2,150.0,232.471,5.345,1.06,1.06,6.4,1.201,0.917
254,1,44.0,232.753,2.927,0.347,0.347,2.149,0.363,0.085
255,1,7.0,232.918,1.38,0.189,0.189,1.739,0.126,0.157
256,1,49.0,233.092,2.857,0.341,0.341,2.442,0.364,0.118
257,1,146.0,234.996,1.394,0.217,0.217,2.651,0.306,0.091
258,1,44.0,235.326,1.321,0.166,0.166,1.761,0.219,0.113
259,1,126.0,235.691,2.362,0.373,0.373,2.803,0.304,0.095
260,1,447.0,235.84,2.074,0.312,0.312,1.361,0.239,0.106
261,1,559.0,235.869,1.551,0.462,0.462,1.841,0.129,0.163
262,1,13.0,235.976,2.391,0.447,0.447,2.301,0.349,0.182
263,1,28.0,236.621,2.721,0.48,0.48,1.427,0.411,0.197
264,1,498.0,237.207,1.55,0.267,0.267,2.086,0.496,0.098
265,1,44.0,237.275,2.684,0.13,0.13,1.097,0.3,0.125
266,1,90.0,237.547,1.449,0.359,0.359,2.042,0.433,0.147
267,1,90.0,237.765,1.499,0.26,0.26,2.516,0.234,0.183
268,1,44.0,238.145,2.837,0.266,0.266,2.151,0.46,0.174
269,1,28.0,238.358,2.436,0.464,0.464,2.667,0.217,0.132
270,2,257.0,239.355,5.62,1.246,1.246,6.004,1.303,0.973
271,1,16.0,239.471,2.082,0.121,0.121,2.052,0.2,0.168
272,1,169.0,239.613,1.608,0.131,0.131,2.691,0.128,0.162
273,1,126.0,239.931,2.442,0.472,0.472,2.095,0.203,0.093
274,1,512.0,240.444,2.059,0.1,0.1,1.388,0.315,0.158
275,1,559.0,240.457,1.041,0.239,0.239,1.933,0.15,0.181
276,1,103.0,240.577,1.918,0.419,0.419,2.484,0.4,0.119
277,1,146.0,240.732,1.853,0.361,0.361,2.557,0.145,0.147
278,1,126.0,240.771,2.97,0.348,0.348,1.039,0.315,0.13
279,1,498.0,240.886,2.637,0.233,0.233,2.765,0.318,0.131
