id,type,size,urgency,status,assigned_machine,arrival_time,execution_time,start_time,completion_time,deadline,extended_deadline
1,TT1,7.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 2.744, 'gpu': 0.332, 'CLOUD': 0.135}",0.0,0.332,6.0,9.0
2,TT1,126.0,BESTEFFORT,COMPLETED,gpu,0.0,"{'cpu': 2.824, 'gpu': 0.284, 'CLOUD': 0.116}",0.332,0.616,6.0,9.0
3,TT2,68.0,BESTEFFORT,COMPLETED,gpu,1.32,"{'cpu': 6.77, 'gpu': 1.113, 'CLOUD': 1.18}",1.32,2.433,9.32,13.32
4,TT1,28.0,BESTEFFORT,COMPLETED,gpu,3.206,"{'cpu': 1.918, 'gpu': 0.221, 'CLOUD': 0.142}",3.206,3.427,9.206,12.206
5,TT2,172.0,BESTEFFORT,COMPLETED,gpu,3.365,"{'cpu': 6.273, 'gpu': 1.312, 'CLOUD': 0.941}",3.427,4.739,11.365,15.365
6,TT2,131.0,BESTEFFORT,COMPLETED,gpu,8.224,"{'cpu': 6.811, 'gpu': 1.121, 'CLOUD': 0.974}",8.224,9.345,16.224,20.224
7,TT2,131.0,BESTEFFORT,COMPLETED,gpu,9.535,"{'cpu': 6.568, 'gpu': 1.374, 'CLOUD': 0.985}",9.535,10.909,17.535,21.535
8,TT2,145.0,BESTEFFORT,COMPLETED,gpu,11.583,"{'cpu': 6.906, 'gpu': 1.24, 'CLOUD': 1.129}",11.583,12.823,19.583,23.583
9,TT2,139.0,BESTEFFORT,COMPLETED,gpu,13.482,"{'cpu': 5.121, 'gpu': 1.345, 'CLOUD': 1.063}",13.482,14.827,21.482,25.482
10,TT2,195.0,BESTEFFORT,COMPLETED,gpu,17.045,"{'cpu': 6.967, 'gpu': 1.312, 'CLOUD': 1.12}",17.045,18.357000000000003,25.045,29.045
11,TT2,174.0,BESTEFFORT,COMPLETED,gpu,18.448,"{'cpu': 5.059, 'gpu': 1.018, 'CLOUD': 1.084}",18.448,19.466,26.448,30.448
12,TT2,135.0,BESTEFFORT,COMPLETED,gpu,20.811,"{'cpu': 5.772, 'gpu': 1.058, 'CLOUD': 1.023}",20.811,21.869,28.811,32.811
13,TT1,103.0,BESTEFFORT,COMPLETED,cpu,21.037,"{'cpu': 2.098, 'gpu': 0.36, 'CLOUD': 0.102}",21.037,23.134999999999998,27.037,30.037
14,TT2,97.0,BESTEFFORT,COMPLETED,gpu,22.827,"{'cpu': 5.306, 'gpu': 1.313, 'CLOUD': 0.984}",22.827,24.14,30.827,34.827
15,TT2,99.0,BESTEFFORT,COMPLETED,gpu,22.997,"{'cpu': 5.03, 'gpu': 1.099, 'CLOUD': 1.044}",24.14,25.239,30.997,34.997
16,TT2,201.0,BESTEFFORT,COMPLETED,cpu,24.022,"{'cpu': 6.457, 'gpu': 1.119, 'CLOUD': 0.843}",24.022,30.479,32.022,36.022
17,TT2,100.0,BESTEFFORT,COMPLETED,gpu,27.888,"{'cpu': 5.907, 'gpu': 1.08, 'CLOUD': 1.081}",27.888,28.968000000000004,35.888000000000005,39.888000000000005
