task_type_id,arrival_time,est_cpu,est_gpu,ext_cpu-1,ext_gpu-1
1,0.075,1.14,1.258,1.516,0.725
2,0.201,2.796,1.01,3.213,0.542
1,0.476,1.073,0.62,1.763,1.141
2,0.72,3.821,0.996,1.748,1.176
2,0.791,4.13,1.721,2.143,2.574
2,1.218,9.058,2.632,2.215,1.618
1,1.657,0.954,1.093,1.213,1.179
1,1.932,1.218,1.129,1.091,0.756
2,2.034,4.927,2.236,8.906,1.103
2,3.212,7.584,0.531,4.161,0.531
1,3.392,1.019,0.661,1.751,1.189
2,3.49,10.867,2.412,3.861,1.236
1,4.459,0.999,1.232,2.04,0.673
1,4.494,2.023,0.922,2.04,0.669
1,4.914,1.249,1.161,1.217,1.094
2,5.026,12.1,1.043,2.143,1.194
2,5.546,11.42,0.877,5.302,3.239
1,6.287,1.336,0.968,1.0,0.929
2,6.446,11.132,0.996,3.907,2.444
2,7.799,3.509,0.865,3.185,0.781
1,8.34,1.091,0.867,1.447,0.95
2,9.287,4.041,0.965,7.987,1.438
1,10.063,1.749,1.384,1.765,1.146
1,11.048,1.764,1.093,2.074,1.252
1,11.237,1.437,1.405,2.361,0.727
2,11.273,5.338,3.084,6.406,1.695
1,11.534,1.096,0.858,1.244,1.426
2,11.809,8.991,3.343,11.529,0.934
2,11.888,7.46,1.919,2.662,0.682
2,11.895,3.029,1.009,10.721,1.365
2,12.262,4.174,0.682,5.212,1.5
1,12.423,1.172,0.643,0.978,1.119
2,13.072,2.0,0.878,4.051,1.236
2,13.2,2.767,0.844,7.125,0.601
2,13.615,1.703,0.774,3.688,2.779
1,14.086,1.403,0.813,1.261,0.746
2,14.325,5.786,1.333,13.409,0.873
2,14.631,12.982,1.755,2.902,0.905
1,14.797,2.128,0.929,2.155,0.913
2,15.745,8.437,0.591,5.327,0.608
1,15.923,2.103,0.812,1.11,0.879
2,17.15,1.993,0.885,4.074,0.759
1,17.746,1.825,1.429,1.803,0.781
1,17.946,1.351,1.128,1.023,1.093
1,18.394,2.277,0.935,1.083,1.258
2,18.412,4.13,1.956,2.446,1.662
1,18.551,0.999,1.178,2.441,0.688
1,18.949,1.961,0.922,1.328,0.619
2,19.642,2.747,1.926,10.867,1.96
2,19.733,3.73,1.998,6.081,0.941
1,20.045,1.556,0.926,1.814,0.968
1,21.645,1.07,0.872,1.181,1.252
2,21.779,6.133,1.548,2.193,1.755
2,22.262,2.268,0.476,2.553,0.564
1,23.657,1.424,0.611,1.864,0.902
1,24.21,1.41,1.447,1.275,0.624
2,24.509,5.594,0.621,5.105,0.656
