task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
1,0.001,2.372,1.783,4.205,0.72,2.323,1.716,4.267,0.764
1,0.34,2.422,1.482,3.851,0.822,2.521,1.758,4.349,0.859
2,1.08,2.554,1.561,4.189,0.726,2.592,1.821,3.741,0.727
2,1.642,2.549,1.898,3.975,0.933,2.19,1.737,3.7,0.954
2,1.736,2.368,1.654,4.359,0.756,2.534,2.044,4.521,0.937
1,2.121,2.146,1.948,4.858,0.694,2.0,1.646,4.608,0.789
2,2.981,2.295,1.597,5.043,0.961,2.619,2.025,4.739,0.729
2,3.141,2.008,1.565,3.707,0.8,1.881,1.618,4.37,1.009
2,3.388,2.194,1.836,5.099,0.91,2.223,1.544,4.418,0.911
2,4.163,1.914,1.844,4.418,0.741,2.016,1.937,3.709,0.999
2,4.326,2.643,1.914,4.24,0.924,2.462,2.073,4.237,0.745
1,5.008,2.198,1.862,3.806,0.616,2.104,1.814,5.11,0.845
2,5.696,2.068,2.13,3.813,0.97,2.27,1.936,5.101,0.984
2,7.487,1.983,2.013,3.932,0.938,2.428,2.105,4.768,0.947
2,8.136,2.247,1.785,4.844,0.995,2.571,1.753,4.014,0.88
2,8.748,2.446,1.806,3.97,0.987,2.132,1.898,3.976,0.82
2,9.248,2.565,2.079,4.383,0.951,2.63,1.884,4.826,0.837
2,9.257,2.163,1.636,4.919,0.763,1.882,1.97,3.95,0.998
2,10.304,2.502,1.636,5.057,0.909,2.076,2.03,5.098,0.863
2,10.854,2.315,2.032,3.75,0.991,2.202,2.128,4.306,0.845
1,10.918,2.119,1.616,4.322,0.714,2.006,1.53,4.025,0.683
1,11.823,2.242,1.641,4.38,0.642,1.937,1.895,3.814,0.801
2,11.88,2.093,1.945,4.902,0.765,2.14,1.845,4.706,0.868
2,12.489,2.082,2.065,5.03,0.836,2.016,1.96,3.77,0.849
2,13.034,2.276,1.78,3.847,0.765,2.319,2.125,4.137,0.814
2,14.143,2.573,1.974,4.466,0.958,2.571,1.963,3.63,0.823
2,14.97,2.414,1.66,4.356,0.852,2.334,1.544,3.864,0.884
2,15.152,2.276,1.811,4.317,0.866,2.192,1.6,4.179,0.778
2,15.338,1.92,1.762,4.84,0.958,2.529,1.633,4.572,0.921
1,16.944,2.257,1.644,4.146,0.702,2.507,1.948,4.446,0.758
1,17.065,2.456,1.803,3.997,0.616,2.465,1.825,3.993,0.808
2,17.169,2.222,1.545,5.029,0.806,2.188,1.892,3.855,0.938
1,17.586,2.174,1.971,3.654,0.621,2.369,1.603,4.508,0.813
1,17.644,2.615,1.685,4.116,0.671,2.133,1.812,4.234,0.714
1,17.718,2.125,1.846,4.916,0.648,2.098,1.601,4.784,0.673
2,18.482,1.91,1.649,4.995,1.003,2.511,1.655,4.365,0.913
2,18.618,2.302,1.833,4.033,0.765,2.415,1.914,4.7,1.003
1,18.744,2.285,1.737,4.483,0.776,2.54,1.485,4.831,0.805
2,19.439,2.246,1.845,4.201,0.895,2.209,1.581,3.738,0.815
2,19.454,2.438,2.144,4.433,0.91,2.508,1.908,4.26,0.826
2,19.532,2.615,1.871,4.536,0.907,2.295,1.694,5.111,0.986
1,19.666,2.231,1.458,4.878,0.828,2.364,1.932,4.74,0.843
2,20.407,2.644,1.598,4.965,0.803,2.56,1.652,5.091,0.867
2,20.908,2.417,1.52,4.564,0.909,2.14,1.544,4.98,0.803
2,21.625,1.904,1.658,4.256,1.007,2.099,1.694,4.398,0.747
2,21.981,2.361,1.56,4.196,0.794,2.041,2.017,4.958,0.763
2,22.153,1.904,1.802,5.004,0.75,2.293,1.655,4.651,0.967
2,22.601,2.118,1.902,4.504,0.998,2.61,2.112,4.06,1.015
2,22.882,2.437,1.636,4.418,1.0,2.51,1.734,4.768,0.882
2,23.135,2.215,1.953,4.643,0.97,2.535,1.705,4.56,0.925
2,23.382,2.582,1.628,4.152,0.785,2.63,1.768,5.073,0.74
2,24.21,2.514,1.818,4.48,0.799,2.025,2.054,4.287,0.926
1,25.383,1.963,1.444,4.006,0.787,2.27,1.825,4.34,0.776
2,25.404,2.099,1.852,5.032,0.864,2.262,1.818,4.372,0.902
2,26.632,2.134,1.773,4.182,0.831,1.983,1.91,4.081,0.83
2,26.708,2.495,1.714,4.569,1.002,2.427,2.082,3.997,0.77
2,27.223,1.904,1.82,4.901,0.77,2.222,1.547,4.765,0.729
2,27.338,1.881,1.737,4.721,0.944,2.026,1.844,4.598,0.949
2,27.35,2.218,1.579,4.248,0.788,2.405,1.664,4.902,0.732
2,28.042,2.103,1.881,3.918,0.77,2.061,1.66,4.464,0.755
1,28.117,2.359,1.445,4.925,0.774,2.119,1.873,4.816,0.755
2,28.399,2.268,2.059,3.75,0.912,1.898,1.614,3.653,0.829
1,28.569,2.173,1.405,4.28,0.751,2.109,1.752,3.905,0.809
2,28.94,2.462,1.758,3.653,0.817,2.475,1.794,3.892,0.77
1,29.048,2.231,1.737,4.044,0.618,2.597,1.845,3.882,0.661
2,29.331,2.333,1.917,4.65,0.775,2.194,1.739,3.662,0.885
1,29.966,2.059,1.9,3.864,0.762,2.412,1.868,3.944,0.843
2,30.007,2.073,1.99,4.332,0.814,2.547,2.09,4.64,0.938
2,31.766,2.39,1.609,4.727,0.977,2.295,2.054,4.739,0.791
2,32.541,2.073,1.716,4.595,0.834,2.173,1.886,4.765,0.929
2,32.586,2.129,1.601,4.746,0.961,2.048,1.791,4.545,0.74
2,33.146,2.246,1.82,4.268,0.722,2.137,1.602,4.871,0.993
2,33.595,2.362,1.546,4.627,0.888,2.151,1.909,4.805,0.84
2,34.648,2.127,1.635,4.42,0.98,2.192,1.943,4.821,0.815
2,35.849,1.954,1.655,4.29,0.773,2.535,1.757,4.614,0.904
1,36.376,2.42,1.844,4.686,0.659,2.119,1.61,3.792,0.808
1,36.859,1.909,1.598,4.35,0.696,2.542,1.758,3.848,0.69
2,37.476,2.405,1.918,3.85,0.744,2.502,1.733,4.7,0.916
2,37.534,1.945,1.793,4.643,0.824,2.361,2.122,3.948,0.758
2,38.148,2.443,1.833,5.003,0.886,2.521,1.983,4.325,0.924
