task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1,ext_m5-1,ext_m6-1,ext_m7-1
3,0.307,105.999,101.529,98.739,106.619,10.662,107.178,10.885,100.06,101.412,101.226,112.191,11.92,110.302,11.547
2,0.421,0.995,97.584,99.909,92.336,99.985,1.075,9.909,0.999,100.341,115.065,102.97,105.727,1.038,9.79
1,0.56,1.006,96.559,1.057,10.68,10.614,1.041,110.616,1.078,99.455,0.928,9.971,10.149,1.056,113.7
3,0.72,104.06,104.62,95.896,104.543,10.539,98.433,10.498,115.608,100.801,103.214,103.645,11.541,102.099,10.84
3,1.021,118.325,104.127,106.883,113.21,11.89,113.938,10.914,116.781,108.882,113.899,110.8,11.523,100.586,11.199
2,1.132,1.147,99.071,103.983,97.059,107.596,1.108,9.786,1.132,110.023,114.197,103.209,109.573,1.025,9.861
1,1.317,0.966,99.774,0.995,11.311,9.604,1.066,105.339,0.939,93.664,0.987,11.479,10.53,0.919,116.326
2,1.414,1.076,96.524,104.315,100.639,100.154,1.068,11.481,1.131,108.148,110.276,96.266,112.676,1.002,10.481
4,1.513,10.608,108.883,11.74,1.057,95.69,1.085,106.548,10.843,105.684,11.655,1.033,105.178,1.043,108.574
4,1.691,10.071,96.296,10.738,0.926,109.707,1.001,91.905,9.845,109.31,11.583,0.945,110.957,1.035,92.334
4,1.957,10.3,111.629,11.545,1.022,106.182,1.068,91.544,11.224,105.313,10.197,0.992,102.062,1.016,106.548
4,2.003,10.581,109.715,10.617,0.931,110.825,0.986,92.043,10.412,99.867,10.228,1.026,97.519,1.11,104.768
1,2.051,1.027,105.471,1.043,11.368,9.314,1.087,111.023,1.002,98.917,0.94,11.682,10.264,0.964,104.239
1,2.722,1.033,98.6,1.058,10.209,11.005,1.079,114.185,0.935,98.093,0.925,11.108,9.808,1.068,102.532
2,2.775,1.1,94.985,113.056,107.353,112.676,1.15,10.33,1.031,101.029,110.089,104.512,107.889,1.098,11.016
1,3.402,0.989,100.982,1.076,11.595,10.156,1.068,107.157,1.033,109.51,0.96,11.057,10.705,0.94,108.105
2,3.845,1.137,95.426,106.202,100.147,102.269,1.056,10.76,0.993,96.467,102.395,106.036,107.889,1.035,10.591
4,3.882,11.06,111.295,11.78,1.087,96.649,1.023,96.097,11.218,108.339,10.566,0.954,100.758,1.07,99.895
3,4.033,108.788,108.811,111.158,114.755,11.483,111.749,11.459,105.405,108.056,106.815,104.269,11.083,114.369,10.284
1,4.282,0.959,103.694,0.957,10.811,10.722,0.96,101.069,0.924,99.201,1.013,10.003,10.614,0.968,100.352
4,4.519,9.878,98.72,10.056,0.959,107.743,0.999,93.117,9.785,95.756,10.249,1.085,100.704,1.103,94.083
4,4.881,10.266,100.611,11.279,0.977,99.991,0.962,96.627,10.666,96.828,11.366,1.018,103.801,1.058,102.31
1,5.088,1.069,107.346,0.938,10.966,10.774,0.925,116.422,0.998,97.961,1.076,10.793,10.027,1.077,110.069
4,5.187,10.369,96.754,11.438,1.035,100.106,1.051,96.922,9.963,97.471,10.69,0.979,93.45,1.027,98.797
4,5.508,11.102,109.856,11.552,1.004,110.61,1.046,93.167,11.069,96.693,11.788,0.932,94.641,1.027,97.0
4,5.599,11.366,95.493,10.239,0.943,110.966,1.05,105.788,10.214,106.335,11.017,1.087,98.279,1.068,94.495
2,5.778,1.054,108.503,105.821,99.62,104.191,1.085,10.836,1.118,103.131,103.209,109.436,108.187,1.059,11.079
