task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
2,0.204,3.03,5.9,3.015,5.929
2,0.223,3.001,5.957,3.047,5.906
1,0.385,1.959,1.006,1.971,1.088
1,0.651,1.918,1.025,1.978,1.077
1,0.675,1.948,1.074,1.938,1.089
1,0.704,1.901,1.027,1.923,1.067
1,1.236,1.954,1.009,1.979,1.075
1,1.284,1.991,1.064,1.938,1.021
2,1.494,3.095,5.987,3.026,5.922
1,1.712,1.975,1.035,1.932,1.01
2,1.871,3.073,5.909,3.068,5.991
1,2.136,1.974,1.004,1.91,1.005
1,3.167,1.909,1.091,1.932,1.002
1,3.506,1.947,1.021,1.986,1.086
1,3.658,1.956,1.091,1.991,1.093
1,3.895,1.942,1.042,1.999,1.086
2,3.942,3.081,5.925,3.066,5.953
1,3.978,1.918,1.083,1.902,1.02
1,4.063,1.903,1.077,1.957,1.088
1,4.856,1.974,1.021,1.99,1.067
1,4.896,1.957,1.026,1.942,1.095
1,5.088,1.949,1.006,1.979,1.021
2,5.125,3.015,5.98,3.096,5.996
2,5.417,3.09,5.964,3.093,5.976
1,5.538,1.938,1.006,1.936,1.065
1,5.848,1.943,1.081,1.984,1.092
2,6.1,3.049,5.978,3.017,5.951
1,6.391,1.985,1.015,1.904,1.049
1,7.095,1.952,1.028,1.902,1.079
1,7.109,1.935,1.035,1.967,1.086
1,7.545,1.903,1.046,1.965,1.07
1,7.867,1.993,1.006,1.997,1.037
1,8.002,1.903,1.073,1.938,1.047
1,8.073,1.928,1.036,1.931,1.086
1,8.4,1.922,1.076,1.996,1.02
1,9.181,1.986,1.027,1.953,1.026
1,9.192,1.943,1.054,1.968,1.059
2,9.454,3.079,5.998,3.042,5.982
1,9.49,1.952,1.096,1.936,1.027
1,9.607,1.978,1.031,1.943,1.047
1,9.886,1.95,1.042,1.968,1.072
1,10.076,1.965,1.01,1.958,1.078
2,10.082,3.094,5.908,3.079,5.929
1,10.479,1.986,1.004,1.925,1.086
1,10.709,1.902,1.098,1.936,1.043
2,11.933,3.098,5.957,3.074,5.922
1,11.939,1.989,1.06,1.944,1.01
1,12.439,1.944,1.098,1.988,1.003
1,12.625,1.996,1.043,1.922,1.004
1,12.725,1.97,1.063,1.986,1.073
1,13.815,1.942,1.031,1.964,1.087
1,13.933,1.966,1.006,1.931,1.01
2,13.936,3.035,5.993,3.032,5.96
1,14.094,1.956,1.01,1.976,1.051
2,14.208,3.001,5.96,3.009,5.931
2,14.288,3.015,5.967,3.082,5.995
1,15.215,1.974,1.096,1.923,1.089
2,15.267,3.053,5.991,3.09,5.975
1,15.894,1.934,1.097,1.981,1.087
1,16.238,1.989,1.089,1.922,1.088
1,16.866,1.978,1.07,1.978,1.065
1,16.938,1.964,1.007,1.911,1.083
1,17.201,1.923,1.071,1.902,1.056
1,17.961,1.968,1.064,1.917,1.065
2,18.58,3.043,5.987,3.014,5.959
1,19.931,1.987,1.044,1.99,1.087
1,20.189,1.983,1.004,1.917,1.099
2,20.232,3.014,5.929,3.097,5.975
1,22.027,1.961,1.041,1.98,1.068
1,22.956,1.941,1.084,1.984,1.018
2,23.461,3.08,5.954,3.053,5.933
1,23.672,1.985,1.093,1.993,1.094
1,23.678,1.957,1.018,1.915,1.068
1,23.858,1.929,1.086,1.929,1.063
1,24.461,1.97,1.082,1.992,1.01
1,24.794,1.915,1.043,1.982,1.061
1,25.91,1.994,1.055,1.952,1.018
1,26.179,1.97,1.001,1.954,1.067
2,26.204,3.0,5.988,3.048,5.979
1,26.298,1.941,1.053,1.905,1.037
1,26.314,1.918,1.036,1.959,1.038
1,26.606,1.967,1.089,1.955,1.098
1,26.797,1.936,1.075,1.944,1.02
1,26.838,1.971,1.094,1.95,1.053
1,27.475,1.907,1.005,1.976,1.072
2,27.506,3.028,5.973,3.013,5.949
1,27.55,1.971,1.025,1.961,1.065
1,27.639,1.979,1.089,1.919,1.08
2,28.102,3.099,5.955,3.023,5.953
1,28.629,1.919,1.036,1.929,1.021
1,29.004,1.92,1.015,1.934,1.097
1,29.486,1.938,1.068,1.963,1.037
1,29.845,1.97,1.098,1.994,1.061
1,29.854,1.967,1.055,1.937,1.097
1,29.957,1.971,1.037,1.95,1.065
1,29.992,1.986,1.085,1.984,1.094
1,30.247,1.991,1.043,1.97,1.022
2,30.606,3.075,5.905,3.039,5.983
2,30.708,3.016,5.919,3.003,5.903
1,30.867,1.917,1.068,1.902,1.096
1,31.031,1.92,1.03,1.932,1.077
1,31.323,1.936,1.051,1.919,1.092
1,31.5,1.907,1.039,1.994,1.026
1,31.528,1.96,1.092,1.916,1.007
1,32.528,1.975,1.011,1.94,1.075
1,32.624,1.94,1.074,1.978,1.072
2,32.771,3.093,5.98,3.011,5.929
1,33.101,1.901,1.035,1.918,1.089
1,33.872,1.918,1.081,1.939,1.081
1,34.049,1.952,1.013,1.961,1.05
1,34.349,1.918,1.081,1.999,1.011
1,34.492,1.931,1.017,1.978,1.099
1,34.537,1.902,1.068,1.979,1.069
1,34.872,1.925,1.06,1.936,1.084
1,34.948,1.952,1.062,1.918,1.095
1,35.223,1.917,1.054,1.919,1.099
2,35.341,3.042,5.941,3.073,5.919
1,36.063,1.933,1.011,1.939,1.072
1,36.123,1.927,1.055,1.934,1.042
1,36.293,1.939,1.09,1.963,1.066
2,36.675,3.023,5.969,3.01,5.973
1,36.749,1.975,1.09,1.988,1.074
1,36.821,1.975,1.033,1.994,1.047
2,36.959,3.047,5.931,3.023,5.955
1,37.569,1.972,1.092,1.93,1.08
2,37.582,3.085,5.95,3.023,5.95
1,37.611,1.986,1.026,1.923,1.042
1,38.11,1.935,1.001,1.986,1.018
1,38.815,1.995,1.073,1.962,1.004
2,40.851,3.068,5.954,3.066,5.948
1,41.087,1.94,1.063,1.939,1.042
2,41.162,3.026,5.904,3.03,5.998
2,41.253,3.072,5.961,3.028,5.994
1,41.294,1.994,1.057,1.967,1.056
1,42.101,1.971,1.092,1.917,1.069
1,42.364,1.995,1.072,1.951,1.078
1,42.744,1.993,1.07,1.925,1.077
1,43.331,1.922,1.046,1.969,1.099
1,43.792,1.955,1.024,1.961,1.023
2,44.006,3.067,5.918,3.098,5.927
1,44.283,1.92,1.057,1.901,1.011
1,44.434,1.926,1.095,1.967,1.079
1,44.932,1.955,1.091,1.978,1.051
1,45.049,1.986,1.059,1.976,1.002
2,45.633,3.016,5.94,3.006,5.915
1,45.739,1.991,1.027,1.97,1.018
