task_type_id,arrival_time,est_m1,est_m2,est_m3,est_m4,ext_m1-1,ext_m2-1,ext_m3-1,ext_m4-1
2,0.409,2.346,1.533,4.478,0.955,1.897,1.849,4.685,0.771
1,0.674,2.213,1.905,4.059,0.689,2.101,1.62,4.622,0.64
1,2.138,2.474,1.79,4.998,0.772,2.31,1.405,4.533,0.66
2,5.586,2.442,1.82,4.279,0.914,2.129,1.831,4.226,0.763
1,7.921,2.276,1.976,4.555,0.707,1.897,1.467,4.647,0.721
1,8.989,2.249,1.419,4.196,0.785,2.233,1.835,3.729,0.691
1,10.847,2.272,1.58,4.809,0.704,2.458,1.515,4.11,0.74
2,10.922,2.215,2.026,4.117,0.995,2.563,1.601,4.081,0.888
2,11.047,2.413,2.056,5.098,0.949,1.88,1.619,4.361,0.956
1,11.079,2.334,1.556,3.646,0.851,2.453,1.445,3.693,0.627
2,11.327,2.333,1.775,4.666,0.771,2.088,2.13,4.196,0.933
2,11.507,2.008,1.635,4.622,0.958,1.972,1.869,4.963,0.722
1,12.651,2.464,1.93,4.681,0.64,2.264,1.73,3.672,0.632
1,12.859,2.395,1.716,4.567,0.696,2.433,1.924,5.067,0.678
2,13.012,2.279,1.578,4.729,0.735,2.258,1.757,4.642,0.965
1,13.389,2.31,1.633,4.548,0.734,2.044,1.934,4.042,0.784
1,14.512,2.476,1.838,4.583,0.781,2.235,1.8,3.877,0.641
1,14.515,1.868,1.455,3.719,0.83,1.98,1.895,4.93,0.625
1,14.924,2.076,1.761,4.357,0.857,2.108,1.804,3.605,0.81
1,15.897,2.552,1.445,4.312,0.623,2.138,1.75,4.835,0.817
1,15.955,2.334,1.893,4.782,0.736,1.938,1.853,4.025,0.672
1,15.989,1.997,1.663,4.177,0.723,2.613,1.819,4.132,0.765
1,18.601,2.221,1.735,4.083,0.732,2.335,1.755,4.19,0.649
2,19.192,1.944,2.023,3.948,1.006,2.568,1.75,4.861,0.845
1,19.398,1.882,1.866,4.04,0.86,2.375,1.432,4.832,0.681
1,21.492,2.576,1.653,4.57,0.66,2.608,1.505,4.079,0.675
1,21.82,2.309,1.924,3.673,0.691,1.877,1.55,3.628,0.845
2,24.538,2.413,1.612,4.14,0.729,2.495,1.8,4.189,0.901
2,26.729,2.529,1.98,3.835,0.863,1.872,2.033,4.978,0.99
1,27.14,2.272,1.524,4.45,0.845,2.395,1.668,4.072,0.701
2,27.726,2.163,2.088,4.406,0.806,1.982,1.609,3.886,0.96
2,28.296,2.39,1.739,4.873,0.911,2.092,1.671,5.077,0.825
1,30.183,2.197,1.617,3.667,0.814,1.872,1.443,4.503,0.613
1,31.911,2.453,1.463,4.677,0.642,2.616,1.989,4.433,0.636
1,35.102,2.044,1.953,3.627,0.751,2.277,1.518,4.542,0.702
1,36.786,2.252,1.647,3.608,0.695,2.491,1.458,4.307,0.817
1,37.49,2.546,1.552,3.617,0.718,2.286,1.58,4.653,0.633
