task_type_id,arrival_time,est_m1,est_m2,ext_m1-1,ext_m2-1
1,2.952,1.961,1.061,1.978,1.018
1,4.131,1.974,1.054,1.96,1.037
2,4.554,3.007,5.981,3.016,5.961
2,4.776,3.098,5.95,3.068,5.978
1,5.517,1.943,1.034,1.948,1.037
1,5.857,1.946,1.089,1.969,1.097
1,6.414,1.917,1.098,1.971,1.085
2,7.34,3.075,5.969,3.053,5.968
2,7.432,3.039,5.988,3.087,5.929
2,8.17,3.07,5.911,3.028,5.96
2,8.899,3.064,5.931,3.082,5.966
1,9.056,1.999,1.049,1.965,1.094
2,9.848,3.013,5.939,3.076,5.919
2,9.871,3.084,5.985,3.044,5.977
1,10.485,1.904,1.07,1.941,1.063
2,10.95,3.05,5.969,3.033,5.944
2,11.039,3.008,5.987,3.017,5.913
1,11.121,1.988,1.062,1.933,1.05
2,11.41,3.0,5.954,3.036,5.966
2,13.093,3.093,5.998,3.02,5.98
2,14.243,3.08,5.993,3.08,5.942
2,14.351,3.036,5.985,3.065,5.934
2,15.249,3.005,5.928,3.054,5.974
1,16.085,1.966,1.094,1.996,1.015
2,16.127,3.083,5.953,3.019,5.97
1,17.365,1.982,1.015,1.929,1.018
1,17.873,1.985,1.054,1.906,1.008
1,20.542,1.971,1.07,1.921,1.006
1,21.524,1.948,1.003,1.901,1.052
1,23.139,1.958,1.009,1.981,1.004
2,23.623,3.081,5.946,3.04,5.998
2,23.766,3.062,5.949,3.031,5.982
2,24.278,3.054,5.947,3.066,5.913
2,25.439,3.053,5.978,3.015,5.924
1,25.605,1.922,1.081,1.985,1.06
2,25.744,3.076,5.963,3.077,5.908
1,26.251,1.996,1.096,1.908,1.075
2,26.986,3.04,5.969,3.055,5.939
1,27.921,1.93,1.084,1.981,1.04
2,28.465,3.051,5.935,3.008,5.991
1,28.656,1.976,1.007,1.918,1.098
1,29.406,1.963,1.073,1.926,1.02
1,29.548,1.918,1.009,1.909,1.022
1,29.795,1.997,1.058,1.902,1.042
1,30.63,1.948,1.015,1.938,1.043
2,31.177,3.073,5.928,3.055,5.911
1,31.875,1.978,1.029,1.919,1.092
2,32.893,3.065,5.975,3.076,5.914
2,32.941,3.073,5.998,3.033,5.982
1,34.377,1.997,1.089,1.933,1.015
2,34.781,3.068,5.931,3.022,5.965
2,35.053,3.031,5.962,3.049,5.998
2,35.67,3.05,5.923,3.049,5.984
1,36.43,1.934,1.008,1.98,1.035
2,36.66,3.079,5.983,3.028,5.962
1,37.467,1.986,1.015,1.918,1.048
2,38.064,3.066,5.911,3.095,5.913
1,38.133,1.918,1.073,1.949,1.011
2,38.339,3.071,5.914,3.099,5.903
1,38.407,1.914,1.053,1.905,1.08
1,38.934,1.903,1.079,1.95,1.03
1,39.094,1.992,1.008,1.925,1.078
2,39.258,3.065,5.919,3.098,5.943
1,39.918,1.968,1.096,1.958,1.031
1,41.403,1.955,1.046,1.99,1.047
2,41.495,3.098,5.931,3.052,5.912
2,42.462,3.076,5.907,3.006,5.941
2,43.877,3.04,5.914,3.099,5.945
1,43.929,1.915,1.051,1.918,1.046
2,44.124,3.018,5.972,3.033,5.941
1,48.407,1.998,1.086,1.936,1.036
1,48.422,1.927,1.086,1.933,1.052
1,50.73,1.975,1.098,1.923,1.09
1,52.161,1.967,1.096,1.934,1.055
2,52.64,3.098,5.961,3.099,5.95
1,53.552,1.993,1.082,1.937,1.018
1,55.382,1.98,1.016,1.958,1.004
2,55.508,3.029,5.981,3.016,5.975
1,56.008,1.992,1.05,1.982,1.044
2,56.093,3.001,5.925,3.005,5.933
2,56.997,3.063,5.984,3.075,5.973
2,57.46,3.008,5.947,3.095,5.9
2,58.476,3.053,5.92,3.018,5.968
1,58.974,1.998,1.078,1.975,1.035
1,60.357,1.993,1.075,1.922,1.082
1,61.124,1.935,1.018,1.975,1.095
2,61.832,3.039,6.0,3.003,5.946
2,62.329,3.054,5.923,3.072,5.998
1,62.897,1.902,1.023,1.985,1.01
2,65.22,3.072,5.978,3.045,5.957
1,67.329,1.996,1.046,2.0,1.011
1,67.356,1.967,1.039,1.995,1.018
