id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0.0,TT2,BESTEFFORT,COMPLETED,cpu-1,0.701,"{'cpu-1': 2.421, 'cpu-2': 8.507, 'cpu-3': 10.361, 'cpu-4': 3.445, 'gpu-1': 0.912}",108.945,0.701,3.122,inf,3.7010000000000005,5.2010000000000005
1.0,TT2,BESTEFFORT,COMPLETED,cpu-2,2.258,"{'cpu-1': 3.923, 'cpu-2': 1.939, 'cpu-3': 4.779, 'cpu-4': 4.013, 'gpu-1': 0.674}",87.255,2.258,4.197,inf,5.258,6.758
2.0,TT2,BESTEFFORT,MISSED,cpu-3,3.058,"{'cpu-1': 3.622, 'cpu-2': 4.028, 'cpu-3': 8.464, 'cpu-4': 5.624, 'gpu-1': 1.394}",202.5,3.058,inf,7.558,6.058,7.558
3.0,TT2,BESTEFFORT,COMPLETED,cpu-4,3.909,"{'cpu-1': 13.378, 'cpu-2': 4.239, 'cpu-3': 3.337, 'cpu-4': 2.553, 'gpu-1': 0.767}",114.88499999999999,3.909,6.462,inf,6.908999999999999,8.408999999999999
4.0,TT2,BESTEFFORT,COMPLETED,gpu-1,4.333,"{'cpu-1': 2.346, 'cpu-2': 5.572, 'cpu-3': 5.089, 'cpu-4': 7.598, 'gpu-1': 0.608}",57.76,4.333,4.941,inf,7.333,8.833
5.0,TT2,BESTEFFORT,XCOMPLETED,cpu-1,4.461,"{'cpu-1': 4.341, 'cpu-2': 4.098, 'cpu-3': 2.687, 'cpu-4': 1.484, 'gpu-1': 2.247}",195.345,4.461,8.802,inf,7.461,8.961
6.0,TT2,BESTEFFORT,XCOMPLETED,cpu-2,5.691,"{'cpu-1': 4.209, 'cpu-2': 3.297, 'cpu-3': 5.106, 'cpu-4': 5.146, 'gpu-1': 2.166}",148.365,5.691,8.988,inf,8.690999999999999,10.190999999999999
7.0,TT2,BESTEFFORT,MISSED,cpu-3,6.579,"{'cpu-1': 4.721, 'cpu-2': 6.133, 'cpu-3': 9.02, 'cpu-4': 11.71, 'gpu-1': 2.956}",158.44500000000005,7.558,inf,11.079,9.579,11.079
8.0,TT2,BESTEFFORT,XCOMPLETED,cpu-4,6.897,"{'cpu-1': 7.584, 'cpu-2': 10.557, 'cpu-3': 3.161, 'cpu-4': 3.73, 'gpu-1': 1.851}",167.85,6.897,10.627,inf,9.897,11.397
9.0,TT2,BESTEFFORT,COMPLETED,gpu-1,7.163,"{'cpu-1': 11.529, 'cpu-2': 8.906, 'cpu-3': 13.587, 'cpu-4': 10.636, 'gpu-1': 0.771}",73.245,7.163,7.934,inf,10.163,11.663
10.0,TT2,BESTEFFORT,MISSED,cpu-1,7.465,"{'cpu-1': 11.71, 'cpu-2': 2.296, 'cpu-3': 4.537, 'cpu-4': 12.444, 'gpu-1': 0.591}",142.335,8.802,inf,11.965,10.465,11.965
11.0,TT2,BESTEFFORT,MISSED,cpu-2,7.67,"{'cpu-1': 3.029, 'cpu-2': 9.123, 'cpu-3': 7.031, 'cpu-4': 2.172, 'gpu-1': 1.42}",143.19000000000003,8.988,inf,12.17,10.67,12.17
12.0,TT2,BESTEFFORT,MISSED,cpu-3,10.468,"{'cpu-1': 7.031, 'cpu-2': 7.372, 'cpu-3': 12.341, 'cpu-4': 2.365, 'gpu-1': 3.162}",175.00499999999997,11.079,inf,14.968,13.468,14.968
13.0,TT2,BESTEFFORT,MISSED,cpu-4,10.519,"{'cpu-1': 13.751, 'cpu-2': 4.612, 'cpu-3': 9.635, 'cpu-4': 5.594, 'gpu-1': 2.116}",197.64,10.627,inf,15.019,13.519,15.019
14.0,TT2,BESTEFFORT,COMPLETED,gpu-1,12.365,"{'cpu-1': 5.064, 'cpu-2': 2.794, 'cpu-3': 2.696, 'cpu-4': 6.475, 'gpu-1': 2.007}",190.66500000000002,12.365,14.372,inf,15.365000000000002,16.865000000000002
15.0,TT2,BESTEFFORT,MISSED,cpu-1,13.836,"{'cpu-1': 12.385, 'cpu-2': 8.387, 'cpu-3': 1.764, 'cpu-4': 5.603, 'gpu-1': 3.486}",202.49999999999991,13.836,inf,18.336,16.836,18.336
16.0,TT2,BESTEFFORT,COMPLETED,cpu-2,15.302,"{'cpu-1': 6.791, 'cpu-2': 2.762, 'cpu-3': 3.279, 'cpu-4': 4.845, 'gpu-1': 2.838}",124.29,15.302,18.064,inf,18.302,19.802
17.0,TT2,BESTEFFORT,COMPLETED,cpu-3,16.405,"{'cpu-1': 12.529, 'cpu-2': 6.228, 'cpu-3': 2.127, 'cpu-4': 9.602, 'gpu-1': 1.926}",95.71499999999999,16.405,18.532,inf,19.405,20.905
18.0,TT2,BESTEFFORT,MISSED,cpu-4,17.585,"{'cpu-1': 13.39, 'cpu-2': 1.641, 'cpu-3': 1.495, 'cpu-4': 4.705, 'gpu-1': 0.68}",202.5,17.585,inf,22.085,20.585,22.085
19.0,TT2,BESTEFFORT,COMPLETED,gpu-1,19.297,"{'cpu-1': 12.1, 'cpu-2': 11.641, 'cpu-3': 2.687, 'cpu-4': 6.477, 'gpu-1': 0.992}",94.24,19.297,20.289,inf,22.297,23.797
20.0,TT2,BESTEFFORT,COMPLETED,cpu-1,19.853,"{'cpu-1': 2.515, 'cpu-2': 12.035, 'cpu-3': 3.299, 'cpu-4': 7.287, 'gpu-1': 0.929}",113.17500000000001,19.853,22.368000000000002,inf,22.853,24.353
21.0,TT2,BESTEFFORT,XCOMPLETED,cpu-2,23.012,"{'cpu-1': 5.338, 'cpu-2': 4.32, 'cpu-3': 6.492, 'cpu-4': 9.048, 'gpu-1': 0.89}",194.4,23.012,27.332,inf,26.012,27.512
22.0,TT2,BESTEFFORT,XCOMPLETED,cpu-3,25.149,"{'cpu-1': 8.1, 'cpu-2': 1.81, 'cpu-3': 4.146, 'cpu-4': 3.1, 'gpu-1': 1.919}",186.57,25.149,29.295,inf,28.149,29.649
23.0,TT2,BESTEFFORT,XCOMPLETED,cpu-4,26.958,"{'cpu-1': 4.781, 'cpu-2': 1.967, 'cpu-3': 1.408, 'cpu-4': 4.074, 'gpu-1': 2.525}",183.32999999999998,26.958,31.031999999999996,inf,29.958,31.458
24.0,TT2,BESTEFFORT,COMPLETED,gpu-1,27.146,"{'cpu-1': 7.084, 'cpu-2': 3.855, 'cpu-3': 9.015, 'cpu-4': 3.165, 'gpu-1': 2.392}",227.23999999999998,27.146,29.538,inf,30.146,31.646
25.0,TT2,BESTEFFORT,MISSED,cpu-1,27.153,"{'cpu-1': 7.758, 'cpu-2': 2.802, 'cpu-3': 5.97, 'cpu-4': 9.635, 'gpu-1': 1.201}",202.5,27.153,inf,31.653,30.153,31.653
26.0,TT2,BESTEFFORT,MISSED,cpu-2,29.191,"{'cpu-1': 3.92, 'cpu-2': 5.698, 'cpu-3': 1.764, 'cpu-4': 5.915, 'gpu-1': 3.012}",202.50000000000017,29.191,inf,33.691,32.191,33.691
27.0,TT2,BESTEFFORT,COMPLETED,cpu-3,30.407,"{'cpu-1': 4.339, 'cpu-2': 13.9, 'cpu-3': 1.748, 'cpu-4': 3.443, 'gpu-1': 2.173}",78.66,30.407,32.155,inf,33.407,34.907
28.0,TT2,BESTEFFORT,MISSED,cpu-4,30.587,"{'cpu-1': 4.16, 'cpu-2': 7.266, 'cpu-3': 3.698, 'cpu-4': 4.684, 'gpu-1': 1.438}",182.4750000000003,31.031999999999996,inf,35.087,33.587,35.087
29.0,TT2,BESTEFFORT,COMPLETED,gpu-1,30.672,"{'cpu-1': 8.71, 'cpu-2': 7.377, 'cpu-3': 11.941, 'cpu-4': 7.429, 'gpu-1': 2.199}",208.90499999999997,30.672,32.871,inf,33.672,35.172
30.0,TT2,BESTEFFORT,MISSED,cpu-1,31.538,"{'cpu-1': 6.317, 'cpu-2': 1.807, 'cpu-3': 2.369, 'cpu-4': 7.758, 'gpu-1': 1.535}",197.3249999999999,31.653,inf,36.038,34.538,36.038
31.0,TT2,BESTEFFORT,MISSED,cpu-2,31.976,"{'cpu-1': 2.421, 'cpu-2': 4.99, 'cpu-3': 5.206, 'cpu-4': 7.735, 'gpu-1': 0.614}",125.32499999999985,33.691,inf,36.476,34.976,36.476
32.0,TT2,BESTEFFORT,COMPLETED,cpu-3,36.356,"{'cpu-1': 5.18, 'cpu-2': 2.421, 'cpu-3': 2.296, 'cpu-4': 3.47, 'gpu-1': 0.656}",103.32,36.356,38.652,inf,39.356,40.856
