id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT1,BESTEFFORT,COMPLETED,m4-1,0.233,"{'m1-1': 2.277, 'm2-1': 1.659, 'm3-1': 3.848, 'm4-1': 0.63}",0.9450000000000001,0.233,0.863,inf,5.233,5.233
1,TT3,BESTEFFORT,COMPLETED,m4-1,0.244,"{'m1-1': 1.804, 'm2-1': 1.333, 'm3-1': 5.647, 'm4-1': 0.995}",1.4925,0.863,1.858,inf,5.444,5.444
2,TT1,BESTEFFORT,COMPLETED,m4-1,0.581,"{'m1-1': 2.373, 'm2-1': 1.566, 'm3-1': 5.098, 'm4-1': 0.751}",1.1265,1.858,2.609,inf,5.5809999999999995,5.5809999999999995
3,TT3,BESTEFFORT,CANCELLED,m4-1,0.613,"{'m1-1': 1.941, 'm2-1': 1.749, 'm3-1': 4.8, 'm4-1': 0.996}",0.0,inf,inf,inf,5.813000000000001,5.813000000000001
4,TT1,BESTEFFORT,COMPLETED,m1-1,0.631,"{'m1-1': 1.921, 'm2-1': 1.942, 'm3-1': 4.268, 'm4-1': 0.762}",3.0736000000000003,0.631,2.552,inf,5.631,5.631
5,TT3,BESTEFFORT,COMPLETED,m1-1,0.724,"{'m1-1': 1.994, 'm2-1': 1.467, 'm3-1': 5.173, 'm4-1': 0.837}",3.1904000000000003,2.552,4.546,inf,5.924,5.924
6,TT1,BESTEFFORT,COMPLETED,m2-1,0.78,"{'m1-1': 2.14, 'm2-1': 1.796, 'm3-1': 4.25, 'm4-1': 0.801}",5.388,0.78,2.576,inf,5.78,5.78
7,TT2,BESTEFFORT,COMPLETED,m4-1,0.874,"{'m1-1': 2.116, 'm2-1': 1.846, 'm3-1': 4.514, 'm4-1': 0.841}",1.2614999999999998,2.609,3.45,inf,5.973999999999999,5.973999999999999
8,TT2,BESTEFFORT,COMPLETED,m2-1,1.241,"{'m1-1': 2.051, 'm2-1': 1.998, 'm3-1': 4.014, 'm4-1': 0.719}",5.994,2.576,4.574,inf,6.340999999999999,6.340999999999999
9,TT3,BESTEFFORT,COMPLETED,m2-1,1.437,"{'m1-1': 2.165, 'm2-1': 1.29, 'm3-1': 5.9, 'm4-1': 0.94}",3.87,4.574,5.864,inf,6.6370000000000005,6.6370000000000005
10,TT2,BESTEFFORT,COMPLETED,m3-1,1.67,"{'m1-1': 2.462, 'm2-1': 1.695, 'm3-1': 3.763, 'm4-1': 0.862}",6.7734,1.67,5.433,inf,6.77,6.77
11,TT4,BESTEFFORT,COMPLETED,m4-1,1.88,"{'m1-1': 2.067, 'm2-1': 1.359, 'm3-1': 5.137, 'm4-1': 0.762}",1.143,3.45,4.212,inf,6.88,6.88
12,TT1,BESTEFFORT,MISSED,m2-1,1.939,"{'m1-1': 2.624, 'm2-1': 1.793, 'm3-1': 3.627, 'm4-1': 0.786}",3.2250000000000005,5.864,inf,6.939,6.939,6.939
13,TT4,BESTEFFORT,COMPLETED,m4-1,2.047,"{'m1-1': 1.844, 'm2-1': 1.761, 'm3-1': 4.639, 'm4-1': 0.953}",1.4295,4.212,5.165,inf,7.047000000000001,7.047000000000001
14,TT3,BESTEFFORT,COMPLETED,m1-1,2.34,"{'m1-1': 1.726, 'm2-1': 1.557, 'm3-1': 5.194, 'm4-1': 0.762}",2.7616,4.546,6.272,inf,7.54,7.54
15,TT2,BESTEFFORT,CANCELLED,,2.471,"{'m1-1': 2.417, 'm2-1': 1.614, 'm3-1': 4.733, 'm4-1': 0.946}",0.0,inf,inf,inf,7.571,7.571
16,TT2,BESTEFFORT,COMPLETED,m4-1,2.579,"{'m1-1': 2.122, 'm2-1': 1.538, 'm3-1': 5.105, 'm4-1': 0.97}",1.455,5.165,6.135,inf,7.679,7.679
17,TT3,BESTEFFORT,CANCELLED,,2.608,"{'m1-1': 1.928, 'm2-1': 1.783, 'm3-1': 5.384, 'm4-1': 0.791}",0.0,inf,inf,inf,7.808,7.808
18,TT1,BESTEFFORT,CANCELLED,,2.976,"{'m1-1': 2.191, 'm2-1': 1.87, 'm3-1': 4.632, 'm4-1': 0.639}",0.0,inf,inf,inf,7.976,7.976
19,TT3,BESTEFFORT,CANCELLED,m4-1,3.207,"{'m1-1': 2.423, 'm2-1': 1.271, 'm3-1': 5.926, 'm4-1': 0.867}",0.0,inf,inf,inf,8.407,8.407
20,TT4,BESTEFFORT,COMPLETED,m1-1,3.499,"{'m1-1': 2.135, 'm2-1': 1.582, 'm3-1': 4.659, 'm4-1': 0.858}",3.416,6.272,8.407,inf,8.499,8.499
21,TT2,BESTEFFORT,CANCELLED,,3.527,"{'m1-1': 1.888, 'm2-1': 1.98, 'm3-1': 4.545, 'm4-1': 0.926}",0.0,inf,inf,inf,8.626999999999999,8.626999999999999
22,TT1,BESTEFFORT,MISSED,m2-1,3.732,"{'m1-1': 2.458, 'm2-1': 1.8, 'm3-1': 4.233, 'm4-1': 0.686}",5.378999999999998,6.939,inf,8.732,8.732,8.732
23,TT3,BESTEFFORT,CANCELLED,m4-1,3.767,"{'m1-1': 2.323, 'm2-1': 1.782, 'm3-1': 4.709, 'm4-1': 0.838}",0.0,inf,inf,inf,8.967,8.967
24,TT2,BESTEFFORT,CANCELLED,,4.014,"{'m1-1': 1.948, 'm2-1': 1.609, 'm3-1': 4.268, 'm4-1': 0.75}",0.0,inf,inf,inf,9.114,9.114
