Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,540,1460,0,152,19.400000000000002,0.0,19.400000000000002,9.22728611111111,22.741104861111115,0.05861109500286368
1,2000,539,1461,0,145,19.7,0.0,19.7,9.203719444444443,22.70047708333344,0.05761542406937422
2,2000,537,1463,0,159,18.9,0.0,18.9,10.075400000000002,22.630284027777762,0.05986847626396233
3,2000,523,1477,0,158,18.25,0.0,18.25,9.908958333333336,21.89692847222198,0.05999158485540269
4,2000,556,1444,0,152,20.200000000000003,0.0,20.200000000000003,9.460574999999999,23.379370138888817,0.05786972806655648
5,2000,538,1462,0,137,20.05,0.0,20.05,8.720883333333335,22.54102083333319,0.056212022028262316
6,2000,545,1455,0,147,19.900000000000002,0.0,19.900000000000002,9.014275000000001,22.802799305555432,0.0572934655918478
7,2000,552,1448,0,157,19.75,0.0,19.75,9.793674999999997,23.147918055555515,0.058602324191279795
8,2000,563,1437,0,159,20.200000000000003,0.0,20.200000000000003,9.667755555555555,23.411482638888906,0.057949214452695304
9,2000,563,1437,0,157,20.3,0.0,20.3,9.833999999999996,23.78632083333337,0.05858699712643688
10,2000,513,1487,0,148,18.25,0.0,18.25,9.054505555555558,21.43250277777774,0.05871918569254174
11,2000,555,1445,0,145,20.5,0.0,20.5,9.051733333333335,23.253592361110982,0.056716078929538984
12,2000,563,1437,0,151,20.599999999999998,0.0,20.599999999999998,9.793183333333332,23.757838888888752,0.05766465749730282
13,2000,554,1446,0,153,20.05,0.0,20.05,9.277716666666663,23.199712499999904,0.05785464463840376
14,2000,565,1435,0,157,20.4,0.0,20.4,9.668883333333335,23.74697777777773,0.05820337690631796
15,2000,560,1440,0,173,19.35,0.0,19.35,10.997427777777775,23.767295833333073,0.061414201119723705
16,2000,542,1458,0,159,19.15,0.0,19.15,9.970244444444441,22.834322222222074,0.059619640266898366
17,2000,578,1422,0,140,21.9,0.0,21.9,8.879427777777776,24.119942361111246,0.05506836155504851
18,2000,520,1480,0,145,18.75,0.0,18.75,9.240769444444446,21.7812222222221,0.058083259259258946
19,2000,571,1429,0,170,20.05,0.0,20.05,10.886844444444439,24.121671527777682,0.06015379433361018
20,2000,542,1458,0,150,19.6,0.0,19.6,9.59341388888888,22.732484027777776,0.05799103068310656
21,2000,569,1431,0,166,20.150000000000002,0.0,20.150000000000002,10.68407777777778,24.019167361110956,0.05960091156603214
22,2000,565,1435,0,146,20.95,0.0,20.95,9.071747222222218,23.863012499999904,0.056952297136037965
23,2000,540,1460,0,150,19.5,0.0,19.5,9.643811111111114,22.579895138888812,0.05789716702279184
24,2000,544,1456,0,166,18.9,0.0,18.9,10.548130555555556,23.003956944444415,0.06085702895355665
25,2000,563,1437,0,150,20.65,0.0,20.65,9.099586111111108,23.457962499999983,0.05679894067796606
26,2000,564,1436,0,156,20.4,0.0,20.4,10.091325000000003,23.60033472222215,0.05784395765250528
27,2000,550,1450,0,163,19.35,0.0,19.35,10.25882222222222,23.330349999999942,0.0602851421188629
28,2000,562,1438,0,145,20.849999999999998,0.0,20.849999999999998,9.157336111111109,23.49450069444437,0.05634172828403926
29,2000,551,1449,0,152,19.950000000000003,0.0,19.950000000000003,9.72955277777778,23.180095138889012,0.058095476538568946
