id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT1,BESTEFFORT,COMPLETED,m4-1,0.001,"{'m1-1': 2.171, 'm2-1': 1.455, 'm3-1': 4.04, 'm4-1': 0.784}",1.1760000000000002,0.001,0.785,inf,5.001,5.001
1,TT1,BESTEFFORT,COMPLETED,m4-1,0.002,"{'m1-1': 2.2, 'm2-1': 1.859, 'm3-1': 4.718, 'm4-1': 0.809}",1.2135,0.785,1.594,inf,5.002,5.002
2,TT4,BESTEFFORT,COMPLETED,m4-1,0.003,"{'m1-1': 1.754, 'm2-1': 1.732, 'm3-1': 4.421, 'm4-1': 0.81}",1.215,1.594,2.404,inf,5.003,5.003
3,TT1,BESTEFFORT,COMPLETED,m4-1,0.022,"{'m1-1': 1.9, 'm2-1': 1.955, 'm3-1': 4.19, 'm4-1': 0.751}",1.1265,2.404,3.155,inf,5.022,5.022
4,TT1,BESTEFFORT,COMPLETED,m1-1,0.025,"{'m1-1': 2.037, 'm2-1': 1.668, 'm3-1': 4.851, 'm4-1': 0.631}",3.2592,0.025,2.062,inf,5.025,5.025
5,TT3,BESTEFFORT,COMPLETED,m1-1,0.045,"{'m1-1': 2.333, 'm2-1': 1.779, 'm3-1': 5.567, 'm4-1': 0.997}",3.7328000000000006,2.062,4.395,inf,5.245,5.245
6,TT1,BESTEFFORT,COMPLETED,m2-1,0.052,"{'m1-1': 1.889, 'm2-1': 1.948, 'm3-1': 4.686, 'm4-1': 0.791}",5.843999999999999,0.052,2.0,inf,5.052,5.052
7,TT2,BESTEFFORT,COMPLETED,m2-1,0.075,"{'m1-1': 2.102, 'm2-1': 2.122, 'm3-1': 4.057, 'm4-1': 0.925}",6.366,2.0,4.122,inf,5.175,5.175
8,TT3,BESTEFFORT,CANCELLED,,0.079,"{'m1-1': 1.851, 'm2-1': 1.299, 'm3-1': 4.296, 'm4-1': 0.993}",0.0,inf,inf,inf,5.279,5.279
9,TT3,BESTEFFORT,CANCELLED,,0.079,"{'m1-1': 2.36, 'm2-1': 1.571, 'm3-1': 5.56, 'm4-1': 0.774}",0.0,inf,inf,inf,5.279,5.279
10,TT2,BESTEFFORT,CANCELLED,,0.08,"{'m1-1': 2.532, 'm2-1': 1.533, 'm3-1': 3.738, 'm4-1': 0.756}",0.0,inf,inf,inf,5.18,5.18
11,TT3,BESTEFFORT,MISSED,m3-1,0.084,"{'m1-1': 2.253, 'm2-1': 1.42, 'm3-1': 5.881, 'm4-1': 0.785}",9.360000000000001,0.084,inf,5.284,5.284,5.284
12,TT3,BESTEFFORT,MISSED,m2-1,0.084,"{'m1-1': 2.063, 'm2-1': 1.736, 'm3-1': 4.989, 'm4-1': 0.865}",3.4859999999999998,4.122,inf,5.284,5.284,5.284
13,TT4,BESTEFFORT,CANCELLED,,0.088,"{'m1-1': 2.215, 'm2-1': 1.581, 'm3-1': 4.463, 'm4-1': 0.879}",0.0,inf,inf,inf,5.088,5.088
14,TT2,BESTEFFORT,CANCELLED,,0.09,"{'m1-1': 2.439, 'm2-1': 1.776, 'm3-1': 5.133, 'm4-1': 0.748}",0.0,inf,inf,inf,5.1899999999999995,5.1899999999999995
15,TT2,BESTEFFORT,CANCELLED,,0.101,"{'m1-1': 2.382, 'm2-1': 1.692, 'm3-1': 4.268, 'm4-1': 0.928}",0.0,inf,inf,inf,5.201,5.201
16,TT2,BESTEFFORT,CANCELLED,,0.103,"{'m1-1': 2.14, 'm2-1': 2.032, 'm3-1': 3.712, 'm4-1': 0.727}",0.0,inf,inf,inf,5.202999999999999,5.202999999999999
17,TT4,BESTEFFORT,CANCELLED,,0.121,"{'m1-1': 2.399, 'm2-1': 1.487, 'm3-1': 3.693, 'm4-1': 0.764}",0.0,inf,inf,inf,5.121,5.121
18,TT2,BESTEFFORT,CANCELLED,,0.139,"{'m1-1': 2.508, 'm2-1': 2.098, 'm3-1': 4.679, 'm4-1': 0.744}",0.0,inf,inf,inf,5.239,5.239
19,TT3,BESTEFFORT,CANCELLED,,0.161,"{'m1-1': 2.395, 'm2-1': 1.763, 'm3-1': 5.262, 'm4-1': 0.935}",0.0,inf,inf,inf,5.361,5.361
20,TT4,BESTEFFORT,CANCELLED,,0.163,"{'m1-1': 2.435, 'm2-1': 1.889, 'm3-1': 4.331, 'm4-1': 0.905}",0.0,inf,inf,inf,5.163,5.163
21,TT1,BESTEFFORT,CANCELLED,,0.168,"{'m1-1': 2.454, 'm2-1': 1.653, 'm3-1': 3.956, 'm4-1': 0.829}",0.0,inf,inf,inf,5.168,5.168
22,TT1,BESTEFFORT,CANCELLED,,0.17,"{'m1-1': 2.197, 'm2-1': 1.782, 'm3-1': 3.698, 'm4-1': 0.612}",0.0,inf,inf,inf,5.17,5.17
23,TT1,BESTEFFORT,CANCELLED,,0.189,"{'m1-1': 2.065, 'm2-1': 1.678, 'm3-1': 3.888, 'm4-1': 0.772}",0.0,inf,inf,inf,5.189,5.189
24,TT3,BESTEFFORT,CANCELLED,,0.189,"{'m1-1': 2.04, 'm2-1': 1.64, 'm3-1': 5.646, 'm4-1': 0.956}",0.0,inf,inf,inf,5.389,5.389
25,TT2,BESTEFFORT,CANCELLED,,0.205,"{'m1-1': 2.298, 'm2-1': 1.74, 'm3-1': 3.653, 'm4-1': 0.816}",0.0,inf,inf,inf,5.305,5.305
26,TT4,BESTEFFORT,CANCELLED,,0.214,"{'m1-1': 2.046, 'm2-1': 1.774, 'm3-1': 4.901, 'm4-1': 0.864}",0.0,inf,inf,inf,5.214,5.214
27,TT4,BESTEFFORT,CANCELLED,,0.222,"{'m1-1': 2.201, 'm2-1': 1.422, 'm3-1': 4.777, 'm4-1': 0.894}",0.0,inf,inf,inf,5.222,5.222
28,TT1,BESTEFFORT,CANCELLED,,0.231,"{'m1-1': 2.572, 'm2-1': 1.908, 'm3-1': 4.923, 'm4-1': 0.797}",0.0,inf,inf,inf,5.231,5.231
29,TT1,BESTEFFORT,CANCELLED,,0.252,"{'m1-1': 1.909, 'm2-1': 1.687, 'm3-1': 4.978, 'm4-1': 0.81}",0.0,inf,inf,inf,5.252,5.252
30,TT3,BESTEFFORT,CANCELLED,,0.254,"{'m1-1': 1.916, 'm2-1': 1.392, 'm3-1': 4.972, 'm4-1': 0.889}",0.0,inf,inf,inf,5.454000000000001,5.454000000000001
31,TT2,BESTEFFORT,CANCELLED,,0.262,"{'m1-1': 2.582, 'm2-1': 1.932, 'm3-1': 4.897, 'm4-1': 0.958}",0.0,inf,inf,inf,5.362,5.362
32,TT3,BESTEFFORT,CANCELLED,,0.282,"{'m1-1': 2.271, 'm2-1': 1.501, 'm3-1': 5.853, 'm4-1': 0.937}",0.0,inf,inf,inf,5.482,5.482
33,TT3,BESTEFFORT,CANCELLED,,0.291,"{'m1-1': 1.819, 'm2-1': 1.603, 'm3-1': 5.945, 'm4-1': 0.897}",0.0,inf,inf,inf,5.4910000000000005,5.4910000000000005
34,TT3,BESTEFFORT,CANCELLED,,0.304,"{'m1-1': 2.386, 'm2-1': 1.429, 'm3-1': 5.397, 'm4-1': 1.002}",0.0,inf,inf,inf,5.5040000000000004,5.5040000000000004
35,TT2,BESTEFFORT,CANCELLED,,0.307,"{'m1-1': 2.116, 'm2-1': 1.702, 'm3-1': 4.416, 'm4-1': 0.805}",0.0,inf,inf,inf,5.407,5.407
36,TT2,BESTEFFORT,CANCELLED,,0.307,"{'m1-1': 2.048, 'm2-1': 2.107, 'm3-1': 4.813, 'm4-1': 0.836}",0.0,inf,inf,inf,5.407,5.407
37,TT1,BESTEFFORT,CANCELLED,,0.314,"{'m1-1': 2.592, 'm2-1': 1.737, 'm3-1': 4.449, 'm4-1': 0.642}",0.0,inf,inf,inf,5.314,5.314
38,TT1,BESTEFFORT,CANCELLED,,0.326,"{'m1-1': 1.976, 'm2-1': 1.433, 'm3-1': 4.484, 'm4-1': 0.786}",0.0,inf,inf,inf,5.326,5.326
39,TT3,BESTEFFORT,CANCELLED,,0.338,"{'m1-1': 1.883, 'm2-1': 1.777, 'm3-1': 4.292, 'm4-1': 0.983}",0.0,inf,inf,inf,5.538,5.538
40,TT2,BESTEFFORT,CANCELLED,,0.339,"{'m1-1': 2.625, 'm2-1': 1.597, 'm3-1': 3.82, 'm4-1': 0.788}",0.0,inf,inf,inf,5.439,5.439
41,TT4,BESTEFFORT,CANCELLED,,0.351,"{'m1-1': 2.171, 'm2-1': 1.819, 'm3-1': 3.996, 'm4-1': 1.069}",0.0,inf,inf,inf,5.351,5.351
42,TT1,BESTEFFORT,CANCELLED,,0.366,"{'m1-1': 2.201, 'm2-1': 1.426, 'm3-1': 4.233, 'm4-1': 0.744}",0.0,inf,inf,inf,5.366,5.366
43,TT1,BESTEFFORT,CANCELLED,,0.37,"{'m1-1': 2.56, 'm2-1': 1.518, 'm3-1': 5.113, 'm4-1': 0.664}",0.0,inf,inf,inf,5.37,5.37
44,TT1,BESTEFFORT,CANCELLED,,0.378,"{'m1-1': 2.108, 'm2-1': 1.968, 'm3-1': 5.037, 'm4-1': 0.854}",0.0,inf,inf,inf,5.378,5.378
45,TT3,BESTEFFORT,CANCELLED,,0.38,"{'m1-1': 1.963, 'm2-1': 1.654, 'm3-1': 4.555, 'm4-1': 0.975}",0.0,inf,inf,inf,5.58,5.58
46,TT2,BESTEFFORT,CANCELLED,,0.381,"{'m1-1': 2.103, 'm2-1': 1.53, 'm3-1': 3.82, 'm4-1': 0.982}",0.0,inf,inf,inf,5.481,5.481
47,TT2,BESTEFFORT,CANCELLED,,0.389,"{'m1-1': 1.882, 'm2-1': 1.596, 'm3-1': 4.227, 'm4-1': 0.81}",0.0,inf,inf,inf,5.489,5.489
48,TT3,BESTEFFORT,CANCELLED,,0.393,"{'m1-1': 1.759, 'm2-1': 1.619, 'm3-1': 4.876, 'm4-1': 0.719}",0.0,inf,inf,inf,5.593,5.593
49,TT4,BESTEFFORT,CANCELLED,,0.399,"{'m1-1': 2.268, 'm2-1': 1.584, 'm3-1': 3.955, 'm4-1': 0.989}",0.0,inf,inf,inf,5.399,5.399
50,TT3,BESTEFFORT,CANCELLED,,0.408,"{'m1-1': 2.413, 'm2-1': 1.335, 'm3-1': 5.743, 'm4-1': 0.75}",0.0,inf,inf,inf,5.6080000000000005,5.6080000000000005
51,TT4,BESTEFFORT,CANCELLED,,0.413,"{'m1-1': 2.219, 'm2-1': 1.568, 'm3-1': 3.853, 'm4-1': 0.827}",0.0,inf,inf,inf,5.413,5.413
52,TT1,BESTEFFORT,CANCELLED,,0.416,"{'m1-1': 2.108, 'm2-1': 1.447, 'm3-1': 3.877, 'm4-1': 0.811}",0.0,inf,inf,inf,5.416,5.416
53,TT2,BESTEFFORT,CANCELLED,,0.418,"{'m1-1': 2.134, 'm2-1': 2.063, 'm3-1': 4.038, 'm4-1': 0.773}",0.0,inf,inf,inf,5.518,5.518
54,TT4,BESTEFFORT,CANCELLED,,0.433,"{'m1-1': 1.779, 'm2-1': 1.764, 'm3-1': 4.976, 'm4-1': 0.775}",0.0,inf,inf,inf,5.433,5.433
55,TT3,BESTEFFORT,CANCELLED,,0.435,"{'m1-1': 1.985, 'm2-1': 1.655, 'm3-1': 5.743, 'm4-1': 0.823}",0.0,inf,inf,inf,5.635,5.635
56,TT4,BESTEFFORT,CANCELLED,,0.467,"{'m1-1': 2.442, 'm2-1': 1.529, 'm3-1': 4.873, 'm4-1': 0.945}",0.0,inf,inf,inf,5.467,5.467
57,TT4,BESTEFFORT,CANCELLED,,0.478,"{'m1-1': 1.957, 'm2-1': 1.381, 'm3-1': 4.409, 'm4-1': 0.891}",0.0,inf,inf,inf,5.478,5.478
58,TT3,BESTEFFORT,CANCELLED,,0.485,"{'m1-1': 1.811, 'm2-1': 1.78, 'm3-1': 4.864, 'm4-1': 0.74}",0.0,inf,inf,inf,5.6850000000000005,5.6850000000000005
59,TT4,BESTEFFORT,CANCELLED,,0.49,"{'m1-1': 2.271, 'm2-1': 1.446, 'm3-1': 5.089, 'm4-1': 0.772}",0.0,inf,inf,inf,5.49,5.49
60,TT2,BESTEFFORT,CANCELLED,,0.497,"{'m1-1': 2.197, 'm2-1': 2.082, 'm3-1': 4.149, 'm4-1': 0.863}",0.0,inf,inf,inf,5.5969999999999995,5.5969999999999995
61,TT2,BESTEFFORT,CANCELLED,,0.507,"{'m1-1': 2.604, 'm2-1': 1.684, 'm3-1': 3.703, 'm4-1': 0.747}",0.0,inf,inf,inf,5.606999999999999,5.606999999999999
62,TT3,BESTEFFORT,CANCELLED,,0.53,"{'m1-1': 2.124, 'm2-1': 1.578, 'm3-1': 5.621, 'm4-1': 0.774}",0.0,inf,inf,inf,5.73,5.73
63,TT3,BESTEFFORT,CANCELLED,,0.548,"{'m1-1': 2.194, 'm2-1': 1.385, 'm3-1': 5.616, 'm4-1': 0.75}",0.0,inf,inf,inf,5.748,5.748
64,TT1,BESTEFFORT,CANCELLED,,0.552,"{'m1-1': 2.185, 'm2-1': 1.859, 'm3-1': 3.944, 'm4-1': 0.728}",0.0,inf,inf,inf,5.552,5.552
65,TT4,BESTEFFORT,CANCELLED,,0.592,"{'m1-1': 2.326, 'm2-1': 1.397, 'm3-1': 3.75, 'm4-1': 0.82}",0.0,inf,inf,inf,5.592,5.592
66,TT3,BESTEFFORT,CANCELLED,,0.6,"{'m1-1': 2.069, 'm2-1': 1.681, 'm3-1': 5.474, 'm4-1': 0.757}",0.0,inf,inf,inf,5.8,5.8
67,TT1,BESTEFFORT,CANCELLED,,0.602,"{'m1-1': 2.324, 'm2-1': 1.545, 'm3-1': 3.941, 'm4-1': 0.863}",0.0,inf,inf,inf,5.602,5.602
68,TT4,BESTEFFORT,CANCELLED,,0.608,"{'m1-1': 2.008, 'm2-1': 1.715, 'm3-1': 4.602, 'm4-1': 1.06}",0.0,inf,inf,inf,5.608,5.608
69,TT2,BESTEFFORT,CANCELLED,,0.609,"{'m1-1': 2.37, 'm2-1': 1.881, 'm3-1': 4.433, 'm4-1': 0.997}",0.0,inf,inf,inf,5.709,5.709
70,TT2,BESTEFFORT,CANCELLED,,0.61,"{'m1-1': 2.428, 'm2-1': 1.664, 'm3-1': 4.975, 'm4-1': 0.948}",0.0,inf,inf,inf,5.71,5.71
71,TT1,BESTEFFORT,CANCELLED,,0.629,"{'m1-1': 2.162, 'm2-1': 1.79, 'm3-1': 4.901, 'm4-1': 0.639}",0.0,inf,inf,inf,5.629,5.629
72,TT2,BESTEFFORT,CANCELLED,,0.634,"{'m1-1': 1.892, 'm2-1': 2.042, 'm3-1': 3.662, 'm4-1': 1.002}",0.0,inf,inf,inf,5.734,5.734
73,TT2,BESTEFFORT,CANCELLED,,0.642,"{'m1-1': 2.252, 'm2-1': 1.946, 'm3-1': 4.729, 'm4-1': 0.997}",0.0,inf,inf,inf,5.742,5.742
74,TT4,BESTEFFORT,CANCELLED,,0.651,"{'m1-1': 2.031, 'm2-1': 1.893, 'm3-1': 4.917, 'm4-1': 0.988}",0.0,inf,inf,inf,5.651,5.651
75,TT2,BESTEFFORT,CANCELLED,,0.657,"{'m1-1': 2.043, 'm2-1': 2.039, 'm3-1': 3.978, 'm4-1': 0.92}",0.0,inf,inf,inf,5.757,5.757
76,TT3,BESTEFFORT,CANCELLED,,0.663,"{'m1-1': 2.147, 'm2-1': 1.345, 'm3-1': 5.809, 'm4-1': 0.946}",0.0,inf,inf,inf,5.863,5.863
77,TT2,BESTEFFORT,CANCELLED,,0.666,"{'m1-1': 2.045, 'm2-1': 2.047, 'm3-1': 4.98, 'm4-1': 0.753}",0.0,inf,inf,inf,5.766,5.766
78,TT2,BESTEFFORT,CANCELLED,,0.668,"{'m1-1': 2.408, 'm2-1': 1.571, 'm3-1': 4.255, 'm4-1': 0.873}",0.0,inf,inf,inf,5.768,5.768
79,TT4,BESTEFFORT,CANCELLED,,0.669,"{'m1-1': 2.357, 'm2-1': 1.577, 'm3-1': 4.896, 'm4-1': 0.792}",0.0,inf,inf,inf,5.6690000000000005,5.6690000000000005
80,TT1,BESTEFFORT,CANCELLED,,0.683,"{'m1-1': 2.068, 'm2-1': 1.585, 'm3-1': 3.748, 'm4-1': 0.751}",0.0,inf,inf,inf,5.683,5.683
81,TT1,BESTEFFORT,CANCELLED,,0.689,"{'m1-1': 2.482, 'm2-1': 1.822, 'm3-1': 4.186, 'm4-1': 0.72}",0.0,inf,inf,inf,5.689,5.689
82,TT4,BESTEFFORT,CANCELLED,,0.701,"{'m1-1': 1.911, 'm2-1': 1.86, 'm3-1': 4.472, 'm4-1': 0.811}",0.0,inf,inf,inf,5.701,5.701
83,TT1,BESTEFFORT,CANCELLED,,0.708,"{'m1-1': 2.305, 'm2-1': 1.647, 'm3-1': 4.25, 'm4-1': 0.793}",0.0,inf,inf,inf,5.708,5.708
84,TT3,BESTEFFORT,CANCELLED,,0.714,"{'m1-1': 2.322, 'm2-1': 1.427, 'm3-1': 4.662, 'm4-1': 0.737}",0.0,inf,inf,inf,5.914,5.914
85,TT1,BESTEFFORT,COMPLETED,m4-1,0.748,"{'m1-1': 2.231, 'm2-1': 1.841, 'm3-1': 4.083, 'm4-1': 0.843}",1.2645,3.155,3.9979999999999998,inf,5.748,5.748
86,TT2,BESTEFFORT,CANCELLED,,0.753,"{'m1-1': 2.024, 'm2-1': 1.749, 'm3-1': 3.68, 'm4-1': 0.961}",0.0,inf,inf,inf,5.853,5.853
87,TT3,BESTEFFORT,CANCELLED,,0.771,"{'m1-1': 1.94, 'm2-1': 1.477, 'm3-1': 5.41, 'm4-1': 0.733}",0.0,inf,inf,inf,5.971,5.971
88,TT3,BESTEFFORT,CANCELLED,,0.789,"{'m1-1': 2.294, 'm2-1': 1.384, 'm3-1': 5.826, 'm4-1': 0.834}",0.0,inf,inf,inf,5.989,5.989
89,TT2,BESTEFFORT,CANCELLED,,0.794,"{'m1-1': 1.883, 'm2-1': 1.52, 'm3-1': 4.756, 'm4-1': 0.859}",0.0,inf,inf,inf,5.894,5.894
90,TT3,BESTEFFORT,CANCELLED,,0.807,"{'m1-1': 1.84, 'm2-1': 1.748, 'm3-1': 4.901, 'm4-1': 0.785}",0.0,inf,inf,inf,6.007000000000001,6.007000000000001
91,TT4,BESTEFFORT,CANCELLED,,0.81,"{'m1-1': 2.062, 'm2-1': 1.626, 'm3-1': 3.713, 'm4-1': 1.021}",0.0,inf,inf,inf,5.8100000000000005,5.8100000000000005
92,TT1,BESTEFFORT,CANCELLED,,0.821,"{'m1-1': 1.907, 'm2-1': 1.515, 'm3-1': 3.783, 'm4-1': 0.787}",0.0,inf,inf,inf,5.821,5.821
93,TT2,BESTEFFORT,CANCELLED,,0.825,"{'m1-1': 2.447, 'm2-1': 1.529, 'm3-1': 4.029, 'm4-1': 0.987}",0.0,inf,inf,inf,5.925,5.925
94,TT4,BESTEFFORT,CANCELLED,,0.827,"{'m1-1': 2.275, 'm2-1': 1.796, 'm3-1': 4.88, 'm4-1': 0.954}",0.0,inf,inf,inf,5.827,5.827
95,TT4,BESTEFFORT,CANCELLED,,0.832,"{'m1-1': 2.121, 'm2-1': 1.799, 'm3-1': 4.066, 'm4-1': 0.802}",0.0,inf,inf,inf,5.832,5.832
96,TT3,BESTEFFORT,CANCELLED,,0.834,"{'m1-1': 2.028, 'm2-1': 1.326, 'm3-1': 5.229, 'm4-1': 0.806}",0.0,inf,inf,inf,6.034,6.034
97,TT3,BESTEFFORT,CANCELLED,,0.849,"{'m1-1': 2.018, 'm2-1': 1.583, 'm3-1': 5.073, 'm4-1': 0.753}",0.0,inf,inf,inf,6.049,6.049
98,TT2,BESTEFFORT,CANCELLED,,0.854,"{'m1-1': 2.529, 'm2-1': 2.025, 'm3-1': 4.383, 'm4-1': 0.926}",0.0,inf,inf,inf,5.954,5.954
99,TT2,BESTEFFORT,CANCELLED,,0.864,"{'m1-1': 1.908, 'm2-1': 1.732, 'm3-1': 4.419, 'm4-1': 0.743}",0.0,inf,inf,inf,5.9639999999999995,5.9639999999999995
100,TT3,BESTEFFORT,CANCELLED,,0.869,"{'m1-1': 2.188, 'm2-1': 1.581, 'm3-1': 5.338, 'm4-1': 0.731}",0.0,inf,inf,inf,6.069,6.069
101,TT4,BESTEFFORT,CANCELLED,,0.871,"{'m1-1': 2.414, 'm2-1': 1.819, 'm3-1': 3.774, 'm4-1': 1.015}",0.0,inf,inf,inf,5.871,5.871
102,TT2,BESTEFFORT,CANCELLED,,0.872,"{'m1-1': 1.98, 'm2-1': 1.983, 'm3-1': 4.695, 'm4-1': 0.774}",0.0,inf,inf,inf,5.9719999999999995,5.9719999999999995
103,TT2,BESTEFFORT,CANCELLED,,0.928,"{'m1-1': 2.218, 'm2-1': 2.104, 'm3-1': 3.776, 'm4-1': 0.918}",0.0,inf,inf,inf,6.028,6.028
104,TT3,BESTEFFORT,CANCELLED,,0.951,"{'m1-1': 1.99, 'm2-1': 1.491, 'm3-1': 5.636, 'm4-1': 0.947}",0.0,inf,inf,inf,6.151,6.151
105,TT2,BESTEFFORT,CANCELLED,,0.952,"{'m1-1': 2.272, 'm2-1': 1.985, 'm3-1': 4.56, 'm4-1': 0.849}",0.0,inf,inf,inf,6.052,6.052
106,TT1,BESTEFFORT,CANCELLED,,0.953,"{'m1-1': 2.162, 'm2-1': 1.653, 'm3-1': 4.444, 'm4-1': 0.672}",0.0,inf,inf,inf,5.953,5.953
107,TT3,BESTEFFORT,CANCELLED,,0.958,"{'m1-1': 2.358, 'm2-1': 1.682, 'm3-1': 4.851, 'm4-1': 0.833}",0.0,inf,inf,inf,6.158,6.158
108,TT2,BESTEFFORT,CANCELLED,,0.962,"{'m1-1': 2.503, 'm2-1': 1.904, 'm3-1': 4.611, 'm4-1': 0.736}",0.0,inf,inf,inf,6.061999999999999,6.061999999999999
109,TT1,BESTEFFORT,CANCELLED,,0.975,"{'m1-1': 2.231, 'm2-1': 1.719, 'm3-1': 4.726, 'm4-1': 0.773}",0.0,inf,inf,inf,5.975,5.975
110,TT3,BESTEFFORT,CANCELLED,,0.991,"{'m1-1': 2.087, 'm2-1': 1.285, 'm3-1': 5.051, 'm4-1': 0.919}",0.0,inf,inf,inf,6.191,6.191
