Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,152,1848,0,103,2.45,0.0,2.45,1.2792374999999996,2.8579194444444433,0.05832488662131517
1,2000,145,1855,0,95,2.5,0.0,2.5,1.2393999999999998,2.775303472222226,0.05550606944444452
2,2000,157,1843,0,104,2.65,0.0,2.65,1.058138888888889,2.909734722222197,0.05490065513626787
3,2000,159,1841,0,111,2.4,0.0,2.4,1.2862958333333334,2.823676388888859,0.058826591435184566
4,2000,163,1837,0,111,2.6,0.0,2.6,1.2380430555555555,2.9471986111110864,0.05667689636752089
5,2000,144,1856,0,94,2.5,0.0,2.5,1.1697666666666666,2.7630493055554677,0.055260986111109356
6,2000,167,1833,0,118,2.45,0.0,2.45,1.2188458333333336,2.838165972222239,0.05792175453514773
7,2000,150,1850,0,99,2.55,0.0,2.55,1.135726388888889,2.813691666666652,0.05517042483660101
8,2000,164,1836,0,116,2.4,0.0,2.4,1.3265333333333338,2.88564097222219,0.060117520254628944
9,2000,164,1836,0,115,2.45,0.0,2.45,1.2825986111111112,2.8880138888889,0.05893905895691632
10,2000,164,1836,0,113,2.55,0.0,2.55,1.1631180555555554,2.8573062499999398,0.05602561274509686
11,2000,157,1843,0,103,2.7,0.0,2.7,1.2421027777777776,2.9747333333333343,0.055087654320987674
12,2000,143,1857,0,93,2.5,0.0,2.5,1.1856388888888887,2.7866763888890143,0.055733527777780276
13,2000,157,1843,0,110,2.35,0.0,2.35,1.30745,2.7553604166666523,0.058624689716311754
14,2000,159,1841,0,111,2.4,0.0,2.4,1.4343749999999997,2.9438625000000482,0.06133046875000101
15,2000,162,1838,0,110,2.6,0.0,2.6,1.1194875,2.8855791666666417,0.05549190705128157
16,2000,147,1853,0,96,2.55,0.0,2.55,1.1447569444444445,2.828068749999943,0.05545232843137143
17,2000,137,1863,0,86,2.55,0.0,2.55,1.1800138888888887,2.7774333333333314,0.05445947712418296
18,2000,147,1853,0,98,2.45,0.0,2.45,1.2126305555555559,2.7700631944444973,0.05653190192743872
19,2000,150,1850,0,107,2.15,0.0,2.15,1.4410541666666667,2.7672423611110415,0.06435447351421027
20,2000,136,1864,0,88,2.4,0.0,2.4,1.1861944444444443,2.6844437500000264,0.05592591145833388
21,2000,162,1838,0,112,2.5,0.0,2.5,1.268045833333333,2.8625930555554584,0.05725186111110916
22,2000,158,1842,0,110,2.4,0.0,2.4,1.5459625000000001,3.0042499999999817,0.06258854166666629
23,2000,149,1851,0,95,2.7,0.0,2.7,1.1580236111111113,2.8691479166666847,0.05313236882716082
24,2000,162,1838,0,110,2.6,0.0,2.6,1.2285291666666671,2.8850041666666533,0.0554808493589741
25,2000,155,1845,0,107,2.4,0.0,2.4,1.248223611111111,2.8023048611111485,0.05838135127314893
26,2000,168,1832,0,119,2.45,0.0,2.45,1.3197138888888886,2.903118055555549,0.0592473072562357
27,2000,155,1845,0,103,2.6,0.0,2.6,1.1150930555555556,2.8460388888888826,0.054731517094016975
28,2000,154,1846,0,100,2.7,0.0,2.7,0.9897638888888893,2.7864423611110722,0.05160078446501986
29,2000,157,1843,0,107,2.5,0.0,2.5,1.1651402777777777,2.7966541666666496,0.05593308333333299
