Episode,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,2000,158,1842,0,119,1.95,0.0,1.95,1.4929097222222223,2.85901527777777,0.07330808404558385
1,2000,140,1860,0,102,1.9,0.0,1.9,1.4014208333333336,2.7812874999999875,0.07319177631578913
2,2000,164,1836,0,128,1.7999999999999998,0.0,1.7999999999999998,1.5959083333333333,2.8977402777777823,0.08049278549382728
3,2000,170,1830,0,127,2.15,0.0,2.15,1.299626388888889,2.8251631944444475,0.06570146963824296
4,2000,160,1840,0,118,2.1,0.0,2.1,1.4547555555555556,2.954526388888894,0.07034586640211653
5,2000,162,1838,0,125,1.8499999999999999,0.0,1.8499999999999999,1.4696069444444442,2.7561645833333035,0.07449093468468386
6,2000,171,1829,0,135,1.7999999999999998,0.0,1.7999999999999998,1.6721680555555556,2.8355430555555787,0.07876508487654385
7,2000,126,1874,0,81,2.25,0.0,2.25,1.1701875,2.8219659722221753,0.06271035493827057
8,2000,161,1839,0,117,2.1999999999999997,0.0,2.1999999999999997,1.319,2.889561111111195,0.06567184343434534
9,2000,151,1849,0,111,2.0,0.0,2.0,1.5168861111111112,2.8896763888888772,0.07224190972222194
10,2000,167,1833,0,130,1.8499999999999999,0.0,1.8499999999999999,1.3370347222222223,2.852410416666582,0.07709217342342113
11,2000,154,1846,0,115,1.95,0.0,1.95,1.5346527777777779,2.989917361111111,0.07666454772079771
12,2000,153,1847,0,112,2.0500000000000003,0.0,2.0500000000000003,1.14835,2.8026118055556584,0.0683563855013575
13,2000,164,1836,0,116,2.4,0.0,2.4,0.9630222222222224,2.750402777777822,0.05730005787037129
14,2000,150,1850,0,113,1.8499999999999999,0.0,1.8499999999999999,1.6460736111111114,2.935496527777812,0.07933774399399492
15,2000,157,1843,0,113,2.1999999999999997,0.0,2.1999999999999997,1.3266444444444443,2.880335416666614,0.06546216856060488
16,2000,146,1854,0,108,1.9,0.0,1.9,1.5287750000000002,2.812884027777765,0.07402326388888855
17,2000,133,1867,0,89,2.1999999999999997,0.0,2.1999999999999997,1.2266472222222222,2.76804375000001,0.06291008522727297
18,2000,128,1872,0,80,2.4,0.0,2.4,1.0826125,2.7645562499999414,0.05759492187499878
19,2000,141,1859,0,101,2.0,0.0,2.0,1.4007388888888888,2.765452083333306,0.06913630208333264
20,2000,130,1870,0,94,1.7999999999999998,0.0,1.7999999999999998,1.3624416666666668,2.692180555555625,0.07478279320987848
21,2000,148,1852,0,116,1.6,0.0,1.6,1.5635041666666665,2.862573611110962,0.08945542534721757
22,2000,145,1855,0,104,2.0500000000000003,0.0,2.0500000000000003,1.5906,3.010201388888921,0.07341954607046146
23,2000,159,1841,0,120,1.95,0.0,1.95,1.2320652777777779,2.8643131944444225,0.0734439280626775
24,2000,152,1848,0,109,2.15,0.0,2.15,1.3145625000000005,2.8893979166666797,0.0671953003875972
25,2000,138,1862,0,103,1.7500000000000002,0.0,1.7500000000000002,1.405497222222222,2.8012694444444657,0.08003626984127042
26,2000,156,1844,0,121,1.7500000000000002,0.0,1.7500000000000002,1.5168041666666667,2.902372222222236,0.08292492063492099
27,2000,143,1857,0,100,2.15,0.0,2.15,1.4535791666666669,2.849363888888926,0.06626427648578898
28,2000,145,1855,0,115,1.5,0.0,1.5,1.6096763888888883,2.7905999999999773,0.09301999999999924
29,2000,173,1827,0,132,2.0500000000000003,0.0,2.0500000000000003,1.2684138888888885,2.796785416666631,0.06821427845528368
