id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T1,BESTEFFORT,COMPLETED,m1-1,1.044,"{'m1-1': 0.932, 'm2-1': 7.008, 'm3-1': 1.863}",93.2,1.044,1.976,inf,51.044,51.044
1,T1,BESTEFFORT,COMPLETED,m2-1,3.135,"{'m1-1': 1.004, 'm2-1': 7.086, 'm3-1': 2.097}",2125.8,3.135,10.221,inf,53.135,53.135
2,T1,BESTEFFORT,COMPLETED,m3-1,3.63,"{'m1-1': 0.986, 'm2-1': 6.58, 'm3-1': 2.145}",21.45,3.63,5.775,inf,53.63,53.63
3,T1,BESTEFFORT,COMPLETED,m1-1,4.447,"{'m1-1': 1.07, 'm2-1': 6.998, 'm3-1': 1.878}",107.0,4.447,5.517,inf,54.447,54.447
4,T2,BESTEFFORT,COMPLETED,m2-1,5.739,"{'m1-1': 2.003, 'm2-1': 4.2, 'm3-1': 3.051}",1260.0,10.221,14.421,inf,55.739,55.739
5,T2,BESTEFFORT,COMPLETED,m3-1,7.75,"{'m1-1': 2.059, 'm2-1': 4.209, 'm3-1': 3.022}",30.22,7.75,10.772,inf,57.75,57.75
6,T2,BESTEFFORT,COMPLETED,m1-1,9.514,"{'m1-1': 1.972, 'm2-1': 4.324, 'm3-1': 3.002}",197.2,9.514,11.485999999999999,inf,59.513999999999996,59.513999999999996
7,T1,BESTEFFORT,COMPLETED,m2-1,9.621,"{'m1-1': 0.933, 'm2-1': 6.437, 'm3-1': 2.098}",1931.1000000000001,14.421,20.858,inf,59.621,59.621
8,T2,BESTEFFORT,COMPLETED,m3-1,16.066,"{'m1-1': 1.94, 'm2-1': 4.08, 'm3-1': 2.784}",27.839999999999996,16.066,18.849999999999998,inf,66.066,66.066
9,T2,BESTEFFORT,COMPLETED,m1-1,29.842,"{'m1-1': 2.066, 'm2-1': 3.833, 'm3-1': 3.028}",206.6,29.842,31.907999999999998,inf,79.842,79.842
10,T2,BESTEFFORT,COMPLETED,m2-1,31.776,"{'m1-1': 2.079, 'm2-1': 3.966, 'm3-1': 3.201}",1189.8,31.776,35.742,inf,81.776,81.776
11,T2,BESTEFFORT,COMPLETED,m3-1,31.783,"{'m1-1': 1.97, 'm2-1': 3.819, 'm3-1': 3.116}",31.16,31.783,34.899,inf,81.783,81.783
