id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T3,BESTEFFORT,COMPLETED,m6-1,0.438,"{'m1-1': 27.96, 'm2-1': 109.8, 'm3-1': 110.58, 'm4-1': 27.58, 'm5-1': 5.88, 'm6-1': 0.96, 'm7-1': 106.22, 'm8-1': 25.48}",1.44,0.438,1.398,inf,110.438,110.438
1,T9,BESTEFFORT,COMPLETED,m6-1,0.937,"{'m1-1': 27.87, 'm2-1': 102.41, 'm3-1': 105.82, 'm4-1': 25.68, 'm5-1': 4.84, 'm6-1': 1.04, 'm7-1': 99.84, 'm8-1': 26.83}",1.56,1.398,2.4379999999999997,inf,110.937,110.937
2,T3,BESTEFFORT,COMPLETED,m6-1,1.213,"{'m1-1': 28.54, 'm2-1': 112.06, 'm3-1': 106.0, 'm4-1': 28.89, 'm5-1': 5.9, 'm6-1': 1.05, 'm7-1': 113.1, 'm8-1': 24.11}",1.5750000000000002,2.4379999999999997,3.4879999999999995,inf,111.213,111.213
3,T2,BESTEFFORT,COMPLETED,m6-1,1.502,"{'m1-1': 25.77, 'm2-1': 114.71, 'm3-1': 108.95, 'm4-1': 28.59, 'm5-1': 5.43, 'm6-1': 1.03, 'm7-1': 108.97, 'm8-1': 25.96}",1.545,3.4879999999999995,4.518,inf,111.502,111.502
4,T7,BESTEFFORT,COMPLETED,m6-1,1.838,"{'m1-1': 24.88, 'm2-1': 113.09, 'm3-1': 98.25, 'm4-1': 28.74, 'm5-1': 5.27, 'm6-1': 1.14, 'm7-1': 96.62, 'm8-1': 25.13}",1.71,4.518,5.6579999999999995,inf,111.838,111.838
5,T9,BESTEFFORT,COMPLETED,m5-1,2.163,"{'m1-1': 25.78, 'm2-1': 116.72, 'm3-1': 102.97, 'm4-1': 25.94, 'm5-1': 5.27, 'm6-1': 0.98, 'm7-1': 104.75, 'm8-1': 27.11}",7.904999999999999,2.163,7.433,inf,112.163,112.163
6,T2,BESTEFFORT,COMPLETED,m6-1,2.448,"{'m1-1': 26.23, 'm2-1': 100.25, 'm3-1': 108.38, 'm4-1': 25.6, 'm5-1': 5.21, 'm6-1': 1.1, 'm7-1': 105.78, 'm8-1': 27.2}",1.6500000000000001,5.6579999999999995,6.757999999999999,inf,112.448,112.448
7,T5,BESTEFFORT,COMPLETED,m6-1,6.311,"{'m1-1': 25.67, 'm2-1': 102.59, 'm3-1': 96.07, 'm4-1': 24.0, 'm5-1': 5.11, 'm6-1': 1.11, 'm7-1': 106.75, 'm8-1': 25.52}",1.665,6.757999999999999,7.867999999999999,inf,116.311,116.311
8,T5,BESTEFFORT,COMPLETED,m6-1,6.431,"{'m1-1': 28.3, 'm2-1': 100.7, 'm3-1': 109.09, 'm4-1': 25.14, 'm5-1': 5.79, 'm6-1': 1.03, 'm7-1': 105.33, 'm8-1': 26.47}",1.545,7.867999999999999,8.898,inf,116.431,116.431
9,T10,BESTEFFORT,COMPLETED,m6-1,6.458,"{'m1-1': 28.74, 'm2-1': 99.64, 'm3-1': 107.78, 'm4-1': 27.5, 'm5-1': 4.98, 'm6-1': 0.99, 'm7-1': 109.76, 'm8-1': 25.2}",1.4849999999999999,8.898,9.888,inf,116.458,116.458
10,T5,BESTEFFORT,COMPLETED,m5-1,6.687,"{'m1-1': 28.3, 'm2-1': 108.39, 'm3-1': 92.02, 'm4-1': 28.29, 'm5-1': 5.66, 'm6-1': 1.16, 'm7-1': 93.47, 'm8-1': 29.13}",8.49,7.433,13.093,inf,116.687,116.687
11,T1,BESTEFFORT,COMPLETED,m6-1,6.972,"{'m1-1': 25.9, 'm2-1': 111.86, 'm3-1': 104.13, 'm4-1': 24.58, 'm5-1': 5.25, 'm6-1': 0.93, 'm7-1': 108.87, 'm8-1': 25.15}",1.395,9.888,10.818,inf,116.972,116.972
12,T10,BESTEFFORT,COMPLETED,m5-1,7.555,"{'m1-1': 25.51, 'm2-1': 103.98, 'm3-1': 100.34, 'm4-1': 27.85, 'm5-1': 5.34, 'm6-1': 1.05, 'm7-1': 102.92, 'm8-1': 26.74}",8.01,13.093,18.433,inf,117.555,117.555
13,T2,BESTEFFORT,COMPLETED,m6-1,8.743,"{'m1-1': 29.17, 'm2-1': 111.04, 'm3-1': 106.22, 'm4-1': 26.06, 'm5-1': 5.35, 'm6-1': 1.03, 'm7-1': 104.35, 'm8-1': 27.04}",1.545,10.818,11.847999999999999,inf,118.743,118.743
14,T9,BESTEFFORT,COMPLETED,m6-1,9.476,"{'m1-1': 27.93, 'm2-1': 117.47, 'm3-1': 104.24, 'm4-1': 28.37, 'm5-1': 4.66, 'm6-1': 1.05, 'm7-1': 112.48, 'm8-1': 26.55}",1.5750000000000002,11.847999999999999,12.898,inf,119.476,119.476
15,T5,BESTEFFORT,COMPLETED,m6-1,14.771,"{'m1-1': 27.13, 'm2-1': 101.3, 'm3-1': 101.16, 'm4-1': 26.7, 'm5-1': 5.01, 'm6-1': 1.15, 'm7-1': 103.44, 'm8-1': 27.6}",1.7249999999999999,14.771,15.921000000000001,inf,124.771,124.771
16,T6,BESTEFFORT,COMPLETED,m6-1,14.929,"{'m1-1': 27.91, 'm2-1': 113.22, 'm3-1': 103.59, 'm4-1': 26.85, 'm5-1': 5.68, 'm6-1': 0.95, 'm7-1': 107.21, 'm8-1': 27.21}",1.4249999999999998,15.921000000000001,16.871000000000002,inf,124.929,124.929
17,T2,BESTEFFORT,COMPLETED,m6-1,15.459,"{'m1-1': 25.26, 'm2-1': 110.61, 'm3-1': 118.37, 'm4-1': 27.21, 'm5-1': 4.98, 'm6-1': 1.0, 'm7-1': 105.8, 'm8-1': 25.54}",1.5,16.871000000000002,17.871000000000002,inf,125.459,125.459
18,T9,BESTEFFORT,COMPLETED,m6-1,16.028,"{'m1-1': 25.02, 'm2-1': 108.13, 'm3-1': 107.39, 'm4-1': 26.78, 'm5-1': 4.78, 'm6-1': 1.06, 'm7-1': 107.34, 'm8-1': 24.7}",1.59,17.871000000000002,18.931,inf,126.02799999999999,126.02799999999999
19,T2,BESTEFFORT,COMPLETED,m6-1,17.896,"{'m1-1': 26.52, 'm2-1': 106.34, 'm3-1': 104.88, 'm4-1': 28.93, 'm5-1': 5.29, 'm6-1': 1.06, 'm7-1': 103.57, 'm8-1': 28.42}",1.59,18.931,19.991,inf,127.896,127.896
20,T2,BESTEFFORT,COMPLETED,m6-1,18.991,"{'m1-1': 25.56, 'm2-1': 113.86, 'm3-1': 104.23, 'm4-1': 25.95, 'm5-1': 5.17, 'm6-1': 1.18, 'm7-1': 102.17, 'm8-1': 24.63}",1.77,19.991,21.171,inf,128.99099999999999,128.99099999999999
21,T2,BESTEFFORT,COMPLETED,m6-1,20.458,"{'m1-1': 28.02, 'm2-1': 100.54, 'm3-1': 111.72, 'm4-1': 28.24, 'm5-1': 4.74, 'm6-1': 1.05, 'm7-1': 105.36, 'm8-1': 26.99}",1.5750000000000002,21.171,22.221,inf,130.458,130.458
22,T5,BESTEFFORT,COMPLETED,m6-1,20.569,"{'m1-1': 25.68, 'm2-1': 95.25, 'm3-1': 106.3, 'm4-1': 24.46, 'm5-1': 5.72, 'm6-1': 1.06, 'm7-1': 103.16, 'm8-1': 28.87}",1.59,22.221,23.281,inf,130.569,130.569
23,T4,BESTEFFORT,COMPLETED,m6-1,22.405,"{'m1-1': 23.78, 'm2-1': 99.48, 'm3-1': 97.73, 'm4-1': 26.19, 'm5-1': 5.24, 'm6-1': 0.96, 'm7-1': 103.77, 'm8-1': 26.01}",1.44,23.281,24.241,inf,132.405,132.405
24,T10,BESTEFFORT,COMPLETED,m6-1,24.373,"{'m1-1': 29.45, 'm2-1': 109.81, 'm3-1': 95.04, 'm4-1': 28.33, 'm5-1': 5.27, 'm6-1': 1.15, 'm7-1': 104.32, 'm8-1': 25.78}",1.7249999999999999,24.373,25.523,inf,134.373,134.373
25,T6,BESTEFFORT,COMPLETED,m6-1,25.631,"{'m1-1': 25.23, 'm2-1': 102.13, 'm3-1': 108.25, 'm4-1': 26.91, 'm5-1': 5.04, 'm6-1': 0.93, 'm7-1': 108.46, 'm8-1': 25.41}",1.395,25.631,26.561,inf,135.631,135.631
26,T8,BESTEFFORT,COMPLETED,m6-1,25.792,"{'m1-1': 25.48, 'm2-1': 107.57, 'm3-1': 109.51, 'm4-1': 27.39, 'm5-1': 5.06, 'm6-1': 1.13, 'm7-1': 100.41, 'm8-1': 24.83}",1.6949999999999998,26.561,27.691,inf,135.792,135.792
27,T2,BESTEFFORT,COMPLETED,m6-1,25.936,"{'m1-1': 25.27, 'm2-1': 112.19, 'm3-1': 108.16, 'm4-1': 26.97, 'm5-1': 5.3, 'm6-1': 1.02, 'm7-1': 100.9, 'm8-1': 26.92}",1.53,27.691,28.711,inf,135.936,135.936
28,T1,BESTEFFORT,COMPLETED,m6-1,28.52,"{'m1-1': 26.61, 'm2-1': 114.41, 'm3-1': 99.15, 'm4-1': 26.48, 'm5-1': 4.78, 'm6-1': 1.03, 'm7-1': 107.16, 'm8-1': 25.5}",1.545,28.711,29.741,inf,138.52,138.52
29,T6,BESTEFFORT,COMPLETED,m6-1,32.184,"{'m1-1': 26.4, 'm2-1': 117.55, 'm3-1': 100.73, 'm4-1': 26.05, 'm5-1': 5.51, 'm6-1': 0.94, 'm7-1': 97.03, 'm8-1': 25.27}",1.41,32.184,33.123999999999995,inf,142.184,142.184
30,T6,BESTEFFORT,COMPLETED,m6-1,32.826,"{'m1-1': 26.48, 'm2-1': 111.78, 'm3-1': 109.5, 'm4-1': 27.72, 'm5-1': 5.2, 'm6-1': 1.07, 'm7-1': 100.88, 'm8-1': 23.81}",1.605,33.123999999999995,34.193999999999996,inf,142.826,142.826
