workload_id,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0969920277801188,0.0010969920277801187
1,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0974727500024244,0.0010974727500024247
2,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.093377944445658,0.001093377944445658
3,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0863057777796348,0.0010863057777796346
4,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.078733388890687,0.001078733388890687
5,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.1125360833337214,0.0011125360833337216
6,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0962730277788553,0.0010962730277788552
7,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.1028112777801775,0.0011028112777801773
8,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0856653611131253,0.001085665361113125
9,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0858558055551515,0.0010858558055551516
10,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0945866944437632,0.0010945866944437634
11,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0825449444460455,0.0010825449444460456
12,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.103331694444593,0.001103331694444593
13,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.1101113055580611,0.0011101113055580613
14,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0897705000014686,0.0010897705000014683
15,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.096400305556583,0.0010964003055565828
16,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.099942944444952,0.001099942944444952
17,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.107183166669258,0.001107183166669258
18,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.084054444446374,0.001084054444446374
19,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.1013545555572395,0.0011013545555572392
20,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0944386388907312,0.0010944386388907312
21,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0952341111115431,0.0010952341111115432
22,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0921542777764586,0.0010921542777764584
23,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0830778611119443,0.0010830778611119441
24,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.080616611110842,0.0010806166111108418
25,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0876444166696941,0.0010876444166696942
26,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.1148274722241656,0.0011148274722241652
27,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0802294166678943,0.0010802294166678945
28,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.076505777779045,0.001076505777779045
29,1000,1000,0,0,0,100.0,0.0,100.0,0.0,1.0947456111133862,0.001094745611113386
