id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T6,BESTEFFORT,COMPLETED,m2-1,0.425,"{'m1-1': 28.36, 'm2-1': 10.03, 'm3-1': 113.76, 'm4-1': 95.07, 'm5-1': 141.94, 'm6-1': 26.99, 'm7-1': 98.02, 'm8-1': 108.41}",15.044999999999998,0.425,10.455,inf,110.425,110.425
1,T2,BESTEFFORT,COMPLETED,m2-1,0.718,"{'m1-1': 25.33, 'm2-1': 9.38, 'm3-1': 104.52, 'm4-1': 108.6, 'm5-1': 160.11, 'm6-1': 24.96, 'm7-1': 105.64, 'm8-1': 107.84}",14.07,10.455,19.835,inf,110.718,110.718
2,T7,BESTEFFORT,COMPLETED,m1-1,0.741,"{'m1-1': 25.81, 'm2-1': 10.88, 'm3-1': 99.11, 'm4-1': 113.31, 'm5-1': 147.0, 'm6-1': 25.01, 'm7-1': 100.37, 'm8-1': 111.95}",38.714999999999996,0.741,26.551,inf,110.741,110.741
3,T9,BESTEFFORT,COMPLETED,m6-1,0.76,"{'m1-1': 25.15, 'm2-1': 10.5, 'm3-1': 113.53, 'm4-1': 98.17, 'm5-1': 165.98, 'm6-1': 24.72, 'm7-1': 110.65, 'm8-1': 114.12}",37.08,0.76,25.48,inf,110.76,110.76
4,T4,BESTEFFORT,COMPLETED,m2-1,0.797,"{'m1-1': 25.24, 'm2-1': 11.37, 'm3-1': 103.31, 'm4-1': 107.89, 'm5-1': 167.04, 'm6-1': 26.91, 'm7-1': 111.46, 'm8-1': 116.34}",17.055,19.835,31.205,inf,110.797,110.797
5,T5,BESTEFFORT,COMPLETED,m2-1,2.501,"{'m1-1': 26.46, 'm2-1': 10.2, 'm3-1': 92.86, 'm4-1': 104.77, 'm5-1': 161.85, 'm6-1': 24.68, 'm7-1': 99.64, 'm8-1': 108.75}",15.299999999999999,31.205,41.405,inf,112.501,112.501
6,T4,BESTEFFORT,COMPLETED,m1-1,2.924,"{'m1-1': 25.97, 'm2-1': 10.72, 'm3-1': 96.5, 'm4-1': 112.09, 'm5-1': 151.21, 'm6-1': 23.68, 'm7-1': 106.46, 'm8-1': 99.36}",38.955,26.551,52.521,inf,112.924,112.924
7,T4,BESTEFFORT,COMPLETED,m6-1,4.648,"{'m1-1': 26.06, 'm2-1': 10.46, 'm3-1': 91.84, 'm4-1': 96.29, 'm5-1': 161.96, 'm6-1': 26.84, 'm7-1': 111.37, 'm8-1': 112.06}",40.26,25.48,52.32,inf,114.648,114.648
8,T6,BESTEFFORT,COMPLETED,m6-1,5.556,"{'m1-1': 27.42, 'm2-1': 10.91, 'm3-1': 107.22, 'm4-1': 95.13, 'm5-1': 157.69, 'm6-1': 24.91, 'm7-1': 109.11, 'm8-1': 93.15}",37.365,52.32,77.23,inf,115.556,115.556
9,T5,BESTEFFORT,COMPLETED,m1-1,6.833,"{'m1-1': 24.12, 'm2-1': 10.52, 'm3-1': 92.76, 'm4-1': 108.76, 'm5-1': 150.34, 'm6-1': 28.48, 'm7-1': 103.14, 'm8-1': 97.09}",36.18,52.521,76.641,inf,116.833,116.833
10,T8,BESTEFFORT,COMPLETED,m7-1,8.64,"{'m1-1': 25.29, 'm2-1': 10.94, 'm3-1': 99.86, 'm4-1': 108.8, 'm5-1': 157.32, 'm6-1': 25.85, 'm7-1': 91.7, 'm8-1': 117.07}",137.55,8.64,100.34,inf,118.64,118.64
11,T4,BESTEFFORT,COMPLETED,m1-1,9.027,"{'m1-1': 25.68, 'm2-1': 11.33, 'm3-1': 97.62, 'm4-1': 108.47, 'm5-1': 155.5, 'm6-1': 24.11, 'm7-1': 104.98, 'm8-1': 110.15}",38.519999999999996,76.641,102.321,inf,119.027,119.027
12,T6,BESTEFFORT,COMPLETED,m6-1,9.731,"{'m1-1': 26.08, 'm2-1': 9.9, 'm3-1': 109.09, 'm4-1': 107.24, 'm5-1': 160.52, 'm6-1': 26.3, 'm7-1': 109.35, 'm8-1': 103.61}",39.45,77.23,103.53,inf,119.731,119.731
