workload_id,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,1000,1000,0,0,910,9.0,0.0,9.0,6.656635000000001,7.871837222222173,0.08746485802469083
1,1000,1000,0,0,924,7.6,0.0,7.6,6.497195833333332,7.677380499999999,0.1010181644736842
2,1000,1000,0,0,912,8.799999999999999,0.0,8.799999999999999,6.516607500000002,7.839439999999967,0.08908454545454508
3,1000,1000,0,0,913,8.7,0.0,8.7,6.594708333333334,7.891307972222615,0.09070468933589212
4,1000,1000,0,0,912,8.799999999999999,0.0,8.799999999999999,6.614018333333332,7.817308916666709,0.08883305587121262
5,1000,1000,0,0,907,9.3,0.0,9.3,7.073629166666666,8.364871249999737,0.08994485215053481
6,1000,1000,0,0,912,8.799999999999999,0.0,8.799999999999999,6.530750000000002,7.901880388888838,0.08979409532828227
7,1000,1000,0,0,909,9.1,0.0,9.1,6.609901666666667,7.977415527777759,0.0876639068986567
8,1000,1000,0,0,913,8.7,0.0,8.7,6.799424166666665,7.934957749999998,0.09120641091954021
9,1000,1000,0,0,923,7.7,0.0,7.7,6.7897516666666675,7.94281311111101,0.10315341702741572
10,1000,1000,0,0,912,8.799999999999999,0.0,8.799999999999999,6.682849166666667,7.991187611111171,0.09080895012626333
11,1000,1000,0,0,916,8.4,0.0,8.4,6.726920833333333,7.880176833333405,0.09381162896825483
12,1000,1000,0,0,907,9.3,0.0,9.3,6.610550000000003,7.867557611111034,0.08459739366786058
13,1000,1000,0,0,901,9.9,0.0,9.9,6.854460000000001,8.263781083333598,0.08347253619528885
14,1000,1000,0,0,922,7.8,0.0,7.8,6.676653333333332,7.800952333333311,0.1000122094017091
15,1000,1000,0,0,906,9.4,0.0,9.4,6.62719,8.00317644444456,0.08514017494089957
16,1000,1000,0,0,919,8.1,0.0,8.1,6.696206666666665,7.771234888889012,0.09594117146776558
17,1000,1000,0,0,898,10.2,0.0,10.2,7.096025833333333,8.589727222222411,0.08421301198257267
18,1000,1000,0,0,920,8.0,0.0,8.0,6.645134999999999,7.88946877777793,0.09861835972222413
19,1000,1000,0,0,904,9.6,0.0,9.6,6.7535300000000005,8.218116527777521,0.08560538049768252
20,1000,1000,0,0,928,7.199999999999999,0.0,7.199999999999999,6.472040833333331,7.615271444444435,0.10576765895061715
21,1000,1000,0,0,915,8.5,0.0,8.5,6.655134166666669,7.926791138888883,0.09325636633986922
22,1000,1000,0,0,919,8.1,0.0,8.1,6.687359166666668,7.862049055555496,0.09706233401920365
23,1000,1000,0,0,921,7.9,0.0,7.9,6.665475833333333,7.764941444444412,0.09829039803094192
24,1000,1000,0,0,925,7.5,0.0,7.5,6.7083475,7.796146694444663,0.1039486225925955
25,1000,1000,0,0,921,7.9,0.0,7.9,6.817385833333331,8.010200888888923,0.10139494796061928
26,1000,1000,0,0,883,11.700000000000001,0.0,11.700000000000001,7.015251666666666,8.719113138888707,0.07452233452041629
27,1000,1000,0,0,924,7.6,0.0,7.6,6.631843333333334,7.790013083333324,0.10250017214912267
28,1000,1000,0,0,922,7.8,0.0,7.8,6.4437816666666645,7.640803472222421,0.09795901887464642
29,1000,1000,0,0,916,8.4,0.0,8.4,6.624803333333331,7.89979825000007,0.09404521726190561
