workload_id,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,1000,432,568,0,85,34.699999999999996,0.0,34.699999999999996,0.1701949999999997,1.438007666666769,0.004144114313160718
1,1000,441,559,0,90,35.099999999999994,0.0,35.099999999999994,0.11321166666666661,1.4040360000001966,0.004000102564103125
2,1000,436,564,0,88,34.8,0.0,34.8,0.14660249999999989,1.4253527777779122,0.00409584131545377
3,1000,439,561,0,86,35.3,0.0,35.3,0.1280433333333333,1.430504888889053,0.004052421781555392
4,1000,428,572,0,86,34.2,0.0,34.2,0.15930083333333325,1.4109283611112104,0.00412552152371699
5,1000,446,554,0,88,35.8,0.0,35.8,0.14419249999999995,1.4669938333333348,0.0040977481378026105
6,1000,432,568,0,81,35.099999999999994,0.0,35.099999999999994,0.14826999999999999,1.428441611111274,0.004069634219690241
7,1000,455,545,0,107,34.8,0.0,34.8,0.16924499999999992,1.4317480277778911,0.004114218470626124
8,1000,438,562,0,87,35.099999999999994,0.0,35.099999999999994,0.11522666666666662,1.4324714166666348,0.00408111514719839
9,1000,448,552,0,92,35.6,0.0,35.6,0.1988508333333334,1.4360610277780022,0.004033879291511242
10,1000,436,564,0,88,34.8,0.0,34.8,0.19436166666666668,1.442579333333415,0.004145342911877629
11,1000,438,562,0,91,34.699999999999996,0.0,34.699999999999996,0.19040833333333335,1.4198244444444168,0.004091713096381605
12,1000,444,556,0,91,35.3,0.0,35.3,0.1726616666666664,1.458001583333486,0.004130316100094861
13,1000,456,544,0,98,35.8,0.0,35.8,0.15056166666666654,1.460182111111321,0.0040787209807578795
14,1000,447,553,0,103,34.4,0.0,34.4,0.21582916666666668,1.4264969722222303,0.004146793523901833
15,1000,433,567,0,85,34.8,0.0,34.8,0.2155458333333333,1.444946750000058,0.0041521458333335
16,1000,433,567,0,84,34.9,0.0,34.9,0.19524916666666672,1.4421423333333545,0.004132212989493853
17,1000,457,543,0,97,36.0,0.0,36.0,0.1967275000000001,1.4718931944444356,0.004088592206790099
18,1000,435,565,0,82,35.3,0.0,35.3,0.15606166666666677,1.4301086666665246,0.004051299338998653
19,1000,426,574,0,64,36.199999999999996,0.0,36.199999999999996,0.10496416666666665,1.4307432500002486,0.00395232941989019
20,1000,424,576,0,78,34.599999999999994,0.0,34.599999999999994,0.1136299999999999,1.3985685000000618,0.004042105491329659
21,1000,442,558,0,94,34.8,0.0,34.8,0.1752516666666668,1.4394404999999744,0.0041363232758619955
22,1000,442,558,0,87,35.5,0.0,35.5,0.15194333333333349,1.426719499999987,0.004018928169014048
23,1000,424,576,0,80,34.4,0.0,34.4,0.1956308333333333,1.4197680000001371,0.004127232558139933
24,1000,431,569,0,79,35.199999999999996,0.0,35.199999999999996,0.1760575000000001,1.433214138888838,0.004071631076388745
25,1000,441,559,0,99,34.2,0.0,34.2,0.2401083333333333,1.4353800833336814,0.004197017787525384
26,1000,444,556,0,72,37.2,0.0,37.2,0.1639733333333333,1.5089352777779277,0.0040562776284352895
27,1000,432,568,0,77,35.5,0.0,35.5,0.13686833333333337,1.4205414722223455,0.004001525273865762
28,1000,423,577,0,75,34.8,0.0,34.8,0.12884749999999998,1.4077909444445362,0.004045376277139472
29,1000,432,568,0,84,34.8,0.0,34.8,0.11037749999999996,1.4158070555555848,0.004068411079182715
