id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T5,BESTEFFORT,COMPLETED,m2-1,0.006,"{'m1-1': 108.3, 'm2-1': 5.57, 'm3-1': 5.76, 'm4-1': 10.15, 'm5-1': 113.68, 'm6-1': 5.12, 'm7-1': 102.89, 'm8-1': 10.07}",8.355,0.006,5.5760000000000005,inf,110.006,110.006
1,T7,BESTEFFORT,COMPLETED,m3-1,0.108,"{'m1-1': 112.08, 'm2-1': 5.5, 'm3-1': 5.25, 'm4-1': 10.43, 'm5-1': 98.15, 'm6-1': 5.41, 'm7-1': 104.12, 'm8-1': 10.54}",7.875,0.108,5.358,inf,110.108,110.108
2,T5,BESTEFFORT,COMPLETED,m2-1,0.305,"{'m1-1': 108.28, 'm2-1': 5.3, 'm3-1': 5.28, 'm4-1': 10.26, 'm5-1': 104.39, 'm6-1': 5.73, 'm7-1': 112.26, 'm8-1': 11.34}",7.949999999999999,5.5760000000000005,10.876000000000001,inf,110.305,110.305
3,T5,BESTEFFORT,COMPLETED,m6-1,0.46,"{'m1-1': 104.98, 'm2-1': 5.7, 'm3-1': 5.78, 'm4-1': 10.41, 'm5-1': 99.1, 'm6-1': 4.99, 'm7-1': 99.22, 'm8-1': 10.56}",7.485,0.46,5.45,inf,110.46,110.46
4,T1,BESTEFFORT,COMPLETED,m3-1,0.611,"{'m1-1': 96.52, 'm2-1': 5.23, 'm3-1': 4.93, 'm4-1': 9.59, 'm5-1': 105.71, 'm6-1': 5.37, 'm7-1': 110.59, 'm8-1': 10.56}",7.395,5.358,10.288,inf,110.611,110.611
5,T5,BESTEFFORT,COMPLETED,m2-1,0.656,"{'m1-1': 97.76, 'm2-1': 5.02, 'm3-1': 5.42, 'm4-1': 10.87, 'm5-1': 110.82, 'm6-1': 5.35, 'm7-1': 103.9, 'm8-1': 11.0}",7.529999999999999,10.876000000000001,15.896,inf,110.656,110.656
6,T3,BESTEFFORT,COMPLETED,m2-1,0.661,"{'m1-1': 108.69, 'm2-1': 5.24, 'm3-1': 5.0, 'm4-1': 10.18, 'm5-1': 104.16, 'm6-1': 4.95, 'm7-1': 97.5, 'm8-1': 10.23}",7.86,15.896,21.136000000000003,inf,110.661,110.661
7,T4,BESTEFFORT,COMPLETED,m2-1,0.678,"{'m1-1': 101.11, 'm2-1': 5.33, 'm3-1': 4.95, 'm4-1': 10.29, 'm5-1': 112.42, 'm6-1': 5.38, 'm7-1': 101.04, 'm8-1': 10.88}",7.995,21.136000000000003,26.466,inf,110.678,110.678
8,T6,BESTEFFORT,COMPLETED,m2-1,0.759,"{'m1-1': 102.87, 'm2-1': 5.21, 'm3-1': 5.78, 'm4-1': 10.0, 'm5-1': 104.5, 'm6-1': 4.67, 'm7-1': 100.34, 'm8-1': 11.29}",7.8149999999999995,26.466,31.676000000000002,inf,110.759,110.759
9,T3,BESTEFFORT,COMPLETED,m3-1,0.99,"{'m1-1': 104.08, 'm2-1': 4.95, 'm3-1': 4.96, 'm4-1': 9.45, 'm5-1': 101.04, 'm6-1': 4.94, 'm7-1': 98.84, 'm8-1': 10.19}",7.4399999999999995,10.288,15.248000000000001,inf,110.99,110.99
10,T8,BESTEFFORT,COMPLETED,m3-1,0.993,"{'m1-1': 97.17, 'm2-1': 4.94, 'm3-1': 5.02, 'm4-1': 9.88, 'm5-1': 110.48, 'm6-1': 5.56, 'm7-1': 111.36, 'm8-1': 10.46}",7.529999999999999,15.248000000000001,20.268,inf,110.993,110.993
11,T5,BESTEFFORT,COMPLETED,m3-1,1.168,"{'m1-1': 110.17, 'm2-1': 5.59, 'm3-1': 5.22, 'm4-1': 9.95, 'm5-1': 108.03, 'm6-1': 5.47, 'm7-1': 113.47, 'm8-1': 11.21}",7.83,20.268,25.488,inf,111.168,111.168
12,T4,BESTEFFORT,COMPLETED,m3-1,1.268,"{'m1-1': 106.64, 'm2-1': 5.54, 'm3-1': 5.25, 'm4-1': 10.02, 'm5-1': 97.63, 'm6-1': 5.59, 'm7-1': 111.69, 'm8-1': 9.85}",7.875,25.488,30.738,inf,111.268,111.268
13,T1,BESTEFFORT,COMPLETED,m6-1,1.447,"{'m1-1': 94.16, 'm2-1': 5.1, 'm3-1': 4.98, 'm4-1': 9.66, 'm5-1': 95.83, 'm6-1': 4.73, 'm7-1': 111.54, 'm8-1': 10.91}",7.095000000000001,5.45,10.18,inf,111.447,111.447
14,T7,BESTEFFORT,COMPLETED,m3-1,1.496,"{'m1-1': 99.34, 'm2-1': 5.53, 'm3-1': 5.41, 'm4-1': 10.64, 'm5-1': 107.94, 'm6-1': 5.33, 'm7-1': 107.76, 'm8-1': 9.57}",8.115,30.738,36.147999999999996,inf,111.496,111.496
15,T4,BESTEFFORT,COMPLETED,m3-1,1.787,"{'m1-1': 115.94, 'm2-1': 5.6, 'm3-1': 4.87, 'm4-1': 9.92, 'm5-1': 102.47, 'm6-1': 5.82, 'm7-1': 107.22, 'm8-1': 10.78}",7.305,36.147999999999996,41.017999999999994,inf,111.787,111.787
16,T5,BESTEFFORT,COMPLETED,m6-1,1.821,"{'m1-1': 104.6, 'm2-1': 5.16, 'm3-1': 5.46, 'm4-1': 10.35, 'm5-1': 105.11, 'm6-1': 5.71, 'm7-1': 109.18, 'm8-1': 10.48}",8.565,10.18,15.89,inf,111.821,111.821
17,T5,BESTEFFORT,COMPLETED,m2-1,1.823,"{'m1-1': 98.22, 'm2-1': 5.15, 'm3-1': 5.18, 'm4-1': 10.78, 'm5-1': 109.3, 'm6-1': 5.65, 'm7-1': 109.68, 'm8-1': 10.56}",7.7250000000000005,31.676000000000002,36.826,inf,111.823,111.823
18,T6,BESTEFFORT,COMPLETED,m2-1,1.966,"{'m1-1': 98.68, 'm2-1': 5.27, 'm3-1': 5.8, 'm4-1': 11.35, 'm5-1': 96.26, 'm6-1': 5.17, 'm7-1': 115.81, 'm8-1': 11.33}",7.904999999999999,36.826,42.096000000000004,inf,111.966,111.966
19,T8,BESTEFFORT,COMPLETED,m2-1,2.01,"{'m1-1': 96.68, 'm2-1': 5.54, 'm3-1': 5.31, 'm4-1': 9.98, 'm5-1': 102.41, 'm6-1': 5.38, 'm7-1': 103.23, 'm8-1': 11.0}",8.31,42.096000000000004,47.636,inf,112.01,112.01
20,T8,BESTEFFORT,COMPLETED,m6-1,2.026,"{'m1-1': 104.79, 'm2-1': 5.21, 'm3-1': 5.36, 'm4-1': 11.49, 'm5-1': 105.66, 'm6-1': 5.31, 'm7-1': 111.21, 'm8-1': 10.86}",7.965,15.89,21.2,inf,112.026,112.026
21,T3,BESTEFFORT,COMPLETED,m3-1,2.06,"{'m1-1': 110.9, 'm2-1': 5.08, 'm3-1': 4.66, 'm4-1': 9.82, 'm5-1': 103.89, 'm6-1': 5.04, 'm7-1': 97.1, 'm8-1': 10.78}",6.99,41.017999999999994,45.678,inf,112.06,112.06
22,T1,BESTEFFORT,COMPLETED,m6-1,2.141,"{'m1-1': 93.66, 'm2-1': 5.18, 'm3-1': 4.67, 'm4-1': 10.12, 'm5-1': 100.66, 'm6-1': 5.48, 'm7-1': 113.87, 'm8-1': 11.62}",8.22,21.2,26.68,inf,112.141,112.141
23,T3,BESTEFFORT,COMPLETED,m6-1,2.185,"{'m1-1': 114.4, 'm2-1': 5.38, 'm3-1': 4.94, 'm4-1': 9.46, 'm5-1': 104.97, 'm6-1': 4.92, 'm7-1': 106.62, 'm8-1': 11.12}",7.38,26.68,31.6,inf,112.185,112.185
24,T4,BESTEFFORT,COMPLETED,m2-1,2.212,"{'m1-1': 104.24, 'm2-1': 5.29, 'm3-1': 5.39, 'm4-1': 11.09, 'm5-1': 100.0, 'm6-1': 5.22, 'm7-1': 97.36, 'm8-1': 10.66}",7.9350000000000005,47.636,52.926,inf,112.212,112.212
25,T8,BESTEFFORT,COMPLETED,m3-1,2.217,"{'m1-1': 96.57, 'm2-1': 5.8, 'm3-1': 5.24, 'm4-1': 11.39, 'm5-1': 100.8, 'm6-1': 5.11, 'm7-1': 112.37, 'm8-1': 10.5}",7.86,45.678,50.918,inf,112.217,112.217
26,T5,BESTEFFORT,COMPLETED,m2-1,2.229,"{'m1-1': 101.37, 'm2-1': 5.42, 'm3-1': 5.38, 'm4-1': 10.65, 'm5-1': 106.37, 'm6-1': 5.4, 'm7-1': 104.34, 'm8-1': 10.26}",8.129999999999999,52.926,58.346000000000004,inf,112.229,112.229
27,T8,BESTEFFORT,COMPLETED,m6-1,2.361,"{'m1-1': 94.79, 'm2-1': 5.66, 'm3-1': 4.93, 'm4-1': 10.37, 'm5-1': 102.81, 'm6-1': 5.53, 'm7-1': 99.45, 'm8-1': 10.94}",8.295,31.6,37.13,inf,112.361,112.361
28,T6,BESTEFFORT,COMPLETED,m2-1,2.464,"{'m1-1': 111.2, 'm2-1': 4.75, 'm3-1': 5.33, 'm4-1': 11.35, 'm5-1': 107.68, 'm6-1': 5.5, 'm7-1': 99.9, 'm8-1': 10.56}",7.125,58.346000000000004,63.096000000000004,inf,112.464,112.464
29,T10,BESTEFFORT,COMPLETED,m3-1,2.702,"{'m1-1': 103.18, 'm2-1': 5.5, 'm3-1': 5.5, 'm4-1': 10.65, 'm5-1': 114.21, 'm6-1': 5.2, 'm7-1': 113.05, 'm8-1': 9.59}",8.25,50.918,56.418,inf,112.702,112.702
30,T8,BESTEFFORT,COMPLETED,m2-1,2.853,"{'m1-1': 111.87, 'm2-1': 5.19, 'm3-1': 5.46, 'm4-1': 10.81, 'm5-1': 108.22, 'm6-1': 5.26, 'm7-1': 113.34, 'm8-1': 10.46}",7.785,63.096000000000004,68.286,inf,112.853,112.853
31,T3,BESTEFFORT,COMPLETED,m6-1,2.91,"{'m1-1': 104.72, 'm2-1': 5.42, 'm3-1': 5.14, 'm4-1': 11.02, 'm5-1': 92.55, 'm6-1': 5.35, 'm7-1': 109.25, 'm8-1': 10.18}",8.024999999999999,37.13,42.480000000000004,inf,112.91,112.91
32,T1,BESTEFFORT,COMPLETED,m2-1,2.982,"{'m1-1': 92.34, 'm2-1': 5.22, 'm3-1': 4.79, 'm4-1': 10.36, 'm5-1': 109.23, 'm6-1': 5.08, 'm7-1': 99.38, 'm8-1': 9.96}",7.83,68.286,73.506,inf,112.982,112.982
33,T1,BESTEFFORT,COMPLETED,m6-1,2.995,"{'m1-1': 99.68, 'm2-1': 4.92, 'm3-1': 4.97, 'm4-1': 10.84, 'm5-1': 112.27, 'm6-1': 5.29, 'm7-1': 103.34, 'm8-1': 11.06}",7.9350000000000005,42.480000000000004,47.77,inf,112.995,112.995
34,T5,BESTEFFORT,COMPLETED,m6-1,3.067,"{'m1-1': 106.23, 'm2-1': 5.42, 'm3-1': 5.12, 'm4-1': 9.94, 'm5-1': 101.43, 'm6-1': 5.12, 'm7-1': 103.69, 'm8-1': 11.7}",7.68,47.77,52.89,inf,113.06700000000001,113.06700000000001
35,T7,BESTEFFORT,COMPLETED,m2-1,3.176,"{'m1-1': 100.26, 'm2-1': 4.77, 'm3-1': 4.71, 'm4-1': 10.79, 'm5-1': 93.74, 'm6-1': 5.86, 'm7-1': 96.56, 'm8-1': 10.8}",7.154999999999999,73.506,78.276,inf,113.176,113.176
36,T10,BESTEFFORT,COMPLETED,m3-1,3.207,"{'m1-1': 96.47, 'm2-1': 4.83, 'm3-1': 4.94, 'm4-1': 10.69, 'm5-1': 114.54, 'm6-1': 5.68, 'm7-1': 108.56, 'm8-1': 9.53}",7.41,56.418,61.358,inf,113.207,113.207
37,T6,BESTEFFORT,COMPLETED,m6-1,3.239,"{'m1-1': 108.77, 'm2-1': 5.52, 'm3-1': 5.28, 'm4-1': 11.04, 'm5-1': 110.23, 'm6-1': 5.44, 'm7-1': 113.38, 'm8-1': 10.2}",8.16,52.89,58.33,inf,113.239,113.239
38,T10,BESTEFFORT,COMPLETED,m2-1,3.319,"{'m1-1': 104.87, 'm2-1': 5.03, 'm3-1': 5.15, 'm4-1': 9.96, 'm5-1': 108.73, 'm6-1': 5.6, 'm7-1': 98.68, 'm8-1': 10.41}",7.545,78.276,83.306,inf,113.319,113.319
39,T7,BESTEFFORT,COMPLETED,m3-1,3.347,"{'m1-1': 111.43, 'm2-1': 5.12, 'm3-1': 5.2, 'm4-1': 9.68, 'm5-1': 100.5, 'm6-1': 5.71, 'm7-1': 99.31, 'm8-1': 9.8}",7.800000000000001,61.358,66.55799999999999,inf,113.347,113.347
40,T2,BESTEFFORT,COMPLETED,m6-1,3.463,"{'m1-1': 108.16, 'm2-1': 5.06, 'm3-1': 4.94, 'm4-1': 10.68, 'm5-1': 106.73, 'm6-1': 5.12, 'm7-1': 108.29, 'm8-1': 10.08}",7.68,58.33,63.449999999999996,inf,113.463,113.463
41,T5,BESTEFFORT,COMPLETED,m2-1,3.679,"{'m1-1': 100.07, 'm2-1': 5.16, 'm3-1': 4.99, 'm4-1': 10.02, 'm5-1': 108.66, 'm6-1': 4.99, 'm7-1': 105.19, 'm8-1': 10.43}",7.74,83.306,88.466,inf,113.679,113.679
42,T8,BESTEFFORT,COMPLETED,m6-1,3.745,"{'m1-1': 103.04, 'm2-1': 5.49, 'm3-1': 5.51, 'm4-1': 10.42, 'm5-1': 103.74, 'm6-1': 5.47, 'm7-1': 112.93, 'm8-1': 10.47}",8.205,63.449999999999996,68.92,inf,113.745,113.745
43,T10,BESTEFFORT,COMPLETED,m6-1,3.921,"{'m1-1': 101.87, 'm2-1': 5.52, 'm3-1': 4.76, 'm4-1': 10.73, 'm5-1': 106.08, 'm6-1': 5.52, 'm7-1': 95.86, 'm8-1': 10.03}",8.28,68.92,74.44,inf,113.921,113.921
44,T10,BESTEFFORT,COMPLETED,m3-1,4.038,"{'m1-1': 98.47, 'm2-1': 5.42, 'm3-1': 4.91, 'm4-1': 10.79, 'm5-1': 110.09, 'm6-1': 5.0, 'm7-1': 102.78, 'm8-1': 9.88}",7.365,66.55799999999999,71.46799999999999,inf,114.038,114.038
45,T4,BESTEFFORT,COMPLETED,m3-1,4.09,"{'m1-1': 110.45, 'm2-1': 4.94, 'm3-1': 5.03, 'm4-1': 10.62, 'm5-1': 113.8, 'm6-1': 5.64, 'm7-1': 96.33, 'm8-1': 9.36}",7.545,71.46799999999999,76.49799999999999,inf,114.09,114.09
46,T3,BESTEFFORT,COMPLETED,m6-1,4.198,"{'m1-1': 105.52, 'm2-1': 5.47, 'm3-1': 5.13, 'm4-1': 9.56, 'm5-1': 102.37, 'm6-1': 5.36, 'm7-1': 100.99, 'm8-1': 11.25}",8.040000000000001,74.44,79.8,inf,114.19800000000001,114.19800000000001
47,T6,BESTEFFORT,COMPLETED,m6-1,4.237,"{'m1-1': 103.23, 'm2-1': 5.38, 'm3-1': 5.79, 'm4-1': 9.84, 'm5-1': 107.18, 'm6-1': 4.75, 'm7-1': 115.81, 'm8-1': 10.95}",7.125,79.8,84.55,inf,114.237,114.237
48,T4,BESTEFFORT,COMPLETED,m2-1,4.299,"{'m1-1': 99.45, 'm2-1': 5.16, 'm3-1': 5.37, 'm4-1': 10.94, 'm5-1': 114.86, 'm6-1': 5.32, 'm7-1': 99.56, 'm8-1': 10.21}",7.74,88.466,93.62599999999999,inf,114.299,114.299
49,T9,BESTEFFORT,COMPLETED,m2-1,4.636,"{'m1-1': 102.12, 'm2-1': 5.32, 'm3-1': 5.47, 'm4-1': 11.0, 'm5-1': 105.01, 'm6-1': 5.1, 'm7-1': 94.74, 'm8-1': 11.02}",7.98,93.62599999999999,98.946,inf,114.636,114.636
