workload_id,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,500,498,2,0,1,99.4,0.0,99.4,0.0,0.7983803055559596,0.0016063990051427759
1,500,499,1,0,4,99.0,0.0,99.0,0.0,0.714575944444239,0.0014435877665540183
2,500,498,2,0,7,98.2,0.0,98.2,0.0,0.759159666667272,0.001546150033945564
3,500,500,0,0,0,100.0,0.0,100.0,0.0,0.7008161666669184,0.001401632333333837
4,500,499,1,0,3,99.2,0.0,99.2,0.0,0.7842902499996125,0.0015812303427411543
5,500,497,3,0,8,97.8,0.0,97.8,0.0,0.7240093888891797,0.0014805917973193857
6,500,498,2,0,7,98.2,0.0,98.2,0.0,0.7855955555561296,0.00159999094817949
7,500,500,0,0,0,100.0,0.0,100.0,0.0,0.5969365000012395,0.0011938730000024792
8,500,500,0,0,1,99.8,0.0,99.8,0.0,0.7519048888895647,0.0015068234246283865
9,500,500,0,0,0,100.0,0.0,100.0,0.0,0.610420666666792,0.001220841333333584
10,500,500,0,0,0,100.0,0.0,100.0,0.0,0.7046485277777861,0.0014092970555555722
11,500,499,1,0,2,99.4,0.0,99.4,0.0,0.732727722222173,0.0014743012519560824
12,500,500,0,0,0,100.0,0.0,100.0,0.0,0.6014878888886758,0.0012029757777773516
13,500,497,3,0,16,96.2,0.0,96.2,0.0,0.694320138889533,0.0014434930122443513
14,500,500,0,0,4,99.2,0.0,99.2,0.0,0.7358693055552592,0.0014836074708775389
15,500,494,6,0,17,95.39999999999999,0.0,95.39999999999999,0.08058166666666666,0.8989696111112102,0.001884632308409246
16,500,499,1,0,2,99.4,0.0,99.4,0.0,0.6748360555564513,0.0013578190252644894
17,500,500,0,0,0,100.0,0.0,100.0,0.0,0.6415303611112338,0.0012830607222224675
18,500,500,0,0,16,96.8,0.0,96.8,0.0,0.7095277499995427,0.0014659664256188901
19,500,495,5,0,12,96.6,0.0,96.6,0.0,0.7801571666669851,0.0016152322291241926
20,500,495,5,0,6,97.8,0.0,97.8,0.0,0.7356215000004805,0.0015043384458087537
21,500,499,1,0,2,99.4,0.0,99.4,0.0,0.6941848888896089,0.0013967502794559534
22,500,500,0,0,2,99.6,0.0,99.6,0.0,0.7693186388887019,0.0015448165439532165
23,500,500,0,0,0,100.0,0.0,100.0,0.0,0.8123722222232028,0.0016247444444464053
24,500,500,0,0,0,100.0,0.0,100.0,0.0,0.651929750000062,0.001303859500000124
25,500,500,0,0,0,100.0,0.0,100.0,0.0,0.7843760555565111,0.0015687521111130223
26,500,500,0,0,0,100.0,0.0,100.0,0.0,0.5444356388892144,0.0010888712777784289
27,500,497,3,0,8,97.8,0.0,97.8,0.0,0.770937249999778,0.0015765587934555786
28,500,500,0,0,0,100.0,0.0,100.0,0.0,0.6561592222222438,0.0013123184444444878
29,500,498,2,0,4,98.8,0.0,98.8,0.0,0.7680877500000255,0.0015548335020243431
