workload_id,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,500,500,0,0,311,37.8,0.0,37.8,0.06849499999999997,0.2922427222226947,0.001546257789538067
1,500,500,0,0,308,38.4,0.0,38.4,0.06569916666666661,0.29266583333428975,0.0015243012152827591
2,500,500,0,0,297,40.6,0.0,40.6,0.06255083333333342,0.2991401388891811,0.0014735967432964586
3,500,500,0,0,309,38.2,0.0,38.2,0.0629133333333333,0.28803113888646803,0.0015080164339605654
4,500,500,0,0,308,38.4,0.0,38.4,0.06358499999999996,0.2882500555564669,0.0015013023726899316
5,500,500,0,0,303,39.4,0.0,39.4,0.06391333333333331,0.29499802777813683,0.0014974519176555168
6,500,500,0,0,300,40.0,0.0,40.0,0.06207083333333323,0.2959086666666877,0.0014795433333334384
7,500,500,0,0,305,39.0,0.0,39.0,0.06680500000000004,0.29674855555695506,0.0015217874643946414
8,500,500,0,0,296,40.8,0.0,40.8,0.06344833333333338,0.30186022222261977,0.001479706971679509
9,500,500,0,0,303,39.4,0.0,39.4,0.06279916666666659,0.2937302777795574,0.0014910166384749105
10,500,500,0,0,306,38.800000000000004,0.0,38.800000000000004,0.06639416666666668,0.2947773055546471,0.0015194706471889023
11,500,500,0,0,310,38.0,0.0,38.0,0.06808749999999991,0.29230533333165415,0.0015384491227981797
12,500,500,0,0,298,40.400000000000006,0.0,40.400000000000006,0.06374916666666657,0.30043419444585906,0.0014872979923062327
13,500,500,0,0,319,36.199999999999996,0.0,36.199999999999996,0.07196250000000014,0.2865532500001912,0.00158316712707288
14,500,500,0,0,305,39.0,0.0,39.0,0.06503999999999993,0.29260902777821884,0.0015005591168113785
15,500,500,0,0,303,39.4,0.0,39.4,0.05908166666666664,0.28877427777807396,0.0014658592780612892
16,500,500,0,0,301,39.800000000000004,0.0,39.800000000000004,0.06538750000000004,0.29908774999974413,0.0015029535175866537
17,500,500,0,0,290,42.0,0.0,42.0,0.05848666666666654,0.30231200000212993,0.0014395809523910948
18,500,500,0,0,294,41.199999999999996,0.0,41.199999999999996,0.06076499999999993,0.300407166666846,0.00145828721682935
19,500,500,0,0,316,36.8,0.0,36.8,0.06498416666666676,0.28312588888906043,0.0015387276570057633
20,500,500,0,0,312,37.6,0.0,37.6,0.06927083333333338,0.2922163055561315,0.0015543420508304867
21,500,500,0,0,306,38.800000000000004,0.0,38.800000000000004,0.06532499999999994,0.2936175277789718,0.0015134924112318133
22,500,500,0,0,292,41.6,0.0,41.6,0.05830666666666659,0.29943786111233445,0.001439605101501608
23,500,500,0,0,308,38.4,0.0,38.4,0.06269083333333332,0.2892828888922587,0.001506681712980514
24,500,500,0,0,305,39.0,0.0,39.0,0.0601683333333333,0.28737366666621206,0.0014737111111087797
25,500,500,0,0,310,38.0,0.0,38.0,0.06739999999999993,0.2929068333347095,0.0015416149122879446
26,500,500,0,0,292,41.6,0.0,41.6,0.06504916666666677,0.3089438611097285,0.0014853070245660022
27,500,500,0,0,320,36.0,0.0,36.0,0.06698916666666674,0.28005788888779026,0.001555877160487724
28,500,500,0,0,311,37.8,0.0,37.8,0.07015499999999986,0.29348794444663023,0.0015528462669133875
29,500,500,0,0,294,41.199999999999996,0.0,41.199999999999996,0.05739166666666669,0.29715905555682387,0.001442519687169048
