id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T3,BESTEFFORT,COMPLETED,m1-1,0.034,"{'m1-1': 1.12, 'm2-1': 10.01, 'm3-1': 1.01, 'm4-1': 96.5, 'm5-1': 1.16, 'm6-1': 10.95, 'm7-1': 1.11, 'm8-1': 11.52}",1.6800000000000002,0.034,1.1540000000000001,inf,150.034,150.034
1,T2,BESTEFFORT,COMPLETED,m2-1,0.469,"{'m1-1': 1.03, 'm2-1': 10.94, 'm3-1': 1.03, 'm4-1': 101.98, 'm5-1': 1.04, 'm6-1': 11.42, 'm7-1': 0.97, 'm8-1': 11.26}",16.41,0.469,11.408999999999999,inf,150.469,150.469
2,T3,BESTEFFORT,COMPLETED,m3-1,0.706,"{'m1-1': 1.0, 'm2-1': 10.59, 'm3-1': 1.11, 'm4-1': 104.16, 'm5-1': 1.01, 'm6-1': 9.63, 'm7-1': 1.12, 'm8-1': 10.42}",1.665,0.706,1.816,inf,150.706,150.706
3,T1,BESTEFFORT,COMPLETED,m4-1,1.958,"{'m1-1': 1.13, 'm2-1': 11.6, 'm3-1': 1.02, 'm4-1': 103.61, 'm5-1': 1.13, 'm6-1': 10.96, 'm7-1': 1.12, 'm8-1': 11.71}",155.415,1.958,105.568,inf,151.958,151.958
4,T4,BESTEFFORT,COMPLETED,m5-1,2.171,"{'m1-1': 1.04, 'm2-1': 10.72, 'm3-1': 1.08, 'm4-1': 100.92, 'm5-1': 1.06, 'm6-1': 10.15, 'm7-1': 1.17, 'm8-1': 9.77}",1.59,2.171,3.231,inf,152.171,152.171
5,T1,BESTEFFORT,COMPLETED,m6-1,2.425,"{'m1-1': 1.1, 'm2-1': 10.98, 'm3-1': 1.03, 'm4-1': 99.92, 'm5-1': 1.13, 'm6-1': 11.08, 'm7-1': 1.09, 'm8-1': 11.13}",16.62,2.425,13.504999999999999,inf,152.425,152.425
6,T3,BESTEFFORT,COMPLETED,m7-1,2.577,"{'m1-1': 1.02, 'm2-1': 11.09, 'm3-1': 1.1, 'm4-1': 99.3, 'm5-1': 1.16, 'm6-1': 11.34, 'm7-1': 0.98, 'm8-1': 11.48}",1.47,2.577,3.557,inf,152.577,152.577
7,T3,BESTEFFORT,COMPLETED,m8-1,3.107,"{'m1-1': 1.02, 'm2-1': 11.06, 'm3-1': 1.12, 'm4-1': 102.06, 'm5-1': 1.12, 'm6-1': 10.23, 'm7-1': 1.1, 'm8-1': 11.25}",16.875,3.107,14.357,inf,153.107,153.107
8,T1,BESTEFFORT,COMPLETED,m1-1,3.235,"{'m1-1': 1.06, 'm2-1': 10.6, 'm3-1': 1.01, 'm4-1': 110.01, 'm5-1': 1.08, 'm6-1': 9.93, 'm7-1': 1.04, 'm8-1': 10.54}",1.59,3.235,4.295,inf,153.235,153.235
9,T2,BESTEFFORT,COMPLETED,m2-1,3.479,"{'m1-1': 1.14, 'm2-1': 10.03, 'm3-1': 1.15, 'm4-1': 113.16, 'm5-1': 1.03, 'm6-1': 9.94, 'm7-1': 0.99, 'm8-1': 11.28}",15.044999999999998,11.408999999999999,21.439,inf,153.479,153.479
10,T4,BESTEFFORT,COMPLETED,m3-1,3.724,"{'m1-1': 1.07, 'm2-1': 11.63, 'm3-1': 1.14, 'm4-1': 104.7, 'm5-1': 0.99, 'm6-1': 10.53, 'm7-1': 1.04, 'm8-1': 10.41}",1.71,3.724,4.864,inf,153.724,153.724
11,T3,BESTEFFORT,MISSED,m4-1,4.105,"{'m1-1': 1.11, 'm2-1': 10.83, 'm3-1': 0.98, 'm4-1': 108.75, 'm5-1': 1.16, 'm6-1': 9.9, 'm7-1': 1.02, 'm8-1': 11.01}",72.8055,105.568,inf,154.105,154.105,154.105
12,T4,BESTEFFORT,COMPLETED,m5-1,4.277,"{'m1-1': 1.12, 'm2-1': 10.5, 'm3-1': 1.02, 'm4-1': 99.5, 'm5-1': 1.09, 'm6-1': 10.71, 'm7-1': 1.06, 'm8-1': 10.88}",1.6350000000000002,4.277,5.367,inf,154.277,154.277
13,T3,BESTEFFORT,COMPLETED,m6-1,4.449,"{'m1-1': 1.09, 'm2-1': 11.38, 'm3-1': 1.06, 'm4-1': 102.02, 'm5-1': 1.01, 'm6-1': 10.64, 'm7-1': 1.01, 'm8-1': 11.4}",15.96,13.504999999999999,24.145,inf,154.449,154.449
14,T2,BESTEFFORT,COMPLETED,m7-1,4.796,"{'m1-1': 1.12, 'm2-1': 9.8, 'm3-1': 0.99, 'm4-1': 106.31, 'm5-1': 1.09, 'm6-1': 11.41, 'm7-1': 1.01, 'm8-1': 11.57}",1.5150000000000001,4.796,5.806,inf,154.796,154.796
15,T4,BESTEFFORT,COMPLETED,m1-1,4.929,"{'m1-1': 1.06, 'm2-1': 10.83, 'm3-1': 0.99, 'm4-1': 93.02, 'm5-1': 1.06, 'm6-1': 10.43, 'm7-1': 1.11, 'm8-1': 9.78}",1.59,4.929,5.989000000000001,inf,154.929,154.929
16,T4,BESTEFFORT,COMPLETED,m8-1,4.929,"{'m1-1': 1.11, 'm2-1': 10.88, 'm3-1': 0.98, 'm4-1': 109.3, 'm5-1': 1.13, 'm6-1': 10.21, 'm7-1': 1.05, 'm8-1': 10.75}",16.125,14.357,25.107,inf,154.929,154.929
