id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m1-1,0.076,"{'m1-1': 1.12, 'm2-1': 10.65, 'm3-1': 106.52, 'm4-1': 102.04, 'm5-1': 1.03, 'm6-1': 11.22, 'm7-1': 98.49, 'm8-1': 0.93}",1.6800000000000002,0.076,1.1960000000000002,inf,150.076,150.076
1,T2,BESTEFFORT,COMPLETED,m5-1,0.143,"{'m1-1': 0.99, 'm2-1': 11.5, 'm3-1': 104.28, 'm4-1': 113.07, 'm5-1': 1.06, 'm6-1': 9.83, 'm7-1': 99.91, 'm8-1': 1.08}",1.59,0.143,1.203,inf,150.143,150.143
2,T2,BESTEFFORT,COMPLETED,m8-1,0.208,"{'m1-1': 1.04, 'm2-1': 10.23, 'm3-1': 107.74, 'm4-1': 97.96, 'm5-1': 1.03, 'm6-1': 10.98, 'm7-1': 104.22, 'm8-1': 1.05}",1.5750000000000002,0.208,1.258,inf,150.208,150.208
3,T2,BESTEFFORT,COMPLETED,m8-1,0.213,"{'m1-1': 1.14, 'm2-1': 10.87, 'm3-1': 112.99, 'm4-1': 104.82, 'm5-1': 1.09, 'm6-1': 10.78, 'm7-1': 94.85, 'm8-1': 0.95}",1.4249999999999998,1.258,2.208,inf,150.213,150.213
4,T1,BESTEFFORT,COMPLETED,m1-1,0.852,"{'m1-1': 0.95, 'm2-1': 10.78, 'm3-1': 91.62, 'm4-1': 110.05, 'm5-1': 1.08, 'm6-1': 11.1, 'm7-1': 94.55, 'm8-1': 1.1}",1.4249999999999998,1.1960000000000002,2.146,inf,150.852,150.852
5,T2,BESTEFFORT,COMPLETED,m8-1,0.933,"{'m1-1': 1.06, 'm2-1': 11.13, 'm3-1': 110.04, 'm4-1': 96.18, 'm5-1': 1.05, 'm6-1': 10.95, 'm7-1': 91.81, 'm8-1': 0.97}",1.455,2.208,3.178,inf,150.933,150.933
6,T3,BESTEFFORT,COMPLETED,m5-1,1.691,"{'m1-1': 0.95, 'm2-1': 11.33, 'm3-1': 112.95, 'm4-1': 105.84, 'm5-1': 1.02, 'm6-1': 10.11, 'm7-1': 102.98, 'm8-1': 1.07}",1.53,1.691,2.7110000000000003,inf,151.691,151.691
7,T1,BESTEFFORT,COMPLETED,m8-1,2.27,"{'m1-1': 0.94, 'm2-1': 10.44, 'm3-1': 99.88, 'm4-1': 98.47, 'm5-1': 1.05, 'm6-1': 10.99, 'm7-1': 105.28, 'm8-1': 1.05}",1.5750000000000002,3.178,4.228,inf,152.27,152.27
8,T3,BESTEFFORT,COMPLETED,m5-1,2.862,"{'m1-1': 1.08, 'm2-1': 10.74, 'm3-1': 112.5, 'm4-1': 102.58, 'm5-1': 1.01, 'm6-1': 10.65, 'm7-1': 108.96, 'm8-1': 0.99}",1.5150000000000001,2.862,3.872,inf,152.862,152.862
9,T1,BESTEFFORT,COMPLETED,m1-1,3.108,"{'m1-1': 1.09, 'm2-1': 11.0, 'm3-1': 99.21, 'm4-1': 113.65, 'm5-1': 1.12, 'm6-1': 10.39, 'm7-1': 96.57, 'm8-1': 1.12}",1.6350000000000002,3.108,4.198,inf,153.108,153.108
10,T2,BESTEFFORT,COMPLETED,m5-1,3.424,"{'m1-1': 1.06, 'm2-1': 10.12, 'm3-1': 103.6, 'm4-1': 100.85, 'm5-1': 1.1, 'm6-1': 10.34, 'm7-1': 92.98, 'm8-1': 1.03}",1.6500000000000001,3.872,4.9719999999999995,inf,153.424,153.424
11,T4,BESTEFFORT,COMPLETED,m8-1,3.626,"{'m1-1': 1.08, 'm2-1': 10.77, 'm3-1': 101.02, 'm4-1': 112.53, 'm5-1': 0.95, 'm6-1': 11.26, 'm7-1': 101.38, 'm8-1': 1.09}",1.6350000000000002,4.228,5.318,inf,153.626,153.626
12,T4,BESTEFFORT,COMPLETED,m1-1,3.743,"{'m1-1': 1.01, 'm2-1': 10.76, 'm3-1': 110.6, 'm4-1': 109.27, 'm5-1': 0.95, 'm6-1': 10.78, 'm7-1': 102.82, 'm8-1': 0.99}",1.5150000000000001,4.198,5.208,inf,153.743,153.743
13,T1,BESTEFFORT,COMPLETED,m1-1,3.845,"{'m1-1': 1.06, 'm2-1': 11.88, 'm3-1': 104.39, 'm4-1': 110.81, 'm5-1': 1.13, 'm6-1': 10.87, 'm7-1': 96.67, 'm8-1': 1.06}",1.59,5.208,6.268000000000001,inf,153.845,153.845
14,T3,BESTEFFORT,COMPLETED,m5-1,3.965,"{'m1-1': 0.97, 'm2-1': 10.12, 'm3-1': 100.18, 'm4-1': 104.48, 'm5-1': 0.94, 'm6-1': 9.76, 'm7-1': 116.62, 'm8-1': 1.08}",1.41,4.9719999999999995,5.911999999999999,inf,153.965,153.965
15,T3,BESTEFFORT,COMPLETED,m5-1,4.423,"{'m1-1': 1.05, 'm2-1': 10.77, 'm3-1': 116.28, 'm4-1': 115.92, 'm5-1': 1.01, 'm6-1': 10.63, 'm7-1': 108.2, 'm8-1': 1.03}",1.5150000000000001,5.911999999999999,6.921999999999999,inf,154.423,154.423
16,T2,BESTEFFORT,COMPLETED,m8-1,4.899,"{'m1-1': 0.98, 'm2-1': 9.77, 'm3-1': 102.76, 'm4-1': 100.48, 'm5-1': 1.0, 'm6-1': 9.95, 'm7-1': 107.82, 'm8-1': 1.01}",1.5150000000000001,5.318,6.327999999999999,inf,154.899,154.899
17,T3,BESTEFFORT,COMPLETED,m5-1,5.492,"{'m1-1': 1.0, 'm2-1': 10.83, 'm3-1': 110.29, 'm4-1': 105.82, 'm5-1': 1.04, 'm6-1': 10.78, 'm7-1': 104.36, 'm8-1': 0.97}",1.56,6.921999999999999,7.961999999999999,inf,155.492,155.492
18,T2,BESTEFFORT,COMPLETED,m5-1,6.084,"{'m1-1': 1.13, 'm2-1': 9.83, 'm3-1': 114.41, 'm4-1': 97.97, 'm5-1': 1.0, 'm6-1': 10.7, 'm7-1': 106.34, 'm8-1': 0.95}",1.5,7.961999999999999,8.962,inf,156.084,156.084
19,T4,BESTEFFORT,COMPLETED,m5-1,6.085,"{'m1-1': 1.05, 'm2-1': 10.18, 'm3-1': 109.65, 'm4-1': 103.1, 'm5-1': 1.07, 'm6-1': 10.76, 'm7-1': 101.14, 'm8-1': 1.08}",1.605,8.962,10.032,inf,156.085,156.085
20,T1,BESTEFFORT,COMPLETED,m1-1,6.333,"{'m1-1': 1.09, 'm2-1': 10.99, 'm3-1': 100.37, 'm4-1': 104.0, 'm5-1': 1.1, 'm6-1': 11.63, 'm7-1': 107.14, 'm8-1': 0.98}",1.6350000000000002,6.333,7.423,inf,156.333,156.333
21,T1,BESTEFFORT,COMPLETED,m1-1,6.564,"{'m1-1': 1.07, 'm2-1': 11.71, 'm3-1': 96.87, 'm4-1': 102.49, 'm5-1': 1.12, 'm6-1': 10.52, 'm7-1': 106.72, 'm8-1': 1.05}",1.605,7.423,8.493,inf,156.564,156.564
22,T3,BESTEFFORT,COMPLETED,m5-1,7.46,"{'m1-1': 1.07, 'm2-1': 11.13, 'm3-1': 112.71, 'm4-1': 115.61, 'm5-1': 0.96, 'm6-1': 10.72, 'm7-1': 104.46, 'm8-1': 1.08}",1.44,10.032,10.992,inf,157.46,157.46
23,T3,BESTEFFORT,COMPLETED,m1-1,7.465,"{'m1-1': 0.97, 'm2-1': 11.13, 'm3-1': 104.09, 'm4-1': 103.72, 'm5-1': 1.02, 'm6-1': 9.92, 'm7-1': 101.75, 'm8-1': 1.12}",1.455,8.493,9.463000000000001,inf,157.465,157.465
24,T3,BESTEFFORT,COMPLETED,m1-1,7.647,"{'m1-1': 1.0, 'm2-1': 10.84, 'm3-1': 103.88, 'm4-1': 115.61, 'm5-1': 1.03, 'm6-1': 9.57, 'm7-1': 105.65, 'm8-1': 1.05}",1.5,9.463000000000001,10.463000000000001,inf,157.647,157.647
25,T3,BESTEFFORT,COMPLETED,m1-1,7.941,"{'m1-1': 0.98, 'm2-1': 9.55, 'm3-1': 110.98, 'm4-1': 114.72, 'm5-1': 1.04, 'm6-1': 10.21, 'm7-1': 110.89, 'm8-1': 1.13}",1.47,10.463000000000001,11.443000000000001,inf,157.941,157.941
26,T4,BESTEFFORT,COMPLETED,m5-1,8.168,"{'m1-1': 0.97, 'm2-1': 10.65, 'm3-1': 96.52, 'm4-1': 110.96, 'm5-1': 0.96, 'm6-1': 10.55, 'm7-1': 112.48, 'm8-1': 1.12}",1.44,10.992,11.952000000000002,inf,158.168,158.168
