workload_id,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,500,500,0,0,258,48.4,0.0,48.4,0.44641749999999997,1.405074583332866,0.005806093319557297
1,500,500,0,0,256,48.8,0.0,48.8,0.41548583333333333,1.3914530555550624,0.0057026764571928784
2,500,500,0,0,255,49.0,0.0,49.0,0.36927333333333334,1.4156525277776948,0.005778173582766101
3,500,500,0,0,259,48.199999999999996,0.0,48.199999999999996,0.4083375,1.3820886944446669,0.005734807860766253
4,500,500,0,0,261,47.8,0.0,47.8,0.4361158333333334,1.403778250000113,0.005873549163180389
5,500,500,0,0,260,48.0,0.0,48.0,0.45942166666666673,1.4156979722226646,0.005898741550927769
6,500,500,0,0,255,49.0,0.0,49.0,0.4230958333333334,1.4012154722226842,0.005719246825398712
7,500,500,0,0,257,48.6,0.0,48.6,0.4423008333333333,1.4057406388892721,0.005784940900778897
8,500,500,0,0,253,49.4,0.0,49.4,0.44720166666666666,1.40845711111104,0.005702255510571012
9,500,500,0,0,263,47.4,0.0,47.4,0.4504441666666667,1.3933648888894015,0.005879176746368783
10,500,500,0,0,258,48.4,0.0,48.4,0.44629166666666653,1.4001195555551709,0.005785617998161863
11,500,500,0,0,264,47.199999999999996,0.0,47.199999999999996,0.4605316666666666,1.3965088611118943,0.00591741042844023
12,500,500,0,0,258,48.4,0.0,48.4,0.4284158333333334,1.4031917777785081,0.005798313131316148
13,500,500,0,0,265,47.0,0.0,47.0,0.40511416666666655,1.3790844722221827,0.005868444562647585
14,500,500,0,0,263,47.4,0.0,47.4,0.4279908333333332,1.3898854166666732,0.005864495428973305
15,500,500,0,0,260,48.0,0.0,48.0,0.42570250000000004,1.3795302222218337,0.005748042592590975
16,500,500,0,0,256,48.8,0.0,48.8,0.43010999999999994,1.4097842777780412,0.00577780441712312
17,500,500,0,0,248,50.4,0.0,50.4,0.44333083333333334,1.4157331944445226,0.005617988866843343
18,500,500,0,0,255,49.0,0.0,49.0,0.4303200000000001,1.405247166666102,0.005735702721086131
19,500,500,0,0,264,47.199999999999996,0.0,47.199999999999996,0.4128249999999999,1.3725210277778872,0.0058157670668554555
20,500,500,0,0,265,47.0,0.0,47.0,0.3914891666666667,1.3964927777780556,0.005942522458630023
21,500,500,0,0,261,47.8,0.0,47.8,0.4461399999999998,1.3902079444447655,0.005816769642028307
22,500,500,0,0,248,50.4,0.0,50.4,0.44157500000000005,1.410759444444298,0.005598251763667849
23,500,500,0,0,260,48.0,0.0,48.0,0.4319308333333333,1.3954817499999708,0.005814507291666545
24,500,500,0,0,257,48.6,0.0,48.6,0.4205216666666667,1.3850481388888956,0.005699786579789694
25,500,500,0,0,261,47.8,0.0,47.8,0.433015,1.3838548888886808,0.0057901878196179105
26,500,500,0,0,254,49.2,0.0,49.2,0.44585833333333336,1.4374125833336762,0.00584314058265722
27,500,500,0,0,269,46.2,0.0,46.2,0.4234875,1.3713827500000804,0.005936721861472209
28,500,500,0,0,264,47.199999999999996,0.0,47.199999999999996,0.4357916666666665,1.399786194444993,0.0059312974340889535
29,500,500,0,0,254,49.2,0.0,49.2,0.4243266666666667,1.4077179999998608,0.005722430894308378
