id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m6-1,0.348,"{'m1-1': 10.97, 'm2-1': 11.47, 'm3-1': 9.48, 'm4-1': 10.31, 'm5-1': 101.53, 'm6-1': 1.11, 'm7-1': 11.61, 'm8-1': 10.28}",1.665,0.348,1.4580000000000002,inf,150.348,150.348
1,T3,BESTEFFORT,COMPLETED,m6-1,0.4,"{'m1-1': 9.77, 'm2-1': 10.83, 'm3-1': 10.46, 'm4-1': 10.82, 'm5-1': 107.76, 'm6-1': 1.04, 'm7-1': 10.41, 'm8-1': 11.47}",1.56,1.4580000000000002,2.498,inf,150.4,150.4
2,T1,BESTEFFORT,COMPLETED,m6-1,0.44,"{'m1-1': 9.52, 'm2-1': 9.99, 'm3-1': 10.05, 'm4-1': 10.54, 'm5-1': 98.79, 'm6-1': 0.94, 'm7-1': 10.6, 'm8-1': 10.41}",1.41,2.498,3.438,inf,150.44,150.44
3,T3,BESTEFFORT,COMPLETED,m6-1,0.56,"{'m1-1': 9.49, 'm2-1': 10.1, 'm3-1': 10.86, 'm4-1': 9.59, 'm5-1': 101.03, 'm6-1': 1.04, 'm7-1': 11.15, 'm8-1': 9.98}",1.56,3.438,4.478,inf,150.56,150.56
4,T4,BESTEFFORT,COMPLETED,m6-1,0.804,"{'m1-1': 10.72, 'm2-1': 9.67, 'm3-1': 11.24, 'm4-1': 11.41, 'm5-1': 112.44, 'm6-1': 1.08, 'm7-1': 9.33, 'm8-1': 10.0}",1.62,4.478,5.558,inf,150.804,150.804
5,T4,BESTEFFORT,COMPLETED,m6-1,1.153,"{'m1-1': 10.15, 'm2-1': 10.96, 'm3-1': 10.79, 'm4-1': 10.33, 'm5-1': 103.16, 'm6-1': 1.02, 'm7-1': 10.29, 'm8-1': 9.84}",1.53,5.558,6.577999999999999,inf,151.153,151.153
6,T3,BESTEFFORT,COMPLETED,m6-1,1.345,"{'m1-1': 10.44, 'm2-1': 9.67, 'm3-1': 10.01, 'm4-1': 9.9, 'm5-1': 106.42, 'm6-1': 0.95, 'm7-1': 10.69, 'm8-1': 11.19}",1.4249999999999998,6.577999999999999,7.528,inf,151.345,151.345
7,T1,BESTEFFORT,COMPLETED,m6-1,1.591,"{'m1-1': 10.94, 'm2-1': 11.46, 'm3-1': 10.42, 'm4-1': 10.99, 'm5-1': 105.9, 'm6-1': 0.98, 'm7-1': 10.49, 'm8-1': 10.2}",1.47,7.528,8.508,inf,151.591,151.591
8,T2,BESTEFFORT,COMPLETED,m6-1,1.71,"{'m1-1': 10.84, 'm2-1': 10.52, 'm3-1': 9.9, 'm4-1': 10.17, 'm5-1': 100.41, 'm6-1': 0.96, 'm7-1': 10.57, 'm8-1': 10.07}",1.44,8.508,9.468,inf,151.71,151.71
9,T3,BESTEFFORT,COMPLETED,m6-1,1.77,"{'m1-1': 10.32, 'm2-1': 9.92, 'm3-1': 10.29, 'm4-1': 9.78, 'm5-1': 106.81, 'm6-1': 1.08, 'm7-1': 9.54, 'm8-1': 9.91}",1.62,9.468,10.548,inf,151.77,151.77
