id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m1-1,0.599,"{'m1-1': 14.98, 'm2-1': 14.94, 'm3-1': 15.23}",1498.0,0.599,15.579,inf,15.599,15.599
1,T1,BESTEFFORT,COMPLETED,m3-1,2.385,"{'m1-1': 9.9, 'm2-1': 9.92, 'm3-1': 10.06}",100.60000000000001,2.385,12.445,inf,17.384999999999998,17.384999999999998
2,T4,BESTEFFORT,COMPLETED,m2-1,2.463,"{'m1-1': 2.02, 'm2-1': 1.98, 'm3-1': 1.98}",594.0,2.463,4.443,inf,7.463,7.463
3,T1,BESTEFFORT,COMPLETED,m2-1,2.621,"{'m1-1': 9.84, 'm2-1': 10.17, 'm3-1': 10.07}",3051.0,4.443,14.613,inf,17.621,17.621
4,T3,BESTEFFORT,MISSED,m3-1,3.467,"{'m1-1': 5.01, 'm2-1': 5.02, 'm3-1': 5.07}",0.0,12.445,inf,12.445,8.467,8.467
5,T3,BESTEFFORT,MISSED,m3-1,4.033,"{'m1-1': 5.06, 'm2-1': 5.07, 'm3-1': 4.99}",0.0,12.445,inf,12.445,9.033000000000001,9.033000000000001
6,T2,BESTEFFORT,MISSED,m3-1,4.694,"{'m1-1': 14.96, 'm2-1': 14.82, 'm3-1': 15.16}",72.48999999999998,12.445,inf,19.694,19.694,19.694
7,T4,BESTEFFORT,MISSED,m2-1,8.328,"{'m1-1': 2.03, 'm2-1': 2.01, 'm3-1': 2.0}",0.0,14.613,inf,14.613,13.328,13.328
8,T1,BESTEFFORT,COMPLETED,m2-1,10.087,"{'m1-1': 9.99, 'm2-1': 10.15, 'm3-1': 10.13}",3045.0,14.613,24.762999999999998,inf,25.087,25.087
9,T3,BESTEFFORT,COMPLETED,m1-1,17.588,"{'m1-1': 4.94, 'm2-1': 5.06, 'm3-1': 4.96}",494.00000000000006,17.588,22.528000000000002,inf,22.588,22.588
10,T3,BESTEFFORT,MISSED,m3-1,18.121,"{'m1-1': 4.94, 'm2-1': 4.96, 'm3-1': 4.95}",34.269999999999996,19.694,inf,23.121,23.121,23.121
11,T3,BESTEFFORT,MISSED,m1-1,19.606,"{'m1-1': 5.05, 'm2-1': 5.08, 'm3-1': 4.93}",207.79999999999995,22.528000000000002,inf,24.606,24.606,24.606
12,T2,BESTEFFORT,MISSED,m3-1,20.011,"{'m1-1': 15.09, 'm2-1': 15.01, 'm3-1': 14.88}",118.89999999999998,23.121,inf,35.010999999999996,35.010999999999996,35.010999999999996
13,T2,BESTEFFORT,MISSED,m1-1,20.274,"{'m1-1': 15.2, 'm2-1': 14.86, 'm3-1': 14.91}",1066.8,24.606,inf,35.274,35.274,35.274
14,T2,BESTEFFORT,MISSED,m2-1,23.04,"{'m1-1': 15.09, 'm2-1': 15.24, 'm3-1': 14.89}",3983.1000000000004,24.762999999999998,inf,38.04,38.04,38.04
15,T2,BESTEFFORT,MISSED,m3-1,23.666,"{'m1-1': 14.82, 'm2-1': 15.04, 'm3-1': 14.85}",36.55000000000001,35.010999999999996,inf,38.666,38.666,38.666
16,T1,BESTEFFORT,MISSED,m1-1,25.576,"{'m1-1': 10.05, 'm2-1': 9.85, 'm3-1': 10.07}",530.1999999999999,35.274,inf,40.576,40.576,40.576
17,T2,BESTEFFORT,MISSED,m2-1,27.985,"{'m1-1': 14.76, 'm2-1': 14.81, 'm3-1': 15.15}",1483.5,38.04,inf,42.985,42.985,42.985
18,T4,BESTEFFORT,MISSED,m3-1,29.726,"{'m1-1': 2.0, 'm2-1': 1.98, 'm3-1': 2.03}",0.0,38.666,inf,38.666,34.726,34.726
19,T3,BESTEFFORT,MISSED,m3-1,30.718,"{'m1-1': 5.07, 'm2-1': 5.03, 'm3-1': 5.0}",0.0,38.666,inf,38.666,35.718,35.718
