id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m1-1,0.4,"{'m1-1': 9.78, 'm2-1': 10.65, 'm3-1': 9.48}",977.9999999999999,0.4,10.18,inf,100.4,100.4
1,T1,BESTEFFORT,COMPLETED,m3-1,1.59,"{'m1-1': 18.53, 'm2-1': 20.96, 'm3-1': 19.61}",196.1,1.59,21.2,inf,101.59,101.59
2,T4,BESTEFFORT,COMPLETED,m2-1,1.642,"{'m1-1': 5.17, 'm2-1': 4.81, 'm3-1': 5.19}",1442.9999999999998,1.642,6.452,inf,101.642,101.642
3,T1,BESTEFFORT,COMPLETED,m2-1,1.748,"{'m1-1': 20.0, 'm2-1': 18.3, 'm3-1': 19.26}",5490.0,6.452,24.752000000000002,inf,101.748,101.748
4,T3,BESTEFFORT,COMPLETED,m1-1,2.311,"{'m1-1': 15.06, 'm2-1': 15.68, 'm3-1': 14.37}",1506.0,10.18,25.240000000000002,inf,102.311,102.311
5,T3,BESTEFFORT,COMPLETED,m3-1,2.689,"{'m1-1': 13.9, 'm2-1': 14.06, 'm3-1': 15.76}",157.6,21.2,36.96,inf,102.689,102.689
6,T2,BESTEFFORT,COMPLETED,m1-1,3.13,"{'m1-1': 10.3, 'm2-1': 9.78, 'm3-1': 10.15}",1030.0,25.240000000000002,35.540000000000006,inf,103.13,103.13
7,T4,BESTEFFORT,COMPLETED,m2-1,5.552,"{'m1-1': 4.95, 'm2-1': 4.95, 'm3-1': 4.98}",1485.0,24.752000000000002,29.702,inf,105.55199999999999,105.55199999999999
8,T1,BESTEFFORT,COMPLETED,m2-1,6.725,"{'m1-1': 19.92, 'm2-1': 21.28, 'm3-1': 18.33}",6384.0,29.702,50.982,inf,106.725,106.725
9,T3,BESTEFFORT,COMPLETED,m1-1,11.725,"{'m1-1': 14.14, 'm2-1': 15.99, 'm3-1': 13.85}",1414.0,35.540000000000006,49.68000000000001,inf,111.725,111.725
10,T3,BESTEFFORT,COMPLETED,m3-1,12.081,"{'m1-1': 13.88, 'm2-1': 15.83, 'm3-1': 13.95}",139.5,36.96,50.91,inf,112.081,112.081
11,T3,BESTEFFORT,COMPLETED,m2-1,13.071,"{'m1-1': 16.19, 'm2-1': 14.49, 'm3-1': 15.14}",4347.0,50.982,65.472,inf,113.071,113.071
12,T2,BESTEFFORT,COMPLETED,m1-1,13.341,"{'m1-1': 9.67, 'm2-1': 10.55, 'm3-1': 10.61}",967.0,49.68000000000001,59.35000000000001,inf,113.341,113.341
13,T2,BESTEFFORT,COMPLETED,m3-1,13.516,"{'m1-1': 10.74, 'm2-1': 9.14, 'm3-1': 9.55}",95.5,50.91,60.459999999999994,inf,113.516,113.516
14,T2,BESTEFFORT,COMPLETED,m3-1,15.36,"{'m1-1': 10.19, 'm2-1': 10.59, 'm3-1': 9.48}",94.80000000000001,60.459999999999994,69.94,inf,115.36,115.36
15,T2,BESTEFFORT,COMPLETED,m2-1,15.777,"{'m1-1': 10.14, 'm2-1': 10.7, 'm3-1': 9.14}",3210.0,65.472,76.172,inf,115.777,115.777
16,T1,BESTEFFORT,COMPLETED,m1-1,17.051,"{'m1-1': 18.87, 'm2-1': 19.95, 'm3-1': 18.55}",1887.0,59.35000000000001,78.22000000000001,inf,117.051,117.051
17,T2,BESTEFFORT,COMPLETED,m2-1,18.657,"{'m1-1': 10.3, 'm2-1': 10.61, 'm3-1': 10.26}",3183.0,76.172,86.782,inf,118.657,118.657
18,T4,BESTEFFORT,COMPLETED,m1-1,19.817,"{'m1-1': 4.62, 'm2-1': 4.85, 'm3-1': 5.08}",462.0,78.22000000000001,82.84000000000002,inf,119.81700000000001,119.81700000000001
19,T3,BESTEFFORT,COMPLETED,m3-1,20.479,"{'m1-1': 14.55, 'm2-1': 16.18, 'm3-1': 15.3}",153.0,69.94,85.24,inf,120.479,120.479
20,T1,BESTEFFORT,COMPLETED,m1-1,21.411,"{'m1-1': 19.16, 'm2-1': 21.6, 'm3-1': 18.62}",1916.0,82.84000000000002,102.00000000000001,inf,121.411,121.411
21,T4,BESTEFFORT,COMPLETED,m3-1,21.59,"{'m1-1': 5.36, 'm2-1': 5.41, 'm3-1': 5.22}",52.199999999999996,85.24,90.46,inf,121.59,121.59
22,T3,BESTEFFORT,COMPLETED,m2-1,22.174,"{'m1-1': 14.38, 'm2-1': 16.05, 'm3-1': 14.15}",4815.0,86.782,102.832,inf,122.174,122.174
23,T1,BESTEFFORT,COMPLETED,m1-1,26.727,"{'m1-1': 21.37, 'm2-1': 21.29, 'm3-1': 21.08}",2137.0,102.00000000000001,123.37000000000002,inf,126.727,126.727
24,T1,BESTEFFORT,COMPLETED,m3-1,26.83,"{'m1-1': 20.49, 'm2-1': 19.98, 'm3-1': 20.93}",209.3,90.46,111.38999999999999,inf,126.83,126.83
25,T2,BESTEFFORT,COMPLETED,m2-1,27.38,"{'m1-1': 10.03, 'm2-1': 10.12, 'm3-1': 10.62}",3035.9999999999995,102.832,112.952,inf,127.38,127.38
26,T2,BESTEFFORT,COMPLETED,m3-1,30.326,"{'m1-1': 9.6, 'm2-1': 9.23, 'm3-1': 9.59}",95.9,111.38999999999999,120.97999999999999,inf,130.326,130.326
27,T3,BESTEFFORT,COMPLETED,m2-1,31.007,"{'m1-1': 15.37, 'm2-1': 13.8, 'm3-1': 15.23}",4140.0,112.952,126.752,inf,131.007,131.007
28,T1,BESTEFFORT,MISSED,m1-1,32.175,"{'m1-1': 20.05, 'm2-1': 20.07, 'm3-1': 19.33}",880.4999999999993,123.37000000000002,inf,132.175,132.175,132.175
29,T2,BESTEFFORT,MISSED,m1-1,37.335,"{'m1-1': 10.73, 'm2-1': 10.19, 'm3-1': 9.24}",515.9999999999997,132.175,inf,137.335,137.335,137.335
30,T2,BESTEFFORT,COMPLETED,m3-1,37.912,"{'m1-1': 9.66, 'm2-1': 9.16, 'm3-1': 9.51}",95.1,120.97999999999999,130.48999999999998,inf,137.912,137.912
31,T4,BESTEFFORT,COMPLETED,m2-1,41.458,"{'m1-1': 5.09, 'm2-1': 4.89, 'm3-1': 4.69}",1467.0,126.752,131.642,inf,141.458,141.458
32,T3,BESTEFFORT,COMPLETED,m3-1,50.962,"{'m1-1': 14.2, 'm2-1': 13.73, 'm3-1': 15.53}",155.29999999999998,130.48999999999998,146.01999999999998,inf,150.962,150.962
33,T4,BESTEFFORT,COMPLETED,m1-1,53.88,"{'m1-1': 5.26, 'm2-1': 4.67, 'm3-1': 4.87}",526.0,137.335,142.595,inf,153.88,153.88
34,T2,BESTEFFORT,COMPLETED,m2-1,54.075,"{'m1-1': 10.81, 'm2-1': 10.25, 'm3-1': 9.8}",3075.0,131.642,141.892,inf,154.075,154.075
35,T1,BESTEFFORT,MISSED,m3-1,54.927,"{'m1-1': 19.76, 'm2-1': 20.04, 'm3-1': 19.04}",89.0700000000001,146.01999999999998,inf,154.927,154.927,154.927
36,T2,BESTEFFORT,COMPLETED,m2-1,55.219,"{'m1-1': 10.82, 'm2-1': 9.24, 'm3-1': 10.37}",2772.0,141.892,151.132,inf,155.219,155.219
37,T3,BESTEFFORT,MISSED,m3-1,55.303,"{'m1-1': 14.88, 'm2-1': 15.99, 'm3-1': 15.81}",3.7600000000000477,154.927,inf,155.303,155.303,155.303
38,T2,BESTEFFORT,COMPLETED,m1-1,56.789,"{'m1-1': 9.27, 'm2-1': 9.96, 'm3-1': 10.6}",927.0,142.595,151.865,inf,156.789,156.789
39,T3,BESTEFFORT,MISSED,m2-1,58.534,"{'m1-1': 15.83, 'm2-1': 15.49, 'm3-1': 13.96}",2220.599999999996,151.132,inf,158.534,158.534,158.534
40,T3,BESTEFFORT,MISSED,m3-1,61.196,"{'m1-1': 14.46, 'm2-1': 14.32, 'm3-1': 14.22}",58.93000000000001,155.303,inf,161.196,161.196,161.196
41,T2,BESTEFFORT,MISSED,m2-1,62.269,"{'m1-1': 9.35, 'm2-1': 10.82, 'm3-1': 9.17}",1120.500000000004,158.534,inf,162.269,162.269,162.269
42,T3,BESTEFFORT,MISSED,m1-1,62.845,"{'m1-1': 13.74, 'm2-1': 14.04, 'm3-1': 15.83}",1097.999999999999,151.865,inf,162.845,162.845,162.845
43,T4,BESTEFFORT,MISSED,m1-1,64.138,"{'m1-1': 5.12, 'm2-1': 4.64, 'm3-1': 5.11}",129.30000000000064,162.845,inf,164.138,164.138,164.138
44,T3,BESTEFFORT,MISSED,m2-1,65.896,"{'m1-1': 16.14, 'm2-1': 13.74, 'm3-1': 14.84}",1088.1000000000029,162.269,inf,165.89600000000002,165.89600000000002,165.89600000000002
45,T1,BESTEFFORT,MISSED,m1-1,70.147,"{'m1-1': 18.6, 'm2-1': 20.25, 'm3-1': 19.69}",600.8999999999986,164.138,inf,170.147,170.147,170.147
