id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m3-1,0.5,"{'m1-1': 104.85, 'm2-1': 9.88, 'm3-1': 0.92}",9.200000000000001,46.806,47.726,inf,100.5,100.5
1,T1,BESTEFFORT,MISSED,m1-1,1.491,"{'m1-1': 97.62, 'm2-1': 103.18, 'm3-1': 10.3}",0.0,119.721,inf,119.721,101.491,101.491
2,T1,BESTEFFORT,MISSED,m2-1,1.638,"{'m1-1': 107.64, 'm2-1': 92.0, 'm3-1': 9.44}",0.0,120.07300000000001,inf,120.07300000000001,101.638,101.638
3,T3,BESTEFFORT,COMPLETED,m3-1,2.889,"{'m1-1': 107.06, 'm2-1': 1.06, 'm3-1': 9.28}",92.8,47.726,57.006,inf,102.889,102.889
4,T3,BESTEFFORT,MISSED,m1-1,3.361,"{'m1-1': 103.2, 'm2-1': 0.94, 'm3-1': 9.42}",0.0,119.721,inf,119.721,103.361,103.361
5,T2,BESTEFFORT,MISSED,m2-1,3.912,"{'m1-1': 95.02, 'm2-1': 10.3, 'm3-1': 0.96}",0.0,120.07300000000001,inf,120.07300000000001,103.912,103.912
6,T1,BESTEFFORT,COMPLETED,m3-1,6.305,"{'m1-1': 102.33, 'm2-1': 93.26, 'm3-1': 9.32}",93.2,57.006,66.326,inf,106.305,106.305
7,T3,BESTEFFORT,MISSED,m1-1,14.656,"{'m1-1': 94.82, 'm2-1': 1.08, 'm3-1': 9.46}",0.0,119.721,inf,119.721,114.656,114.656
8,T3,BESTEFFORT,MISSED,m2-1,15.101,"{'m1-1': 105.79, 'm2-1': 1.04, 'm3-1': 10.12}",0.0,120.07300000000001,inf,120.07300000000001,115.101,115.101
9,T1,BESTEFFORT,COMPLETED,m3-1,15.985,"{'m1-1': 95.51, 'm2-1': 97.99, 'm3-1': 9.59}",95.9,66.326,75.916,inf,115.985,115.985
10,T3,BESTEFFORT,MISSED,m1-1,16.339,"{'m1-1': 107.14, 'm2-1': 0.96, 'm3-1': 10.6}",0.0,119.721,inf,119.721,116.339,116.339
11,T2,BESTEFFORT,MISSED,m2-1,16.676,"{'m1-1': 99.12, 'm2-1': 10.31, 'm3-1': 1.06}",0.0,120.07300000000001,inf,120.07300000000001,116.676,116.676
12,T2,BESTEFFORT,COMPLETED,m3-1,16.895,"{'m1-1': 96.17, 'm2-1': 10.49, 'm3-1': 1.0}",10.0,75.916,76.916,inf,116.895,116.895
13,T2,BESTEFFORT,MISSED,m1-1,19.2,"{'m1-1': 100.53, 'm2-1': 9.82, 'm3-1': 0.98}",0.0,119.721,inf,119.721,119.2,119.2
14,T2,BESTEFFORT,MISSED,m2-1,19.721,"{'m1-1': 99.37, 'm2-1': 10.25, 'm3-1': 1.06}",0.0,120.07300000000001,inf,120.07300000000001,119.721,119.721
15,T1,BESTEFFORT,COMPLETED,m3-1,20.073,"{'m1-1': 94.19, 'm2-1': 91.82, 'm3-1': 10.64}",106.4,76.916,87.556,inf,120.07300000000001,120.07300000000001
16,T2,BESTEFFORT,MISSED,m1-1,23.321,"{'m1-1': 101.17, 'm2-1': 9.29, 'm3-1': 0.99}",359.99999999999943,119.721,inf,123.321,123.321,123.321
17,T1,BESTEFFORT,MISSED,m2-1,25.056,"{'m1-1': 105.81, 'm2-1': 108.4, 'm3-1': 9.83}",1494.899999999997,120.07300000000001,inf,125.056,125.056,125.056
18,T1,BESTEFFORT,COMPLETED,m3-1,25.153,"{'m1-1': 93.54, 'm2-1': 102.01, 'm3-1': 9.38}",93.80000000000001,87.556,96.93599999999999,inf,125.15299999999999,125.15299999999999
19,T3,BESTEFFORT,MISSED,m2-1,25.599,"{'m1-1': 103.26, 'm2-1': 0.96, 'm3-1': 9.5}",162.9000000000019,125.056,inf,125.599,125.599,125.599
20,T3,BESTEFFORT,MISSED,m1-1,27.717,"{'m1-1': 103.11, 'm2-1': 1.04, 'm3-1': 10.22}",256.4000000000007,125.15299999999999,inf,127.717,127.717,127.717
21,T1,BESTEFFORT,COMPLETED,m3-1,30.164,"{'m1-1': 108.32, 'm2-1': 95.23, 'm3-1': 10.79}",107.89999999999999,106.43599999999999,117.226,inf,130.164,130.164
22,T2,BESTEFFORT,MISSED,m2-1,34.225,"{'m1-1': 104.02, 'm2-1': 9.5, 'm3-1': 1.06}",2275.799999999995,126.63900000000001,inf,134.225,134.225,134.225
23,T2,BESTEFFORT,COMPLETED,m3-1,37.908,"{'m1-1': 98.73, 'm2-1': 9.97, 'm3-1': 1.07}",10.700000000000001,118.286,119.356,inf,137.90800000000002,137.90800000000002
24,T3,BESTEFFORT,COMPLETED,m2-1,38.759,"{'m1-1': 106.88, 'm2-1': 1.07, 'm3-1': 10.51}",321.0,134.225,135.295,inf,138.75900000000001,138.75900000000001
25,T2,BESTEFFORT,COMPLETED,m3-1,46.669,"{'m1-1': 93.23, 'm2-1': 10.28, 'm3-1': 1.08}",10.8,130.946,132.026,inf,146.66899999999998,146.66899999999998
26,T2,BESTEFFORT,COMPLETED,m3-1,47.39,"{'m1-1': 102.43, 'm2-1': 10.33, 'm3-1': 1.03}",10.3,132.026,133.056,inf,147.39,147.39
27,T1,BESTEFFORT,MISSED,m2-1,51.494,"{'m1-1': 101.54, 'm2-1': 95.64, 'm3-1': 10.74}",4859.7000000000035,135.295,inf,151.494,151.494,151.494
28,T3,BESTEFFORT,COMPLETED,m3-1,63.702,"{'m1-1': 107.66, 'm2-1': 1.08, 'm3-1': 9.88}",98.80000000000001,143.79600000000002,153.67600000000002,inf,163.702,163.702
29,T1,BESTEFFORT,MISSED,m2-1,65.763,"{'m1-1': 96.48, 'm2-1': 98.94, 'm3-1': 9.94}",4280.700000000002,151.494,inf,165.763,165.763,165.763
