id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m2-1,0.0,"{'m1-1': 104.85, 'm2-1': 9.88, 'm3-1': 10.0}",2964.0000000000005,0.0,9.88,inf,100.0,100.0
1,T1,BESTEFFORT,COMPLETED,m3-1,0.1,"{'m1-1': 97.62, 'm2-1': 103.18, 'm3-1': 10.0}",100.0,0.1,10.1,inf,100.1,100.1
2,T1,BESTEFFORT,COMPLETED,m3-1,0.2,"{'m1-1': 107.64, 'm2-1': 92.0, 'm3-1': 10.0}",100.0,10.1,20.1,inf,100.2,100.2
3,T3,BESTEFFORT,COMPLETED,m2-1,0.3,"{'m1-1': 107.06, 'm2-1': 1.06, 'm3-1': 10.0}",318.0,9.88,10.940000000000001,inf,100.3,100.3
4,T3,BESTEFFORT,MISSED,m1-1,0.4,"{'m1-1': 103.2, 'm2-1': 0.94, 'm3-1': 10.0}",10000.0,0.4,inf,100.4,100.4,100.4
5,T2,BESTEFFORT,MISSED,m1-1,0.5,"{'m1-1': 95.02, 'm2-1': 10.3, 'm3-1': 10.0}",9.999999999999432,100.4,inf,100.5,100.5,100.5
6,T1,BESTEFFORT,COMPLETED,m3-1,0.6,"{'m1-1': 102.33, 'm2-1': 93.26, 'm3-1': 10.0}",100.0,30.1,40.1,inf,100.6,100.6
7,T3,BESTEFFORT,COMPLETED,m3-1,0.7,"{'m1-1': 94.82, 'm2-1': 1.08, 'm3-1': 10.0}",100.0,20.1,30.1,inf,100.7,100.7
8,T3,BESTEFFORT,COMPLETED,m2-1,0.8,"{'m1-1': 105.79, 'm2-1': 1.04, 'm3-1': 10.0}",312.0,10.940000000000001,11.98,inf,100.8,100.8
9,T1,BESTEFFORT,MISSED,m2-1,0.9,"{'m1-1': 100.0, 'm2-1': 90.0, 'm3-1': 10.0}",26676.0,11.98,inf,100.9,100.9,100.9
10,T1,BESTEFFORT,MISSED,m2-1,1.0,"{'m1-1': 100.0, 'm2-1': 93.26, 'm3-1': 9.9}",29.999999999998295,100.9,inf,101.0,101.0,101.0
