id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T3,BESTEFFORT,COMPLETED,m2-1,0.21,"{'m1-1': 103.31, 'm2-1': 0.94, 'm3-1': 10.3}",282.0,0.21,1.15,inf,100.21,100.21
1,T1,BESTEFFORT,COMPLETED,m3-1,0.359,"{'m1-1': 108.3, 'm2-1': 94.28, 'm3-1': 10.32}",103.2,0.359,10.679,inf,100.359,100.359
2,T3,BESTEFFORT,COMPLETED,m2-1,6.441,"{'m1-1': 106.02, 'm2-1': 1.04, 'm3-1': 10.54}",312.0,6.441,7.481,inf,106.441,106.441
3,T1,BESTEFFORT,COMPLETED,m3-1,6.509,"{'m1-1': 104.77, 'm2-1': 92.87, 'm3-1': 10.05}",100.5,10.679,20.729,inf,106.509,106.509
4,T2,BESTEFFORT,COMPLETED,m2-1,10.607,"{'m1-1': 100.65, 'm2-1': 9.84, 'm3-1': 0.93}",2952.0,10.607,20.447,inf,110.607,110.607
5,T1,BESTEFFORT,COMPLETED,m3-1,12.668,"{'m1-1': 92.59, 'm2-1': 102.71, 'm3-1': 10.48}",104.80000000000001,20.729,31.209,inf,112.668,112.668
6,T3,BESTEFFORT,COMPLETED,m2-1,15.691,"{'m1-1': 96.14, 'm2-1': 1.04, 'm3-1': 10.41}",312.0,20.447,21.487,inf,115.691,115.691
7,T1,BESTEFFORT,COMPLETED,m3-1,16.159,"{'m1-1': 104.49, 'm2-1': 103.18, 'm3-1': 10.81}",108.10000000000001,31.209,42.019,inf,116.15899999999999,116.15899999999999
8,T1,BESTEFFORT,COMPLETED,m3-1,17.529,"{'m1-1': 102.16, 'm2-1': 95.54, 'm3-1': 9.9}",99.0,42.019,51.919,inf,117.529,117.529
9,T2,BESTEFFORT,COMPLETED,m2-1,25.934,"{'m1-1': 101.46, 'm2-1': 10.29, 'm3-1': 1.06}",3086.9999999999995,25.934,36.224000000000004,inf,125.934,125.934
10,T1,BESTEFFORT,COMPLETED,m3-1,30.472,"{'m1-1': 102.55, 'm2-1': 94.88, 'm3-1': 9.72}",97.2,51.919,61.638999999999996,inf,130.472,130.472
11,T3,BESTEFFORT,COMPLETED,m2-1,31.245,"{'m1-1': 101.64, 'm2-1': 0.94, 'm3-1': 9.49}",282.0,36.224000000000004,37.164,inf,131.245,131.245
12,T1,BESTEFFORT,COMPLETED,m3-1,35.439,"{'m1-1': 105.09, 'm2-1': 99.85, 'm3-1': 10.83}",108.3,61.638999999999996,72.469,inf,135.439,135.439
13,T1,BESTEFFORT,MISSED,m1-1,35.488,"{'m1-1': 108.56, 'm2-1': 104.14, 'm3-1': 9.99}",10000.0,35.488,inf,135.488,135.488,135.488
14,T3,BESTEFFORT,COMPLETED,m2-1,41.99,"{'m1-1': 98.31, 'm2-1': 0.93, 'm3-1': 10.11}",279.0,41.99,42.92,inf,141.99,141.99
15,T3,BESTEFFORT,COMPLETED,m2-1,54.731,"{'m1-1': 95.11, 'm2-1': 1.06, 'm3-1': 10.35}",318.0,54.731,55.791000000000004,inf,154.731,154.731
16,T1,BESTEFFORT,COMPLETED,m3-1,56.342,"{'m1-1': 96.35, 'm2-1': 102.01, 'm3-1': 10.61}",106.1,72.469,83.079,inf,156.34199999999998,156.34199999999998
17,T3,BESTEFFORT,COMPLETED,m2-1,57.947,"{'m1-1': 93.24, 'm2-1': 1.02, 'm3-1': 10.2}",306.0,57.947,58.967000000000006,inf,157.947,157.947
