workload_id,total_no_of_tasks,mapped,cancelled,URG_missed,BE_missed,Completion%,xCompletion%,totalCompletion%,wasted_energy%,consumed_energy%,energy_per_completion%
0,100,98,1,0,16,72.0,0.0,72.0,73.13162962962963,100.78237037037037,1.399755144032922
1,100,94,0,0,10,72.0,0.0,72.0,72.99553703703704,101.76268518518519,1.4133706275720166
2,100,93,0,0,9,72.0,0.0,72.0,55.56009259259259,103.44387962962966,1.4367205504115232
3,100,95,5,0,16,72.0,0.0,72.0,69.55768518518516,104.9178564814815,1.4571924511316874
4,100,97,0,0,12,73.0,0.0,73.0,63.69361111111112,100.2080740740741,1.372713343480467
5,100,89,0,0,12,65.0,0.0,65.0,80.41203703703704,100.25030092592597,1.5423123219373227
6,100,86,0,0,12,63.0,0.0,63.0,89.51898148148146,112.75494907407406,1.789761096413874
7,100,101,0,0,18,71.0,0.0,71.0,71.37988888888889,102.93737037037036,1.4498221178925403
8,100,94,0,0,2,80.0,0.0,80.0,30.00546296296296,100.36221296296308,1.2545276620370382
9,100,87,0,0,11,65.0,0.0,65.0,50.9737962962963,104.46158333333338,1.607101282051283
10,100,99,1,0,17,74.0,0.0,74.0,72.37398148148145,100.61507870370363,1.3596632257257248
11,100,98,0,0,13,73.0,0.0,73.0,67.98648148148148,100.87165740740738,1.3818035261288684
12,100,96,0,0,11,73.0,0.0,73.0,63.121388888888895,112.6894444444445,1.543691019786911
13,100,100,0,0,12,79.0,0.0,79.0,47.40824074074075,100.70457407407409,1.2747414439756213
14,100,90,3,0,9,69.0,0.0,69.0,46.291759259259265,109.18749537037036,1.5824274691358022
15,100,98,2,0,16,74.0,0.0,74.0,47.73370370370369,104.35815740740738,1.4102453703703701
16,100,99,1,0,10,80.0,0.0,80.0,39.447685185185186,104.85197685185175,1.3106497106481467
17,100,85,1,0,11,62.0,0.0,62.0,48.0223148148148,101.18387037037037,1.6319979091995218
18,100,91,0,0,13,67.0,0.0,67.0,61.36444444444443,100.08606944444445,1.4938219320066335
19,100,94,0,0,8,74.0,0.0,74.0,39.38009259259261,107.16411111111121,1.448163663663665
20,100,88,0,0,12,64.0,0.0,64.0,71.03296296296294,100.26537499999999,1.5666464843749999
21,100,99,0,0,12,75.0,0.0,75.0,60.13027777777778,102.24172685185184,1.363223024691358
22,100,87,0,0,13,67.0,0.0,67.0,43.70499999999999,100.95974074074066,1.5068618021006068
23,100,100,2,0,16,73.0,0.0,73.0,73.9197222222222,100.32439351851852,1.374306760527651
24,100,100,0,0,11,77.0,0.0,77.0,57.25759259259259,104.23888425925934,1.3537517436267446
25,100,93,3,0,11,75.0,0.0,75.0,39.24611111111111,104.99346296296295,1.3999128395061728
26,100,98,0,0,11,75.0,0.0,75.0,31.766935185185176,104.80359259259258,1.397381234567901
27,100,93,7,0,18,72.0,0.0,72.0,69.13009259259259,101.55521296296293,1.4104890689300407
28,100,93,2,0,16,69.0,0.0,69.0,88.61722222222222,102.38810185185187,1.48388553408481
29,100,90,0,0,14,66.0,0.0,66.0,76.17851851851852,102.1229629629629,1.5473176206509534
