id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m3-1,0,"{'m1-1': 104.85, 'm2-1': 9.88, 'm3-1': 0.92}",9.200000000000001,0,0.92,inf,100.0,100.0
1,T1,BESTEFFORT,MISSED,m3-1,0,"{'m1-1': 97.62, 'm2-1': 103.18, 'm3-1': 10.3}",0.0,100.0,inf,100.0,100.0,100.0
2,T1,BESTEFFORT,COMPLETED,m3-1,0,"{'m1-1': 107.64, 'm2-1': 92.0, 'm3-1': 9.44}",94.39999999999999,0.92,10.36,inf,100.0,100.0
3,T3,BESTEFFORT,MISSED,m2-1,0,"{'m1-1': 107.06, 'm2-1': 1.06, 'm3-1': 9.28}",0.0,100.0,inf,100.0,100.0,100.0
4,T3,BESTEFFORT,MISSED,m2-1,0,"{'m1-1': 103.2, 'm2-1': 0.94, 'm3-1': 9.42}",0.0,100.0,inf,100.0,100.0,100.0
5,T2,BESTEFFORT,MISSED,m3-1,0,"{'m1-1': 95.02, 'm2-1': 10.3, 'm3-1': 0.96}",0.0,100.0,inf,100.0,100.0,100.0
6,T1,BESTEFFORT,COMPLETED,m3-1,0,"{'m1-1': 102.33, 'm2-1': 93.26, 'm3-1': 9.32}",93.2,10.36,19.68,inf,100.0,100.0
7,T3,BESTEFFORT,MISSED,m2-1,0,"{'m1-1': 94.82, 'm2-1': 1.08, 'm3-1': 9.46}",0.0,100.0,inf,100.0,100.0,100.0
8,T3,BESTEFFORT,MISSED,m2-1,0,"{'m1-1': 105.79, 'm2-1': 1.04, 'm3-1': 10.12}",0.0,100.0,inf,100.0,100.0,100.0
9,T1,BESTEFFORT,MISSED,m3-1,0,"{'m1-1': 95.51, 'm2-1': 97.99, 'm3-1': 9.59}",0.0,100.0,inf,100.0,100.0,100.0
10,T3,BESTEFFORT,MISSED,m2-1,0,"{'m1-1': 107.14, 'm2-1': 0.96, 'm3-1': 10.6}",0.0,100.0,inf,100.0,100.0,100.0
11,T2,BESTEFFORT,MISSED,m3-1,0,"{'m1-1': 99.12, 'm2-1': 10.31, 'm3-1': 1.06}",0.0,100.0,inf,100.0,100.0,100.0
12,T2,BESTEFFORT,MISSED,m3-1,0,"{'m1-1': 96.17, 'm2-1': 10.49, 'm3-1': 1.0}",0.0,100.0,inf,100.0,100.0,100.0
13,T2,BESTEFFORT,MISSED,m3-1,0,"{'m1-1': 100.53, 'm2-1': 9.82, 'm3-1': 0.98}",0.0,100.0,inf,100.0,100.0,100.0
14,T2,BESTEFFORT,COMPLETED,m2-1,0,"{'m1-1': 99.37, 'm2-1': 10.25, 'm3-1': 1.06}",3075.0,0,10.25,inf,100.0,100.0
15,T1,BESTEFFORT,MISSED,m3-1,0,"{'m1-1': 94.19, 'm2-1': 91.82, 'm3-1': 10.64}",0.0,100.0,inf,100.0,100.0,100.0
16,T2,BESTEFFORT,MISSED,m3-1,0,"{'m1-1': 101.17, 'm2-1': 9.29, 'm3-1': 0.99}",0.0,100.0,inf,100.0,100.0,100.0
17,T1,BESTEFFORT,MISSED,m3-1,0,"{'m1-1': 105.81, 'm2-1': 108.4, 'm3-1': 9.83}",0.0,100.0,inf,100.0,100.0,100.0
18,T1,BESTEFFORT,MISSED,m3-1,0,"{'m1-1': 93.54, 'm2-1': 102.01, 'm3-1': 9.38}",0.0,100.0,inf,100.0,100.0,100.0
19,T3,BESTEFFORT,MISSED,m2-1,0,"{'m1-1': 103.26, 'm2-1': 0.96, 'm3-1': 9.5}",0.0,100.0,inf,100.0,100.0,100.0
20,T3,BESTEFFORT,MISSED,m2-1,0,"{'m1-1': 103.11, 'm2-1': 1.04, 'm3-1': 10.22}",0.0,100.0,inf,100.0,100.0,100.0
