id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m1-1,5.482,"{'m1-1': 0.932, 'm2-1': 5.006, 'm3-1': 9.316}",93.2,5.482,6.414000000000001,inf,55.482,55.482
1,T1,BESTEFFORT,COMPLETED,m2-1,5.814,"{'m1-1': 1.004, 'm2-1': 5.061, 'm3-1': 10.487}",1518.3,5.814,10.875,inf,55.814,55.814
2,T4,BESTEFFORT,COMPLETED,m3-1,10.679,"{'m1-1': 0.986, 'm2-1': 4.7, 'm3-1': 10.723}",107.23,10.679,21.402,inf,60.679,60.679
3,T3,BESTEFFORT,COMPLETED,m1-1,11.728,"{'m1-1': 1.07, 'm2-1': 4.998, 'm3-1': 9.39}",107.0,11.728,12.798,inf,61.728,61.728
4,T4,BESTEFFORT,COMPLETED,m2-1,14.931,"{'m1-1': 1.001, 'm2-1': 5.25, 'm3-1': 10.169}",1575.0,14.931,20.180999999999997,inf,64.931,64.931
5,T1,BESTEFFORT,COMPLETED,m3-1,26.387,"{'m1-1': 1.029, 'm2-1': 5.262, 'm3-1': 10.074}",100.74,26.387,36.461,inf,76.387,76.387
6,T4,BESTEFFORT,COMPLETED,m1-1,35.869,"{'m1-1': 0.986, 'm2-1': 5.405, 'm3-1': 10.005}",98.6,35.869,36.855,inf,85.869,85.869
7,T3,BESTEFFORT,COMPLETED,m2-1,42.426,"{'m1-1': 0.933, 'm2-1': 4.598, 'm3-1': 10.488}",1379.3999999999999,42.426,47.024,inf,92.426,92.426
8,T4,BESTEFFORT,COMPLETED,m3-1,47.208,"{'m1-1': 0.97, 'm2-1': 5.1, 'm3-1': 9.281}",92.81,47.208,56.489,inf,97.208,97.208
9,T3,BESTEFFORT,COMPLETED,m1-1,53.595,"{'m1-1': 1.033, 'm2-1': 4.791, 'm3-1': 10.092}",103.3,53.595,54.628,inf,103.595,103.595
10,T3,BESTEFFORT,COMPLETED,m2-1,54.182,"{'m1-1': 1.039, 'm2-1': 4.958, 'm3-1': 10.668}",1487.4,54.182,59.14,inf,104.182,104.182
11,T2,BESTEFFORT,COMPLETED,m3-1,55.097,"{'m1-1': 0.985, 'm2-1': 4.773, 'm3-1': 10.387}",103.87,56.489,66.876,inf,105.09700000000001,105.09700000000001
12,T4,BESTEFFORT,COMPLETED,m1-1,58.148,"{'m1-1': 1.037, 'm2-1': 5.148, 'm3-1': 9.668}",103.69999999999999,58.148,59.185,inf,108.148,108.148
13,T2,BESTEFFORT,COMPLETED,m2-1,61.364,"{'m1-1': 0.95, 'm2-1': 5.299, 'm3-1': 9.421}",1589.7,61.364,66.663,inf,111.364,111.364
14,T4,BESTEFFORT,COMPLETED,m3-1,64.899,"{'m1-1': 1.016, 'm2-1': 5.146, 'm3-1': 10.266}",102.66,66.876,77.14200000000001,inf,114.899,114.899
15,T1,BESTEFFORT,COMPLETED,m1-1,65.994,"{'m1-1': 1.004, 'm2-1': 5.168, 'm3-1': 10.329}",100.4,65.994,66.998,inf,115.994,115.994
16,T1,BESTEFFORT,COMPLETED,m2-1,68.115,"{'m1-1': 0.984, 'm2-1': 4.609, 'm3-1': 10.607}",1382.7,68.115,72.72399999999999,inf,118.115,118.115
17,T4,BESTEFFORT,COMPLETED,m3-1,69.182,"{'m1-1': 0.936, 'm2-1': 4.687, 'm3-1': 9.906}",99.06,77.14200000000001,87.04800000000002,inf,119.182,119.182
18,T4,BESTEFFORT,COMPLETED,m1-1,70.967,"{'m1-1': 0.991, 'm2-1': 4.835, 'm3-1': 10.63}",99.1,70.967,71.958,inf,120.967,120.967
19,T2,BESTEFFORT,COMPLETED,m2-1,72.128,"{'m1-1': 1.071, 'm2-1': 5.015, 'm3-1': 9.64}",1504.5,72.72399999999999,77.73899999999999,inf,122.128,122.128
20,T1,BESTEFFORT,COMPLETED,m3-1,80.535,"{'m1-1': 1.031, 'm2-1': 4.892, 'm3-1': 9.587}",95.87,87.04800000000002,96.63500000000002,inf,130.535,130.535
21,T1,BESTEFFORT,COMPLETED,m1-1,80.582,"{'m1-1': 1.0, 'm2-1': 5.166, 'm3-1': 10.24}",100.0,80.582,81.582,inf,130.582,130.582
22,T1,BESTEFFORT,COMPLETED,m2-1,93.453,"{'m1-1': 0.932, 'm2-1': 5.093, 'm3-1': 10.138}",1527.9,93.453,98.546,inf,143.453,143.453
23,T3,BESTEFFORT,COMPLETED,m3-1,94.941,"{'m1-1': 0.965, 'm2-1': 5.4, 'm3-1': 10.717}",107.17,96.63500000000002,107.35200000000002,inf,144.941,144.941
24,T2,BESTEFFORT,COMPLETED,m1-1,105.693,"{'m1-1': 1.026, 'm2-1': 5.217, 'm3-1': 9.97}",102.60000000000001,105.693,106.719,inf,155.69299999999998,155.69299999999998
25,T1,BESTEFFORT,COMPLETED,m2-1,107.488,"{'m1-1': 0.994, 'm2-1': 5.329, 'm3-1': 10.158}",1598.6999999999998,107.488,112.817,inf,157.488,157.488
26,T3,BESTEFFORT,COMPLETED,m3-1,110.611,"{'m1-1': 0.964, 'm2-1': 5.126, 'm3-1': 9.209}",92.09,110.611,119.82000000000001,inf,160.611,160.611
27,T3,BESTEFFORT,COMPLETED,m1-1,115.048,"{'m1-1': 0.955, 'm2-1': 4.641, 'm3-1': 10.003}",95.5,115.048,116.003,inf,165.048,165.048
28,T3,BESTEFFORT,COMPLETED,m2-1,124.194,"{'m1-1': 1.03, 'm2-1': 4.604, 'm3-1': 10.344}",1381.2,124.194,128.798,inf,174.19400000000002,174.19400000000002
29,T1,BESTEFFORT,COMPLETED,m3-1,126.583,"{'m1-1': 0.921, 'm2-1': 5.248, 'm3-1': 9.437}",94.36999999999999,126.583,136.02,inf,176.583,176.583
30,T3,BESTEFFORT,COMPLETED,m1-1,128.956,"{'m1-1': 0.944, 'm2-1': 5.205, 'm3-1': 9.73}",94.39999999999999,128.956,129.89999999999998,inf,178.956,178.956
31,T2,BESTEFFORT,COMPLETED,m2-1,131.648,"{'m1-1': 0.927, 'm2-1': 4.926, 'm3-1': 9.743}",1477.8,131.648,136.57399999999998,inf,181.648,181.648
32,T1,BESTEFFORT,COMPLETED,m3-1,137.319,"{'m1-1': 1.058, 'm2-1': 4.928, 'm3-1': 9.929}",99.29,137.319,147.248,inf,187.319,187.319
33,T3,BESTEFFORT,COMPLETED,m1-1,139.145,"{'m1-1': 0.978, 'm2-1': 5.17, 'm3-1': 10.329}",97.8,139.145,140.12300000000002,inf,189.145,189.145
34,T3,BESTEFFORT,COMPLETED,m2-1,143.538,"{'m1-1': 1.029, 'm2-1': 4.645, 'm3-1': 10.304}",1393.4999999999998,143.538,148.18300000000002,inf,193.538,193.538
35,T3,BESTEFFORT,COMPLETED,m3-1,145.712,"{'m1-1': 0.946, 'm2-1': 4.842, 'm3-1': 9.575}",95.75,147.248,156.82299999999998,inf,195.712,195.712
36,T1,BESTEFFORT,COMPLETED,m1-1,154.877,"{'m1-1': 1.082, 'm2-1': 4.823, 'm3-1': 9.702}",108.2,154.877,155.959,inf,204.877,204.877
37,T3,BESTEFFORT,COMPLETED,m2-1,158.523,"{'m1-1': 1.054, 'm2-1': 4.97, 'm3-1': 9.267}",1491.0,158.523,163.493,inf,208.523,208.523
38,T3,BESTEFFORT,COMPLETED,m3-1,158.652,"{'m1-1': 1.009, 'm2-1': 4.759, 'm3-1': 10.55}",105.5,158.652,169.202,inf,208.652,208.652
39,T4,BESTEFFORT,COMPLETED,m1-1,160.566,"{'m1-1': 1.01, 'm2-1': 4.906, 'm3-1': 10.287}",101.0,160.566,161.576,inf,210.566,210.566
40,T1,BESTEFFORT,COMPLETED,m2-1,166.083,"{'m1-1': 1.006, 'm2-1': 4.665, 'm3-1': 9.92}",1399.5,166.083,170.748,inf,216.083,216.083
41,T1,BESTEFFORT,COMPLETED,m3-1,166.41,"{'m1-1': 1.028, 'm2-1': 4.625, 'm3-1': 10.401}",104.00999999999999,169.202,179.603,inf,216.41,216.41
42,T4,BESTEFFORT,COMPLETED,m1-1,177.433,"{'m1-1': 1.084, 'm2-1': 5.048, 'm3-1': 9.984}",108.4,177.433,178.517,inf,227.433,227.433
43,T4,BESTEFFORT,COMPLETED,m2-1,177.5,"{'m1-1': 0.961, 'm2-1': 4.656, 'm3-1': 9.18}",1396.8,177.5,182.156,inf,227.5,227.5
44,T4,BESTEFFORT,COMPLETED,m3-1,179.52,"{'m1-1': 0.932, 'm2-1': 5.254, 'm3-1': 9.346}",93.46000000000001,179.603,188.949,inf,229.52,229.52
45,T1,BESTEFFORT,COMPLETED,m1-1,182.012,"{'m1-1': 1.038, 'm2-1': 5.124, 'm3-1': 9.631}",103.8,182.012,183.05,inf,232.012,232.012
46,T4,BESTEFFORT,COMPLETED,m2-1,184.997,"{'m1-1': 1.07, 'm2-1': 4.768, 'm3-1': 9.475}",1430.3999999999999,184.997,189.76500000000001,inf,234.997,234.997
