id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,T2,BESTEFFORT,COMPLETED,m2-1,0.049,"{'m1-1': 0.041, 'm2-1': 0.042, 'm3-1': 7.725}",12.600000000000001,0.049,0.091,inf,50.049,50.049
1,T3,BESTEFFORT,COMPLETED,m2-1,0.061,"{'m1-1': 0.91, 'm2-1': 0.775, 'm3-1': 0.996}",232.5,0.091,0.866,inf,50.061,50.061
2,T3,BESTEFFORT,COMPLETED,m1-1,0.21,"{'m1-1': 0.894, 'm2-1': 0.719, 'm3-1': 1.018}",89.4,0.21,1.104,inf,50.21,50.21
3,T1,BESTEFFORT,COMPLETED,m2-1,0.314,"{'m1-1': 0.061, 'm2-1': 0.05, 'm3-1': 7.775}",15.0,0.866,0.916,inf,50.314,50.314
4,T1,BESTEFFORT,COMPLETED,m2-1,0.444,"{'m1-1': 0.057, 'm2-1': 0.053, 'm3-1': 8.42}",15.9,0.916,0.9690000000000001,inf,50.444,50.444
5,T2,BESTEFFORT,COMPLETED,m2-1,0.479,"{'m1-1': 0.046, 'm2-1': 0.044, 'm3-1': 8.354}",13.2,0.9690000000000001,1.0130000000000001,inf,50.479,50.479
6,T3,BESTEFFORT,COMPLETED,m3-1,0.534,"{'m1-1': 0.894, 'm2-1': 0.827, 'm3-1': 0.95}",9.5,0.534,1.484,inf,50.534,50.534
7,T3,BESTEFFORT,COMPLETED,m1-1,0.588,"{'m1-1': 0.845, 'm2-1': 0.704, 'm3-1': 0.996}",84.5,1.104,1.949,inf,50.588,50.588
8,T1,BESTEFFORT,COMPLETED,m1-1,0.665,"{'m1-1': 0.055, 'm2-1': 0.051, 'm3-1': 7.685}",5.5,1.949,2.004,inf,50.665,50.665
9,T2,BESTEFFORT,COMPLETED,m1-1,0.667,"{'m1-1': 0.046, 'm2-1': 0.04, 'm3-1': 8.369}",4.6,2.004,2.05,inf,50.667,50.667
10,T4,BESTEFFORT,COMPLETED,m3-1,0.717,"{'m1-1': 0.175, 'm2-1': 0.171, 'm3-1': 0.186}",1.8599999999999999,1.484,1.67,inf,50.717,50.717
11,T3,BESTEFFORT,COMPLETED,m3-1,0.86,"{'m1-1': 0.893, 'm2-1': 0.731, 'm3-1': 0.986}",9.86,1.67,2.6559999999999997,inf,50.86,50.86
12,T4,BESTEFFORT,COMPLETED,m2-1,0.873,"{'m1-1': 0.175, 'm2-1': 0.178, 'm3-1': 0.168}",53.4,1.0130000000000001,1.191,inf,50.873,50.873
13,T2,BESTEFFORT,COMPLETED,m2-1,1.047,"{'m1-1': 0.042, 'm2-1': 0.044, 'm3-1': 7.812}",13.2,1.191,1.235,inf,51.047,51.047
14,T4,BESTEFFORT,COMPLETED,m2-1,1.064,"{'m1-1': 0.171, 'm2-1': 0.178, 'm3-1': 0.179}",53.4,1.235,1.413,inf,51.064,51.064
15,T4,BESTEFFORT,COMPLETED,m2-1,1.211,"{'m1-1': 0.169, 'm2-1': 0.178, 'm3-1': 0.18}",53.4,1.413,1.591,inf,51.211,51.211
16,T1,BESTEFFORT,COMPLETED,m2-1,1.41,"{'m1-1': 0.056, 'm2-1': 0.046, 'm3-1': 8.783}",13.799999999999999,1.591,1.637,inf,51.41,51.41
17,T1,BESTEFFORT,COMPLETED,m2-1,1.412,"{'m1-1': 0.053, 'm2-1': 0.047, 'm3-1': 8.202}",14.1,1.637,1.684,inf,51.412,51.412
18,T1,BESTEFFORT,COMPLETED,m2-1,1.464,"{'m1-1': 0.057, 'm2-1': 0.049, 'm3-1': 8.802}",14.700000000000001,1.684,1.7329999999999999,inf,51.464,51.464
19,T2,BESTEFFORT,COMPLETED,m1-1,1.502,"{'m1-1': 0.047, 'm2-1': 0.042, 'm3-1': 7.994}",4.7,2.05,2.097,inf,51.502,51.502
20,T4,BESTEFFORT,COMPLETED,m3-1,1.545,"{'m1-1': 0.174, 'm2-1': 0.169, 'm3-1': 0.167}",1.6700000000000002,2.6559999999999997,2.8229999999999995,inf,51.545,51.545
21,T3,BESTEFFORT,COMPLETED,m2-1,1.876,"{'m1-1': 0.906, 'm2-1': 0.791, 'm3-1': 0.972}",237.3,1.876,2.667,inf,51.876,51.876
22,T1,BESTEFFORT,COMPLETED,m2-1,1.908,"{'m1-1': 0.053, 'm2-1': 0.051, 'm3-1': 8.395}",15.299999999999999,2.667,2.718,inf,51.908,51.908
23,T2,BESTEFFORT,COMPLETED,m1-1,1.961,"{'m1-1': 0.043, 'm2-1': 0.045, 'm3-1': 8.887}",4.3,2.097,2.14,inf,51.961,51.961
24,T4,BESTEFFORT,COMPLETED,m1-1,2.025,"{'m1-1': 0.173, 'm2-1': 0.18, 'm3-1': 0.174}",17.299999999999997,2.14,2.313,inf,52.025,52.025
25,T3,BESTEFFORT,COMPLETED,m1-1,2.067,"{'m1-1': 0.901, 'm2-1': 0.816, 'm3-1': 0.965}",90.10000000000001,2.313,3.2140000000000004,inf,52.067,52.067
26,T4,BESTEFFORT,COMPLETED,m2-1,2.103,"{'m1-1': 0.162, 'm2-1': 0.177, 'm3-1': 0.16}",53.099999999999994,2.718,2.895,inf,52.103,52.103
27,T3,BESTEFFORT,COMPLETED,m2-1,2.121,"{'m1-1': 0.866, 'm2-1': 0.71, 'm3-1': 0.95}",213.0,2.895,3.605,inf,52.121,52.121
28,T4,BESTEFFORT,COMPLETED,m3-1,2.302,"{'m1-1': 0.173, 'm2-1': 0.159, 'm3-1': 0.18}",1.7999999999999998,2.8229999999999995,3.0029999999999997,inf,52.302,52.302
29,T4,BESTEFFORT,COMPLETED,m3-1,2.446,"{'m1-1': 0.155, 'm2-1': 0.181, 'm3-1': 0.164}",1.6400000000000001,3.0029999999999997,3.167,inf,52.446,52.446
30,T1,BESTEFFORT,COMPLETED,m1-1,2.608,"{'m1-1': 0.054, 'm2-1': 0.052, 'm3-1': 8.057}",5.4,3.2140000000000004,3.2680000000000002,inf,52.608,52.608
31,T1,BESTEFFORT,COMPLETED,m1-1,2.666,"{'m1-1': 0.053, 'm2-1': 0.05, 'm3-1': 8.067}",5.3,3.2680000000000002,3.321,inf,52.666,52.666
32,T4,BESTEFFORT,COMPLETED,m3-1,2.976,"{'m1-1': 0.178, 'm2-1': 0.17, 'm3-1': 0.173}",1.73,3.167,3.34,inf,52.976,52.976
33,T1,BESTEFFORT,COMPLETED,m1-1,3.009,"{'m1-1': 0.056, 'm2-1': 0.052, 'm3-1': 8.553}",5.6000000000000005,3.321,3.3770000000000002,inf,53.009,53.009
34,T2,BESTEFFORT,COMPLETED,m2-1,3.201,"{'m1-1': 0.046, 'm2-1': 0.039, 'm3-1': 8.545}",11.7,3.605,3.644,inf,53.201,53.201
35,T2,BESTEFFORT,COMPLETED,m1-1,3.607,"{'m1-1': 0.042, 'm2-1': 0.04, 'm3-1': 7.94}",4.2,3.607,3.649,inf,53.607,53.607
36,T2,BESTEFFORT,COMPLETED,m2-1,3.895,"{'m1-1': 0.048, 'm2-1': 0.04, 'm3-1': 8.046}",12.0,3.895,3.935,inf,53.895,53.895
37,T1,BESTEFFORT,COMPLETED,m1-1,3.896,"{'m1-1': 0.06, 'm2-1': 0.05, 'm3-1': 7.673}",6.0,3.896,3.956,inf,53.896,53.896
38,T2,BESTEFFORT,COMPLETED,m2-1,3.931,"{'m1-1': 0.045, 'm2-1': 0.04, 'm3-1': 8.748}",12.0,3.935,3.975,inf,53.931,53.931
39,T1,BESTEFFORT,COMPLETED,m2-1,3.99,"{'m1-1': 0.058, 'm2-1': 0.049, 'm3-1': 8.518}",14.700000000000001,3.99,4.039000000000001,inf,53.99,53.99
40,T4,BESTEFFORT,COMPLETED,m1-1,4.062,"{'m1-1': 0.169, 'm2-1': 0.161, 'm3-1': 0.173}",16.900000000000002,4.062,4.231,inf,54.062,54.062
41,T1,BESTEFFORT,COMPLETED,m2-1,4.072,"{'m1-1': 0.059, 'm2-1': 0.046, 'm3-1': 8.612}",13.799999999999999,4.072,4.118,inf,54.072,54.072
42,T1,BESTEFFORT,COMPLETED,m2-1,4.118,"{'m1-1': 0.062, 'm2-1': 0.051, 'm3-1': 8.267}",15.299999999999999,4.118,4.1690000000000005,inf,54.118,54.118
43,T2,BESTEFFORT,COMPLETED,m2-1,4.127,"{'m1-1': 0.043, 'm2-1': 0.039, 'm3-1': 7.612}",11.7,4.1690000000000005,4.208,inf,54.127,54.127
