task_type,arrival_time
txt det,2.467
txt det,3.054
txt det,10.52
txt det,15.679
txt det,22.204
txt det,23.953
txt det,26.705
txt det,29.394
txt det,33.255
txt det,33.372
face rec,35.842
txt det,43.014
face rec,43.657
txt det,52.347
face rec,53.212
face rec,60.534
txt det,70.513
txt det,70.607
txt det,73.2
txt det,75.104
face rec,77.256
txt det,93.812
txt det,95.418
txt det,98.047
face rec,101.245
txt det,103.368
face rec,105.152
txt det,106.072
face rec,115.1
face rec,122.313
txt det,130.375
txt det,133.315
face rec,148.792
txt det,150.433
txt det,160.074
txt det,180.353
txt det,194.74
txt det,194.82
txt det,196.543
txt det,199.515
face rec,203.103
txt det,203.614
txt det,205.908
txt det,206.346
txt det,210.87
txt det,213.208
txt det,216.118
txt det,216.321
txt det,226.97
txt det,239.778
txt det,240.539
txt det,240.971
face rec,241.878
face rec,252.202
face rec,253.337
face rec,254.932
txt det,257.369
txt det,258.985
txt det,269.252
txt det,269.458
txt det,276.999
txt det,287.779
txt det,295.447
txt det,296.089
face rec,305.215
txt det,306.44
face rec,320.641
txt det,321.172
txt det,324.817
txt det,324.945
txt det,329.34
txt det,330.397
face rec,333.221
txt det,335.621
face rec,338.858
txt det,343.783
txt det,344.29
txt det,346.166
txt det,347.333
face rec,351.703
txt det,355.627
txt det,358.826
txt det,360.54
txt det,365.232
face rec,374.117
txt det,376.535
txt det,384.66
txt det,389.432
txt det,398.171
txt det,403.914
txt det,432.563
txt det,432.813
txt det,448.103
txt det,448.47
face rec,450.401
txt det,457.846
txt det,466.849
txt det,472.96
txt det,475.042
txt det,478.507
txt det,478.899
txt det,482.273
txt det,488.23
txt det,488.344
txt det,494.163
txt det,506.975
txt det,507.796
face rec,521.026
txt det,525.922
txt det,526.118
txt det,526.23
txt det,526.621
txt det,530.665
face rec,535.873
txt det,536.39
txt det,538.178
txt det,544.498
txt det,546.577
txt det,557.897
txt det,563.015
txt det,565.237
txt det,571.602
txt det,574.86
txt det,575.604
face rec,579.756
txt det,579.907
txt det,581.54
txt det,582.928
txt det,596.137
txt det,603.049
face rec,614.311
txt det,619.824
txt det,639.439
face rec,646.076
txt det,648.101
txt det,653.084
txt det,653.345
face rec,662.79
txt det,671.745
txt det,681.956
face rec,682.561
txt det,685.99
face rec,692.701
txt det,698.768
txt det,699.007
txt det,700.243
txt det,704.064
face rec,709.68
txt det,717.544
face rec,730.516
face rec,734.332
txt det,744.488
face rec,746.475
txt det,760.825
txt det,761.691
txt det,777.762
txt det,777.84
face rec,786.146
txt det,788.825
face rec,798.201
txt det,808.72
txt det,812.072
txt det,823.551
txt det,825.138
txt det,826.158
txt det,826.571
txt det,831.286
face rec,835.473
face rec,837.0
txt det,847.021
txt det,861.445
txt det,863.783
txt det,867.053
txt det,876.338
txt det,878.74
txt det,881.891
txt det,882.11
txt det,882.333
txt det,888.844
txt det,891.257
txt det,924.893
txt det,927.109
face rec,931.952
face rec,935.913
txt det,953.817
face rec,955.823
face rec,959.764
txt det,964.628
face rec,966.232
txt det,976.523
face rec,978.477
txt det,978.727
txt det,992.979
txt det,999.834
txt det,1000.892
face rec,1006.186
txt det,1020.192
txt det,1027.185
face rec,1032.307
txt det,1044.122
txt det,1044.469
face rec,1049.806
face rec,1051.175
txt det,1053.033
face rec,1053.056
face rec,1054.868
txt det,1057.817
txt det,1059.697
txt det,1062.906
txt det,1066.405
txt det,1067.796
txt det,1071.302
txt det,1071.339
txt det,1080.065
face rec,1082.951
txt det,1088.382
face rec,1091.198
txt det,1092.304
txt det,1097.732
txt det,1097.987
face rec,1098.285
txt det,1098.65
face rec,1105.474
txt det,1112.731
txt det,1118.667
txt det,1122.172
txt det,1140.141
txt det,1147.741
txt det,1148.33
txt det,1160.023
txt det,1163.1
txt det,1170.008
txt det,1172.601
txt det,1180.25
txt det,1182.576
