task_type,arrival_time
obj det,0.987
txt det,1.222
txt det,4.208
face rec,6.272
face rec,8.882
obj det,9.581
txt det,10.682
txt det,11.758
face rec,13.302
obj det,13.349
motion det,14.337
txt det,17.205
motion det,17.463
obj det,20.939
motion det,21.285
motion det,24.214
face rec,28.205
face rec,28.243
face rec,29.28
obj det,30.042
motion det,30.903
txt det,37.525
face rec,38.167
obj det,39.219
motion det,40.498
txt det,41.347
motion det,42.061
txt det,42.429
motion det,46.04
motion det,48.925
face rec,52.15
face rec,53.326
motion det,59.517
face rec,60.173
obj det,64.029
obj det,72.141
obj det,77.896
face rec,77.928
obj det,78.617
face rec,79.806
motion det,81.241
face rec,81.446
face rec,82.363
obj det,82.538
face rec,84.348
obj det,85.283
obj det,86.447
obj det,86.528
obj det,90.788
txt det,95.911
obj det,96.215
obj det,96.389
motion det,96.751
motion det,100.881
motion det,101.335
motion det,101.973
obj det,102.947
obj det,103.594
txt det,107.701
obj det,107.783
obj det,110.8
face rec,115.112
txt det,118.179
txt det,118.436
motion det,122.086
obj det,122.576
motion det,128.257
face rec,128.469
obj det,129.927
face rec,129.978
txt det,131.736
txt det,132.159
motion det,133.288
obj det,134.248
motion det,135.543
obj det,137.513
obj det,137.716
obj det,138.466
txt det,138.933
motion det,140.681
txt det,142.251
face rec,143.53
txt det,144.216
face rec,146.093
motion det,149.647
face rec,150.614
obj det,153.864
txt det,155.773
obj det,159.268
obj det,161.566
obj det,173.025
face rec,173.125
obj det,179.241
txt det,179.388
motion det,180.161
obj det,183.138
face rec,186.74
txt det,189.184
face rec,190.017
obj det,191.403
face rec,191.56
obj det,192.909
face rec,195.292
face rec,195.338
face rec,197.665
obj det,202.79
obj det,203.118
motion det,208.41
face rec,210.369
obj det,210.447
face rec,210.492
txt det,210.649
obj det,212.266
motion det,214.349
obj det,214.556
txt det,215.271
face rec,217.799
obj det,218.631
txt det,223.159
face rec,225.206
face rec,226.095
obj det,228.641
face rec,229.944
face rec,230.241
motion det,231.902
txt det,231.963
txt det,232.616
txt det,233.171
txt det,238.455
obj det,241.22
motion det,245.725
face rec,247.93
txt det,255.775
motion det,258.43
obj det,259.24
obj det,261.234
obj det,261.338
motion det,265.116
txt det,268.698
obj det,272.782
motion det,273.024
obj det,274.396
motion det,277.08
txt det,279.507
face rec,279.603
face rec,280.097
txt det,281.625
motion det,283.872
obj det,287.018
motion det,292.206
motion det,293.733
face rec,297.795
motion det,298.59
txt det,304.33
face rec,304.677
obj det,311.105
obj det,311.136
motion det,314.459
face rec,315.53
motion det,319.281
face rec,323.488
txt det,324.829
obj det,329.421
txt det,330.055
face rec,330.463
face rec,330.628
face rec,332.514
motion det,334.189
motion det,334.8
face rec,338.808
txt det,344.578
txt det,345.513
obj det,346.821
face rec,350.535
txt det,351.496
txt det,352.756
face rec,352.844
txt det,352.933
face rec,355.538
txt det,356.503
txt det,369.957
face rec,370.843
motion det,372.781
motion det,374.365
obj det,381.527
motion det,382.329
motion det,383.906
txt det,385.851
motion det,386.493
txt det,390.609
motion det,391.391
txt det,391.491
obj det,397.191
obj det,399.934
face rec,400.357
motion det,402.475
txt det,408.077
txt det,410.874
motion det,412.923
face rec,417.649
obj det,417.787
motion det,419.922
motion det,420.47
face rec,421.213
motion det,421.222
motion det,421.947
obj det,423.127
txt det,423.879
txt det,425.162
txt det,426.562
txt det,427.118
face rec,428.521
obj det,428.535
face rec,432.026
motion det,433.18
face rec,435.353
motion det,436.479
face rec,436.922
face rec,439.093
txt det,439.195
motion det,439.314
face rec,439.46
motion det,442.19
face rec,445.093
obj det,447.467
face rec,448.869
face rec,456.056
txt det,459.096
obj det,459.332
face rec,464.009
face rec,465.24
obj det,468.003
txt det,469.04
obj det,472.1
txt det,473.03
motion det,475.648
txt det,480.715
motion det,481.661
txt det,481.904
motion det,486.372
obj det,486.693
face rec,486.965
obj det,490.85
txt det,491.267
obj det,491.402
txt det,492.183
motion det,498.096
obj det,499.451
obj det,500.941
txt det,501.993
motion det,502.914
face rec,510.372
txt det,514.298
face rec,517.749
obj det,517.874
txt det,519.275
obj det,519.937
txt det,520.252
obj det,520.62
face rec,521.674
txt det,522.906
motion det,523.033
txt det,524.395
face rec,525.284
face rec,527.113
obj det,527.125
face rec,529.705
face rec,531.969
txt det,532.526
face rec,533.495
txt det,533.936
txt det,540.446
obj det,542.364
obj det,542.752
txt det,546.601
motion det,549.594
obj det,552.25
motion det,556.243
txt det,557.463
obj det,557.986
obj det,558.403
txt det,560.397
face rec,560.691
motion det,564.526
motion det,565.983
motion det,567.207
obj det,568.229
motion det,569.271
motion det,570.609
motion det,578.88
face rec,585.866
obj det,587.881
obj det,587.926
obj det,590.057
motion det,591.657
txt det,592.4
face rec,593.155
txt det,595.962
face rec,603.669
face rec,606.998
face rec,607.77
face rec,612.752
motion det,612.77
txt det,612.853
face rec,618.437
face rec,619.178
txt det,621.759
face rec,625.185
txt det,628.004
obj det,629.284
motion det,632.716
motion det,633.109
txt det,634.741
motion det,636.941
motion det,638.074
obj det,640.779
motion det,642.146
txt det,649.199
motion det,649.444
obj det,652.207
motion det,656.116
obj det,657.374
txt det,660.6
obj det,661.034
face rec,663.971
motion det,664.403
obj det,664.84
face rec,667.992
obj det,670.011
face rec,671.263
obj det,672.186
txt det,674.639
face rec,684.359
txt det,685.197
obj det,687.896
motion det,689.403
obj det,694.768
face rec,695.59
obj det,697.09
motion det,697.189
obj det,698.342
face rec,698.594
obj det,699.858
obj det,699.865
txt det,703.034
txt det,706.093
face rec,706.636
motion det,708.007
txt det,708.814
txt det,710.737
face rec,712.855
obj det,713.633
motion det,714.823
txt det,715.638
face rec,715.672
face rec,716.611
txt det,717.682
face rec,719.611
txt det,721.155
motion det,724.384
face rec,724.495
obj det,725.549
obj det,725.666
txt det,728.843
obj det,728.969
obj det,731.02
face rec,733.101
face rec,735.448
txt det,736.33
motion det,739.511
txt det,741.2
txt det,741.462
motion det,741.56
txt det,742.286
face rec,743.646
obj det,743.716
motion det,744.211
face rec,745.432
motion det,746.027
face rec,754.007
motion det,756.164
txt det,762.594
face rec,766.058
obj det,766.849
obj det,770.835
motion det,772.299
face rec,778.156
obj det,783.808
face rec,785.696
obj det,785.811
txt det,785.909
face rec,788.653
obj det,791.545
txt det,797.594
face rec,798.225
motion det,799.043
obj det,807.428
obj det,807.656
motion det,811.069
face rec,813.932
motion det,814.237
txt det,816.72
obj det,817.279
txt det,820.051
face rec,821.785
obj det,828.247
motion det,829.921
motion det,830.6
motion det,831.001
obj det,833.202
motion det,836.481
txt det,837.047
txt det,843.369
obj det,844.273
obj det,846.317
txt det,848.808
face rec,854.108
obj det,855.256
motion det,857.764
obj det,864.471
txt det,867.653
obj det,873.105
txt det,873.998
obj det,883.09
face rec,884.114
face rec,885.573
face rec,885.76
face rec,887.162
motion det,890.556
obj det,892.286
obj det,893.008
motion det,899.47
motion det,901.885
obj det,902.932
txt det,903.235
txt det,903.336
motion det,904.132
txt det,907.508
face rec,907.725
obj det,908.47
obj det,911.195
txt det,911.414
txt det,917.824
obj det,918.946
txt det,922.893
obj det,923.41
obj det,924.176
txt det,931.814
motion det,931.816
face rec,932.28
txt det,933.113
face rec,934.176
face rec,937.753
obj det,938.274
obj det,940.252
face rec,944.13
motion det,946.476
face rec,946.668
obj det,948.783
txt det,951.286
face rec,951.606
obj det,952.925
txt det,954.194
obj det,955.095
motion det,956.993
obj det,957.236
obj det,957.939
face rec,961.136
motion det,962.343
txt det,966.332
face rec,966.687
obj det,970.259
txt det,972.452
motion det,973.743
face rec,976.759
obj det,980.528
txt det,980.82
face rec,982.731
face rec,982.742
motion det,983.054
motion det,984.828
txt det,985.319
motion det,985.829
face rec,986.758
motion det,987.259
motion det,990.99
face rec,992.179
face rec,996.304
motion det,996.342
face rec,999.804
obj det,1000.846
obj det,1003.14
txt det,1003.582
motion det,1003.664
txt det,1004.105
face rec,1005.359
obj det,1009.212
obj det,1009.854
face rec,1010.072
motion det,1010.674
face rec,1010.83
txt det,1011.721
face rec,1013.387
motion det,1013.882
motion det,1013.897
txt det,1014.308
txt det,1018.089
motion det,1025.301
obj det,1026.093
motion det,1030.997
motion det,1032.19
face rec,1036.372
face rec,1036.587
face rec,1036.913
motion det,1037.352
face rec,1039.576
motion det,1043.519
txt det,1045.042
face rec,1046.561
motion det,1047.244
obj det,1049.318
txt det,1051.881
obj det,1052.125
obj det,1052.141
txt det,1056.505
txt det,1062.273
motion det,1069.975
obj det,1070.946
motion det,1072.963
obj det,1074.021
obj det,1074.261
txt det,1074.991
obj det,1075.916
obj det,1080.709
motion det,1083.094
obj det,1083.629
obj det,1083.789
face rec,1084.151
txt det,1085.617
motion det,1091.009
motion det,1098.144
obj det,1100.93
txt det,1101.538
obj det,1102.224
txt det,1108.393
txt det,1110.625
motion det,1114.247
obj det,1114.706
motion det,1114.715
motion det,1118.103
motion det,1119.721
motion det,1120.784
