task_type,cpu_1,gpu_1,tpu_1
T2,13.977,2.002,1.397
T3,17.07,0.506,3.146
T3,16.763,0.47,3.217
T1,10.696,1.0,0.469
T1,10.013,1.05,0.508
T2,15.441,2.105,1.511
T3,16.765,0.541,3.002
T3,15.854,0.46,3.146
T1,9.701,1.02,0.464
T2,15.494,1.916,1.514
T4,25.984,2.975,5.334
T3,16.743,0.477,3.116
T4,25.925,3.089,4.834
T2,14.253,2.12,1.413
T4,25.389,3.088,5.133
T4,25.101,3.101,5.164
T1,9.842,0.922,0.53
T1,9.357,0.937,0.495
T1,9.914,0.967,0.531
T2,16.067,2.006,1.446
T4,25.783,2.935,4.794
T3,16.995,0.517,3.072
T1,9.323,1.019,0.507
T2,14.481,2.16,1.608
T4,25.64,3.13,4.985
T3,16.903,0.533,3.047
T4,24.102,3.075,4.604
T3,16.241,0.464,3.001
T4,25.747,2.762,5.172
T4,23.018,3.149,4.719
