task_type,m1_1,m2_1,m3_1,m4_1
obj det,18.635,5.006,0.932,5.021
obj det,21.27,4.69,0.986,5.384
obj det,20.864,5.361,1.0,4.695
obj det,20.027,4.65,1.057,5.262
obj det,19.506,5.021,1.042,5.301
speech rec,16.119,2.792,2.016,6.507
speech rec,13.871,3.211,1.856,5.984
speech rec,14.21,2.816,1.944,6.492
speech rec,13.858,3.022,1.976,5.692
speech rec,14.751,3.124,2.07,5.977
speech rec,14.619,3.074,1.972,6.435
speech rec,14.244,3.031,2.134,5.797
speech rec,14.5,2.801,1.909,6.059
speech rec,15.145,3.081,2.028,5.995
speech rec,15.73,3.047,2.048,6.499
speech rec,14.167,2.978,2.085,5.601
speech rec,14.434,3.127,1.834,6.05
speech rec,15.296,2.923,1.971,6.5
speech rec,14.094,2.909,2.134,6.108
speech rec,14.782,2.825,1.854,6.289
face rec,25.408,6.421,2.923,6.522
face rec,22.965,6.539,3.194,7.376
face rec,25.441,7.514,3.189,6.77
face rec,26.333,7.331,2.772,6.857
face rec,25.543,6.913,2.839,6.784
face rec,25.381,6.779,3.22,6.748
face rec,27.079,6.556,3.094,6.671
face rec,26.043,6.601,3.143,6.51
face rec,24.531,6.633,3.168,6.961
face rec,26.681,6.944,3.082,6.453
