task_type,m1_1,m2_1,m3_1,m4_1
T2,16.566,42.069,103.012,111.03
T2,18.908,39.412,109.032,119.074
T2,18.547,45.058,110.538,103.827
T1,14.453,31.729,94.843,94.467
T2,17.34,42.195,115.268,117.237
T4,25.917,53.053,151.21,162.674
T3,19.402,53.083,121.103,130.141
T4,22.848,53.498,145.772,162.299
T2,16.425,42.335,109.274,104.889
T2,17.484,43.754,114.435,110.155
T3,20.449,50.819,128.688,139.948
T2,16.883,42.455,117.977,106.835
T1,13.953,31.852,85.702,90.646
T1,14.573,35.039,91.034,89.699
T1,15.137,34.654,91.941,97.239
T4,22.778,56.59,156.353,140.034
T4,23.208,59.406,137.517,151.254
T2,18.13,40.94,108.964,119.787
T4,22.661,55.273,160.067,152.696
T2,17.52,39.569,102.477,115.901
T3,21.323,45.49,127.136,121.578
T3,19.273,46.323,138.938,137.502
T4,24.543,61.191,159.456,145.062
T1,15.203,35.729,82.941,87.942
T3,21.437,48.976,123.471,126.468
T1,14.654,33.035,96.367,86.537
T4,26.123,53.39,154.707,142.956
T3,21.857,46.765,136.732,121.361
T3,20.587,46.991,137.817,129.762
T1,15.404,33.841,92.222,82.762
T2,17.361,41.384,117.776,103.382
T3,22.194,52.704,137.642,133.066
T3,19.609,52.284,135.673,124.148
T2,18.525,44.766,103.329,111.32
T1,15.263,31.204,85.605,82.859
T1,14.357,32.593,86.487,92.774
T3,22.261,45.306,127.773,131.116
T2,18.749,40.404,107.192,105.852
T4,24.494,56.198,148.849,148.912
T4,24.111,61.703,144.464,145.841
T2,16.529,42.346,110.289,118.497
T3,21.782,52.681,119.341,139.87
T4,24.109,53.486,159.759,155.869
T4,24.015,59.004,150.623,150.744
T2,18.408,44.122,112.33,115.902
T4,23.483,53.036,141.498,153.08
T3,20.007,50.468,124.184,131.412
T2,16.998,38.782,105.587,109.932
T3,22.385,46.972,128.18,129.698
T2,19.307,44.62,117.514,114.212
T1,14.786,33.096,87.874,83.939
T4,22.769,53.4,145.021,151.761
T3,22.228,50.89,135.604,127.848
T1,14.746,35.28,82.506,82.286
T2,17.603,42.017,119.718,103.0
T3,19.583,50.987,141.737,121.799
T3,21.998,49.557,141.718,139.746
T4,22.516,54.227,159.335,160.575
T3,22.145,47.728,120.636,126.486
T4,25.445,60.158,159.794,160.484
T4,23.96,60.114,158.621,138.986
T2,16.395,41.097,108.633,107.535
T1,14.429,31.366,97.311,93.573
T1,14.245,36.533,84.765,97.142
T2,18.161,42.536,117.213,103.277
T1,14.595,31.573,88.743,93.779
T2,18.935,45.074,107.985,106.235
T4,22.136,55.659,153.937,160.461
T4,22.567,56.127,156.953,137.778
T4,23.897,54.866,153.611,148.692
T4,23.925,59.021,137.265,155.813
T2,16.777,42.169,112.066,111.622
T3,21.434,45.73,123.963,134.605
T1,13.298,33.25,89.274,96.828
T3,20.832,47.325,127.945,122.345
T2,16.969,39.745,101.846,102.538
T2,17.872,38.834,102.514,104.896
T4,24.934,52.959,154.073,158.115
T3,22.125,50.275,134.644,135.722
T3,21.287,49.722,125.419,123.184
T2,18.119,40.503,112.155,101.729
T2,19.308,43.047,112.617,103.075
T3,21.313,49.087,141.088,137.079
T3,22.727,52.655,140.977,135.608
T3,22.343,53.594,134.75,134.532
T4,22.984,54.709,155.83,156.006
T3,19.554,53.695,122.052,124.129
T3,20.059,52.2,119.905,135.44
T4,22.329,53.294,161.676,146.011
T2,16.989,41.952,103.983,112.418
