task_type,m1_1,m2_1,m3_1,m4_1
T2,0.515,7.472,16.507,25.292
T2,0.587,7.0,17.471,27.125
T2,0.576,8.003,17.712,23.651
T1,0.013,0.162,0.437,0.619
T2,0.539,7.494,18.471,26.706
T4,1.178,13.788,35.456,54.225
T3,0.781,12.22,25.151,38.423
T4,1.038,13.904,34.181,54.1
T2,0.51,7.519,17.51,23.893
T2,0.543,7.771,18.337,25.093
T3,0.823,11.699,26.726,41.319
T2,0.524,7.541,18.905,24.337
T1,0.012,0.163,0.395,0.594
T1,0.013,0.179,0.42,0.588
T1,0.014,0.177,0.424,0.638
T4,1.035,14.708,36.661,46.678
T4,1.055,15.44,32.245,50.418
T2,0.563,7.271,17.46,27.287
T4,1.03,14.366,37.532,50.899
T2,0.544,7.028,16.421,26.402
T3,0.858,10.472,26.404,35.895
T3,0.776,10.664,28.855,40.597
T4,1.116,15.903,37.389,48.354
T1,0.014,0.183,0.383,0.577
T3,0.863,11.274,25.643,37.339
T1,0.013,0.169,0.445,0.567
T4,1.187,13.876,36.275,47.652
T3,0.88,10.765,28.397,35.831
T3,0.829,10.817,28.622,38.311
T1,0.014,0.173,0.425,0.543
T2,0.539,7.35,18.872,23.55
T3,0.894,12.133,28.586,39.287
T3,0.789,12.036,28.177,36.654
T2,0.575,7.951,16.557,25.358
T1,0.014,0.16,0.395,0.543
T1,0.013,0.167,0.399,0.608
T3,0.896,10.43,26.536,38.711
T2,0.582,7.176,17.176,24.112
T4,1.113,14.606,34.902,49.637
T4,1.096,16.037,33.874,48.614
T2,0.513,7.521,17.673,26.993
T3,0.877,12.127,24.785,41.296
T4,1.096,13.901,37.46,51.956
T4,1.091,15.335,35.318,50.248
T2,0.572,7.837,18.0,26.402
T4,1.067,13.784,33.178,51.027
T3,0.805,11.618,25.791,38.798
T2,0.528,6.888,16.919,25.042
T3,0.901,10.813,26.621,38.292
T2,0.6,7.925,18.83,26.017
T1,0.013,0.169,0.405,0.55
T4,1.035,13.879,34.004,50.587
T3,0.895,11.715,28.163,37.746
T1,0.013,0.18,0.381,0.54
T2,0.547,7.463,19.184,23.463
T3,0.788,11.737,29.436,35.96
T3,0.886,11.408,29.433,41.259
T4,1.023,14.094,37.361,53.525
T3,0.892,10.987,25.054,37.344
T4,1.156,15.635,37.468,53.495
T4,1.089,15.624,37.193,46.329
T2,0.509,7.299,17.407,24.496
T1,0.013,0.16,0.449,0.614
T1,0.013,0.187,0.391,0.637
T2,0.564,7.555,18.782,23.526
T1,0.013,0.161,0.409,0.615
T2,0.588,8.006,17.303,24.2
T4,1.006,14.466,36.095,53.487
T4,1.026,14.587,36.802,45.926
T4,1.086,14.26,36.018,49.564
T4,1.087,15.34,32.186,51.938
T2,0.521,7.49,17.957,25.427
T3,0.863,10.527,25.745,39.741
T1,0.012,0.17,0.412,0.635
T3,0.839,10.894,26.572,36.122
T2,0.527,7.059,16.32,23.358
T2,0.555,6.897,16.427,23.895
T4,1.133,13.764,36.127,52.705
T3,0.891,11.573,27.963,40.071
T3,0.857,11.446,26.047,36.369
T2,0.563,7.194,17.972,23.173
T2,0.6,7.646,18.046,23.48
T3,0.858,11.3,29.302,40.472
T3,0.915,12.121,29.279,40.037
T3,0.9,12.337,27.985,39.719
T4,1.045,14.219,36.539,52.002
T3,0.787,12.361,25.348,36.648
T3,0.808,12.016,24.902,39.988
T4,1.015,13.851,37.91,48.67
T2,0.528,7.451,16.662,25.608
T3,0.831,11.276,28.488,40.505
T3,0.894,10.903,28.152,41.349
T1,0.013,0.16,0.414,0.559
T4,1.182,15.018,36.201,53.569
